West Flemish	Old Norse	probability
b	b	0.987
d	θ	0.429
d	d	0.373
d	ð	0.111
d	-	0.087
f	v	0.635
f	f	0.365
h	c	0.277
h	ɣ	0.255
h	tː	0.251
h	-	0.158
h	k	0.058
iə̯	ɑː	1.0
j	ɟ	0.531
j	-	0.469
k	k	0.377
k	kʰ	0.289
k	cː	0.138
k	ɡː	0.051
l	l	0.857
l	lː	0.106
m	m	0.893
m	mː	0.056
n	n	0.414
n	ɑ	0.26
n	-	0.164
n	nː	0.117
p	p	0.7
p	v	0.133
p	r	0.127
s	s	0.835
s	sː	0.084
t	t	0.422
t	ð	0.191
t	d	0.126
t	tʰ	0.107
t	-	0.09
v	f	0.661
v	v	0.215
v	kʰ	0.077
w	l	0.858
w	lː	0.109
z	s	0.971
ç	ɣ	1.0
ŋ	ŋ	0.781
ŋ	-	0.219
ə	ɑ	0.503
ə	i	0.185
ə	u	0.117
ə	-	0.098
ə	a	0.087
ɦ	ɡ	0.29
ɦ	ɣ	0.251
ɦ	-	0.208
ɦ	ɟ	0.101
ɦ	ʝː	0.059
ɪ	u	1.0
ɾ	r	0.747
ɾ	rː	0.086
ɾ	i_r	0.074
ɾ	-	0.057
ʃ	s	0.84
ʃ	f	0.16
ʋ	v	0.614
ʋ	-	0.214
ʋ	x_w	0.138
ˈeː	ˈe	0.418
ˈeː	ˈi	0.187
ˈeː	ˈɛi̯	0.078
ˈeː	ˈɛ	0.07
ˈeː	ˈiː	0.067
ˈeː	j	0.065
ˈeː	ˈu	0.065
ˈeː	ˈɑː	0.051
ˈi	ˈiː	0.752
ˈi	ˈeː	0.248
ˈiə̯	j	0.305
ˈiə̯	ˈyː	0.216
ˈiə̯	ˈu	0.117
ˈiə̯	ˈiː	0.116
ˈiə̯	ˈuː	0.084
ˈiə̯	ˈeː	0.068
ˈoː	ˈo	0.423
ˈoː	ˈøy̯	0.175
ˈoː	ˈɑu̯	0.167
ˈoː	ˈy	0.071
ˈoː	ˈɑ	0.05
ˈu	ˈu	0.805
ˈu	ˈɑ	0.125
ˈu	ˈoː	0.07
ˈuə̯	ˈoː	0.517
ˈuə̯	ˈøː	0.337
ˈuə̯	ˈɔː	0.109
ˈyː	ˈuː	0.719
ˈyː	ˈu	0.154
ˈyː	ˈyː	0.127
ˈæ	ˈe	0.375
ˈæ	j_ˈɑ	0.152
ˈæ	ç_ˈɑ	0.113
ˈæ	ˈɑ	0.111
ˈæ	ˈɛ	0.111
ˈæ	ˈi	0.073
ˈøː	ˈo	0.601
ˈøː	ˈy	0.315
ˈøː	ˈɛ	0.083
ˈœ	ˈy	0.536
ˈœ	ˈu	0.294
ˈœ	ˈi	0.09
ˈœ	ˈoː	0.08
ˈɑ	ˈɑ	0.581
ˈɑ	ˈɑː	0.153
ˈɑ	ˈɔ	0.109
ˈɑ	ˈa	0.082
ˈɒː	ˈɑ	0.479
ˈɒː	ˈɑː	0.341
ˈɒː	ˈe	0.09
ˈɔ	ˈo	0.462
ˈɔ	ˈu	0.195
ˈɔ	j	0.114
ˈɔ	ˈɑ	0.095
ˈɔ	ˈoː	0.067
ˈɔ	ˈy	0.067
ˈɛ	ˈi	0.369
ˈɛ	ˈiː	0.245
ˈɛ	ˈe	0.224
ˈɛ	ˈɛ	0.117
ˈɛː	ˈɛi̯	0.643
ˈɛː	j	0.203
ˈɛː	ˈɛː	0.075
ˈɛː	ˈɛ	0.052
ˈɪ	ˈi	0.591
ˈɪ	ˈe	0.136
ˈɪ	ˈu	0.087
ˈɪ	ˈɛi̯	0.085
ˈɪ	ˈy	0.073
