Lower Sorbian	Proto-Slavic	probability
b	b	1.0
bʲ	b	1.0
d	d	1.0
e	ẽ	1.0
i	ŭ	1.0
j	-	1.0
kʲ	k	1.0
mʲ	m	1.0
n	n	1.0
pʲ	p	1.0
rʲ	r	1.0
v	v	1.0
vʲ	v	1.0
x	x	1.0
z	z	1.0
ɛ	ɛ̌	1.0
ʂ	ʒ_ĭ	1.0
ʐ	ʒ	1.0
ʑ	d	1.0
ʨ	t_ĭ	1.0
ˈu	ûː	1.0
ˈɨ	ɨ̌	1.0
k	k_ŭ	0.221
ɔ	e	0.181
ɕ	t_ĭ	0.31
ˈa	ĭ̌	0.291
ˈi	i	0.241
ˈɔ	ôː_l	0.071
ˈɛ	ǒ	0.161
ˈɛ	ô	0.341
ˈɪ	ẽ	0.231
p	b_ŭ	0.082
r	r	0.882
s	s_ŭ	0.132
ɔ	o	0.662
ɕ	-	0.112
ɡ	ɡ	0.952
ˈa	ê	0.22
ˈɪ	ɛː	0.2
k	ɡ_ŭ	0.123
w	l_ŭ	0.053
ɕ	t_i	0.313
ˈɪ	ɛˀ	0.103
a	ǎ	0.654
m	m	0.774
t	t_ŭ	0.104
ɨ	ŭ	0.514
ɲ	n_ĭ	0.534
ˈɔ	ǒ	0.184
ˈɔ	ô	0.344
ˈɪ	ɛ̌	0.054
w	l	0.905
ɕ	t	0.265
ˈe	e	0.65
ˈɔ	ôː	0.165
ˈɪ	ẽ̂ː	0.075
a	a	0.346
k	k	0.656
m	m_ĭ	0.226
ɨ	ŭ_j	0.466
ɲ	ɲ	0.466
t	t	0.727
ɔ	ǒ	0.157
ʦ	ʦ	0.317
ˈe	ŭ̂	0.07
ˈɪ	ɛ̂ː	0.337
l	l	0.988
p	p	0.918
r	-	0.118
s	s	0.868
ˈe	ĭ	0.28
ˈɔ	ê	0.068
ˈɛ	o	0.498
t	d_ŭ	0.169
ʦ	ʧ	0.669
ˈa	aˀ	0.489
ˈi	ǐ	0.759
ˈɔ	e	0.079
ˈɔ	o	0.089
