Czech	Čakavian	probability
b	b	1.0
c	t	1.0
f	-	1.0
iː	-	1.0
j	j	1.0
m	m	1.0
m̩	a_n	1.0
n	n	1.0
p	p	1.0
r̝	r	1.0
r̝̊	r	1.0
s	s	1.0
t	t	1.0
v	ʋ	1.0
z	z	1.0
ɪ	i	1.0
ɲ	ɲ	1.0
ʃ	ʃ	1.0
ʒ	ʒ	1.0
ʧ	ʧ	1.0
ˈr̩	r̩̂	1.0
ˈu	ûː	1.0
ˈɛː	î	1.0
a	â	0.511
k	a_k	0.051
o	ô	0.241
ɛ	e	0.441
ɦ	ɡ	0.741
ˈa	â	0.261
ˈa	ǎː	0.401
ˈiː	ǐː	0.231
ˈo	ôː	0.241
ˈo	ô	0.41
d	d	0.992
ˈuː	ô	0.822
ˈɛ	êː	0.182
ˈɛ	ê	0.342
ɛ	î	0.3
ˈɛ	îː	0.063
ˈɛ	e	0.413
ʦ	i_#>	0.054
k	-	0.05
l	-	0.15
l	l	0.85
r	r̩̂	0.165
r	r	0.835
x	k	0.295
x	x	0.705
ˈɪ	î	0.265
ˈɪ	îː	0.735
ɛ	a	0.26
ʦ	c	0.087
k	k	0.898
ˈuː	ôː	0.178
a	a	0.489
o	o	0.759
ɦ	-	0.259
ʦ	ʦ	0.859
ˈa	âː	0.339
ˈiː	î	0.769
ˈo	o	0.349
