Čakavian	Lower Sorbian	probability
#>	ɨ_#>	1.0
<#	v	1.0
<#_d	<#_d	1.0
<#_j	<#_j	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_n	<#_n	1.0
<#_ô	<#_ˈɔ	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʋ	<#_vʲ	1.0
<#_ʒ	<#_ʐ	1.0
<#_ʦ	<#_ʦ	1.0
a	-	1.0
a_#>	a	1.0
a_k	kʲ_i	1.0
a_n	ɨ_m	1.0
a_t	ɕ	1.0
â_#>	a_#>	1.0
âː	ˈɔ	1.0
ǎː	ˈɔ	1.0
b	b	1.0
c	ʦ_#>	1.0
e_#>	ɔ_#>	1.0
êː	ˈɪ	1.0
i	i	1.0
ǐː	ˈɪ	1.0
k_#>	k_#>	1.0
m	mʲ	1.0
o_#>	ɔ_#>	1.0
ô_#>	ɔ_#>	1.0
p	pʲ	1.0
p_#>	p_#>	1.0
r̩̂	r	1.0
s	s	1.0
s_#>	s_#>	1.0
t	t	1.0
t_a	t_a	1.0
t_i	ɕ_#>	1.0
ǔː	ˈu	1.0
z	z	1.0
ɡ	ɡ	1.0
ɲ_#>	ɲ_#>	1.0
ʃ	ʂ	1.0
ʋ_î	vʲ	1.0
ʋ_îː	vʲ_ˈɪ	1.0
ʦ	ʦ	1.0
l	-	0.1
r	r	0.421
î	ɛ	0.182
î	ˈa	0.182
t_#>	ʨ_#>	0.182
ʋ	vʲ	0.182
<#_m	<#_mʲ	0.333
<#_z	<#	0.333
â	ˈɔ	0.333
d	ʑ	0.333
î	ˈɨ	0.273
n	ɲ	0.333
o	ˈɔ	0.333
ûː	w	0.333
x	k	0.333
ê	ˈa	0.4
î	ˈɪ	0.364
k	k	0.714
ôː	ˈɔ	0.714
t_#>	t_#>	0.364
d	d	0.5
e	ˈe	0.25
e	ɛ	0.375
e	e	0.375
l	l	0.35
l	w	0.55
ô	ˈɔ	0.5
ô	ˈɛ	0.5
r	ɕ_ˈi	0.105
r	ʂ	0.105
t_#>	ɕ_#>	0.455
ê	ˈe	0.6
k	kʲ_i	0.286
ôː	ˈɛ	0.286
<#_m	<#_m	0.667
<#_z	<#_z	0.667
â	ˈa	0.667
d	t	0.167
n	n	0.667
o	ˈɛ	0.667
ûː	ˈu	0.667
x	x	0.667
r	rʲ	0.368
ʋ	v	0.818
