East Low German	Westphalian	probability
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_kʰ	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_r	<#_r	1.0
<#_tʰ	<#_t	1.0
<#_v	<#_v	1.0
<#_z	<#_s	1.0
<#_ɡ	<#_x	1.0
<#_ʃ	<#_ʃ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈae̯	<#_ˈeː	1.0
<#_ˈuː	<#_ˈuː	1.0
<#_ˈɛ	<#_ˈɛ	1.0
<#_ˈɪ	<#_ˈɪ	1.0
b	b	1.0
d_#>	d_#>	1.0
d_n	d_n	1.0
k	k_ə	1.0
k_#>	k_#>	1.0
k_n	k_n	1.0
l_#>	l_#>	1.0
l_m	l_v	1.0
p	p	1.0
p_#>	p_#>	1.0
p_n	p_n	1.0
r	r	1.0
s_t	s_t	1.0
t_#>	d_#>	1.0
t_n	t_n	1.0
t_æ	t_ɐ	1.0
v	ʋ	1.0
w	ʋ	1.0
x_#>	x_#>	1.0
x_t	x_t	1.0
z	z	1.0
ç_#>	#>	1.0
ŋ_k	ŋ	1.0
ɡ	ɡ	1.0
ɪ	ɪ	1.0
ɾ_æ	d_ɐ	1.0
ʃ	ʃ_k	1.0
ˈa	ˈa	1.0
ˈa_t	ˈa_t	1.0
ˈae̯_#>	ˈaɪ̯_#>	1.0
ˈiː	ˈiː	1.0
ˈiː_#>	ˈiː_#>	1.0
ˈoː_æ	ˈɔː_ɐ	1.0
ˈuː_s	ˈʊ_s	1.0
ˈuː_æ	ˈɔː	1.0
ˈyː	ˈyː	1.0
ˈɒː_n	ˈɔː_n	1.0
ˈɔʏ̯	ˈøː	1.0
ˈɪ_n	ˈɪ_n	1.0
ˈʊ	ˈʊ	1.0
m	m_ə	0.1
l	l	0.92
s	s	0.2
ç	ɡ_ə	0.2
ˈuː	-	0.222
ˈɒː	ˈuə̯	0.182
<#_j	<#_j	0.333
t	t	0.333
æ	ɐ_#>	0.923
ŋ	ŋ_ə	0.143
ŋ	ŋ_n	0.143
ˈaː	ˈɪɛ̯	0.333
ˈaː	ˈaː	0.333
ˈaː	ˈa_ɐ	0.333
ˈɒː	ˈaː	0.273
ˈɛ	ˈɪɛ̯	0.3
n	n_#>	0.614
ŋ	ŋ_#>	0.214
ŋ	ɡ_n	0.214
ˈae̯	ˈeː	0.444
ˈaʊ̯	ˈoː	0.4
ˈɔ	ˈɔ	0.714
ˈʏ	ˈʏ	0.714
f_#>	f_#>	0.25
f_#>	v_#>	0.375
f_#>	ʋ_#>	0.375
m	v_n	0.15
m	m_n	0.15
ˈɒː	ˈɔː	0.545
ˈɛː	ˈiɛ̯	0.25
ˈɛː	ˈɪə̯	0.375
ˈɛː	ˈɪɛ̯	0.375
ˈɪ	ˈɛ	0.105
ˈɪ	ˈɪ	0.895
m	m	0.6
n	n	0.386
ŋ	ŋ	0.286
ˈae̯	ˈaɪ̯	0.556
ˈaʊ̯	ˈaʊ̯	0.6
ˈɔ	ˈuːə̯	0.286
ˈʏ	ˈø	0.286
<#_j	<#_x	0.667
t	t_#>	0.667
æ	ˈuːə̯	0.077
ˈɛ	ˈɛ	0.7
l	l_ə	0.08
s	s_#>	0.8
ç	ç_#>	0.8
ˈuː	ˈuː	0.778
