Scots	Scots	probability
θ	d̥	1.0
ˈʌu̯	ˈɔ_l	1.0
ˈɛː	ˈeː	1.0
ˈɔɪ̯	v_ˈɛ	1.0
ˈøː	ˈuː	1.0
ˈoː	-	1.0
ˈo	ˈɔ	1.0
ˈiː_r	ɐ	1.0
ˈe_n_#>	ˈaː_#>	1.0
ˈaːɪ̯	ˈɪ	1.0
ˈaː	ˈiː_ç	1.0
ˈaɪ̯	-	1.0
ʧ	-	1.0
ʤ	ɡ̊	1.0
ʍ	v	1.0
ʃ_#>	ʃ_#>	1.0
ʃ	ʃ	1.0
ɪ	ɪ	1.0
ɡ	ɡ̊	1.0
ɛ	n	1.0
ə_r	ɐ	1.0
ŋ	ŋ	1.0
x	x	1.0
w	v	1.0
v	m	1.0
tʰ	ʦ	1.0
t_ə	z̥	1.0
s_t	ʃ_d̥	1.0
r_ˈɛ	r	1.0
r_n	ɐ_n	1.0
r_d	ɐ_d̥	1.0
pʰ	b̥͡v̥	1.0
p_#>	f_#>	1.0
m	m	1.0
l_d	l_d̥	1.0
l	l	1.0
kʰ	ɡ̊	1.0
h	h	1.0
f_#>	b̥_#>	1.0
f	f	1.0
e	ɪ_ç	1.0
d_r	d̥_r	1.0
b	b̥	1.0
<#_ˈɛ	<#_ˈɒ	1.0
<#_r	<#_r	1.0
<#	<#_ˈɒ	1.0
#>	ç_#>	1.0
ˈəi̯	ˈaɪ̯	0.857
d	d̥	0.833
ˈø	ˈuː	0.75
n	n	0.721
ð	ɾ	0.714
s	s	0.714
ˈʌ	ˈʊ	0.692
ˈɛ	ˈɛ	0.692
ə	-	0.667
i	-	0.667
j	-	0.6
ç	ç	0.571
r	ɐ	0.545
ˈu	ˈaʊ̯	0.538
ˈɑː	ˈɒ	0.5
z	s	0.5
z	-	0.5
p	v̥_n	0.5
p	f	0.5
ˈu	-	0.462
ˈa	ˈɒ	0.462
ˈɪ	ˈɪ	0.452
k	ɡ̊	0.444
ˈe	ˈaː	0.438
ˈuː	ˈaʊ̯	0.429
ç	x	0.429
j	j	0.4
ˈa	ˈɛ	0.385
t	d̥	0.343
ˈeː	-	0.333
ə	ɐ	0.333
i	eː	0.333
ˈi	ˈiː	0.32
t	s	0.314
ˈɑː	ˈɒ_l	0.286
ˈuː	ˈɔ_l	0.286
ˈuː	ˈuː	0.286
ð	-	0.286
s	ʃ	0.286
k	x	0.278
r	r	0.273
ˈø	n	0.25
ˈiː	ˈiː	0.25
ˈeː	ˈoː	0.25
ˈi	-	0.24
ˈɑː	-	0.214
ˈiː	ˈeː	0.188
ˈiː	ˈaɪ̯	0.188
ˈe	ˈɒ	0.188
ˈe	-	0.188
ˈeː	ˈɔ	0.167
ˈeː	ˈoː_ŋ	0.167
k	ç	0.167
n	-	0.163
ˈi	ˈoː	0.16
ˈi	ˈaː	0.16
ˈʌ	ˈɛ	0.154
ˈʌ	-	0.154
ˈɛ	ˈoː	0.154
ˈɛ	ˈaː	0.154
ˈa	ˈoː	0.154
ˈɪ	-	0.143
ˈəi̯	-	0.143
t	ʦ	0.143
ˈiː	ˈiː_ɐ	0.125
ˈiː	ˈiː_ŋ	0.125
ˈiː	-	0.125
ˈe	ˈuː	0.125
r	-	0.121
ˈi	ˈuː	0.12
n	n_a	0.116
t	z̥_n	0.114
k	ŋ	0.111
d	d̥_n	0.111
ˈɪ	ˈʊ	0.095
ˈeː	ˈa	0.083
ˈɪ	ˈɒ	0.071
ˈɪ	ˈuː	0.071
ˈɪ	ˈiː	0.071
ˈe	ˈɒː	0.062
r	r_ˈaɪ̯	0.061
t	ʦ_n	0.057
d	-	0.056
