Swedish	Limburgish	probability
a	ə	0.89
b	b	1.0
d	t	0.46
d	d	0.329
d	-	0.211
f	v	0.982
h	ɦ	0.979
j	ɣ	0.362
j	-	0.322
j	ə	0.118
j	l	0.075
j	ˈeː	0.065
j	ˈi	0.058
jː	ɡ	1.0
k	k	0.619
k	-	0.199
k	ə_k	0.156
kʰ	k	0.934
kʰ	-	0.066
kː	k	0.69
kː	ŋ_k	0.31
l	l	0.889
lː	l	0.803
lː	j	0.197
m	m	0.832
m	ə_m	0.111
m	f	0.057
mː	m	1.0
n	n	0.872
n	-	0.128
nː	n	0.786
nː	-	0.214
p	p	0.838
p	ə_p	0.162
pʰ	p	1.0
pː	p	1.0
r	ʀ	0.956
rː	ʀ	1.0
s	s	0.48
s	z	0.467
sː	s	1.0
t	t	1.0
tʰ	d	0.657
tʰ	t	0.254
tʰ	b	0.089
tː	t	0.418
tː	x	0.416
tː	j	0.165
v	β	0.621
v	v	0.146
v	ə_f	0.142
v	f	0.071
ŋ	ŋ	0.526
ŋ	ɣ	0.227
ŋ	-	0.223
ŋː	ŋ	1.0
ɔ	i	1.0
ɕ	k	0.758
ɕ	d	0.242
ɖ	ʀ_t	0.616
ɖ	t	0.384
ɛ	ə	0.69
ɛ	-	0.31
ɡ	ɣ	0.614
ɡ	x	0.309
ɡ	k	0.062
ɡː	k	0.422
ɡː	-	0.371
ɡː	ɡ	0.105
ɡː	x	0.102
ɧ	ʃ	0.504
ɧ	z	0.352
ɧ	s	0.145
ɪ	ə	0.862
ɪ	-	0.138
ɳ	ʀ	1.0
ɳː	ʀ	1.0
ɵ	ɪ	0.714
ɵ	-	0.286
ʂ	ʀ	1.0
ʈ	s	1.0
ʈː	ʀ_t	1.0
ʊ	ə	0.669
ʊ	ˈi	0.331
ˈa	ˈɑː	0.331
ˈa	ˈaː	0.272
ˈa	ˈæ	0.124
ˈa	ˈɒː	0.101
ˈa	ˈæː	0.097
ˈa	ˈɑ	0.075
ˈeː	ˈɛː	0.581
ˈeː	ˈeː	0.198
ˈeː	ˈɑ	0.071
ˈeː	ˈɛ	0.071
ˈiː	ˈiː	0.587
ˈiː	ˈɛ	0.159
ˈiː	ˈøː	0.087
ˈiː	ˈɪ	0.065
ˈiː	ˈeː	0.062
ˈoː	ˈɒː	0.469
ˈoː	ˈʊː	0.232
ˈoː	ˈaː	0.123
ˈoː	ˈoː	0.101
ˈoː	ˈi	0.074
ˈuː	ˈʊː	0.537
ˈuː	ˈoː	0.176
ˈuː	ˈøː	0.148
ˈuː	ʀ	0.139
ˈyː	ˈøː	0.384
ˈyː	ˈeː	0.369
ˈyː	ˈyː	0.138
ˈyː	ˈœi̯	0.108
ˈæ	ˈæː	0.669
ˈæ	ˈɑ	0.331
ˈæː	ˈeː	0.662
ˈæː	ˈaː	0.178
ˈæː	ˈæ	0.16
ˈøː	ˈøː	0.205
ˈøː	ˈu	0.193
ˈøː	ˈɔː	0.127
ˈøː	ˈi	0.106
ˈøː	ˈɪ	0.095
ˈøː	-	0.081
ˈøː	j	0.063
ˈøː	ˈʊː	0.063
ˈœ	ˈɛː	0.244
ˈœ	ˈʊː	0.219
ˈœ	ˈœi̯	0.152
ˈœ	ˈɔː	0.143
ˈœ	ˈɔ	0.085
ˈœ	ˈøː	0.064
ˈœː	ˈøː	0.618
ˈœː	ˈuː	0.23
ˈœː	ˈyː	0.152
ˈɑː	ˈaː	0.541
ˈɑː	ˈɒː	0.179
ˈɑː	-	0.125
ˈɑː	ˈɑ	0.077
ˈɔ	ˈʊː	0.181
ˈɔ	ˈɔː	0.172
ˈɔ	ˈʏː	0.131
ˈɔ	ˈɔ	0.117
ˈɔ	ˈœː	0.112
ˈɔ	ˈoː	0.111
ˈɔ	ˈæ	0.055
ˈɔ	ˈɪ	0.055
ˈɛ	ˈɑ	0.169
ˈɛ	ˈeː	0.152
ˈɛ	ˈɛ	0.113
ˈɛ	ˈɛː	0.112
ˈɛ	ˈæː	0.1
ˈɛ	-	0.075
ˈɛ	ˈiː	0.064
ˈɛː	ˈeː	0.588
ˈɛː	ˈɛːi̯	0.134
ˈɛː	ˈɔː	0.121
ˈɛː	ˈaː	0.082
ˈɛː	ˈɒː	0.075
ˈɪ	ˈɪː	0.636
ˈɪ	ʀ	0.106
ˈɪ	ˈʏ	0.106
ˈɪ	ˈɛ	0.061
ˈɵ	ˈʊː	0.463
ˈɵ	ˈɔ	0.086
ˈɵ	ˈøː	0.075
ˈɵ	ˈɪː	0.071
ˈɵ	ˈʏ	0.071
ˈɵ	ˈɔː	0.06
ˈɵ	ˈuː	0.052
ˈɵ	ˈɪ	0.052
ˈʉː	ˈeː	0.438
ˈʉː	ˈuː	0.306
ˈʉː	ˈiː	0.086
ˈʉː	ˈɔ	0.07
ˈʊ	ˈʊː	0.525
ˈʊ	ˈɔ	0.262
ˈʊ	ˈœː	0.113
ˈʊ	ˈʊ	0.1
ˈʏ	ˈœ	0.437
ˈʏ	ˈɔu̯	0.141
ˈʏ	ˈʏː	0.141
ˈʏ	ˈɛː	0.105
ˈʏ	ˈyː	0.1
ˈʏ	ˈœi̯	0.077
