West Frisian	Old West Norse	probability
χ_t	tː	1.0
ˈɛ_j	ˈyː	1.0
ˈøə̯	ˈɛː	1.0
ˈø	-	1.0
ˈyː	ˈo	1.0
ˈy_t	ʦ	1.0
ˈy	-	1.0
ˈu̯o	ˈøː	1.0
ˈu	ˈu	1.0
ˈai̯	ˈɛː	1.0
ʦ	θ	1.0
ɪ	ŋ	1.0
ɡ	ɟ	1.0
ə_t	ɾ	1.0
ɕ	s	1.0
t_ə	t	1.0
j_ˈɪ	ˈeː	1.0
j_ɪ	ɑː	1.0
j_ə	ɑ	1.0
b	b	1.0
r	r	0.934
p	p	0.932
s	s	0.928
f	f	0.915
m	m	0.901
h	h	0.888
v	v	0.842
ʋ	v	0.812
ŋ	ŋ	0.789
l	l	0.789
t	t	0.707
d̥	ð	0.702
ɣ	-	0.667
ˈɔː	n	0.644
d	d	0.638
z	s	0.619
ˈa	ˈɑ	0.61
ˈɛː	ˈɑ_r	0.589
ˈeː	-	0.575
ˈoː	-	0.573
ˈi	ˈiː	0.555
ˈuː	ˈuː	0.506
j	-	0.503
ˈɔ	ˈu	0.499
ˈuː	ˈu	0.494
ə	ɑ	0.476
n	n	0.434
ˈoː	ˈɔː	0.427
ˈeː	j	0.425
ˈuə̯	ˈoː	0.417
ə_r	i_r̥	0.41
ˈiː	ˈi	0.392
ˈɛ	ˈɑ	0.382
z	ʝː	0.381
ˈɪ	-	0.377
k	c	0.367
ˈɛi̯	-	0.362
χ	tː	0.361
ˈɔː	ˈɑ_l	0.356
ˈaː	ˈɑ	0.349
ˈuə̯	-	0.344
χ	ɣ	0.342
ˈiə̯	ˈɛi̯	0.342
ɣ	ɡ	0.333
ˈiə̯	ˈɑː	0.329
d	ð	0.297
ˈɪ	ˈi	0.296
ə_r	ɡ_r̥	0.295
ə_r	r̥	0.295
ˈoə̯	ˈo_r	0.284
ˈiː	ˈiː	0.277
ˈɛi̯	ˈe_ɣ	0.269
k	k	0.262
ˈɪə̯	ˈɑ	0.26
ˈi	-	0.26
ˈɛ	-	0.259
ˈoə̯	ˈo	0.242
ˈuə̯	ˈoː_ð	0.238
ˈɔ	-	0.227
ˈaː	ˈɑː	0.226
ˈaː	ˈɛ	0.223
ˈɛ	ˈe	0.22
ŋ	ɡ	0.211
l	lː	0.211
ˈɪə̯	ˈɑu̯	0.208
ˈɛː	ˈɑ	0.205
ˈɛː	-	0.205
ˈaː	ˈɛi̯	0.202
n	nː	0.202
ˈɔ	ˈy	0.194
ˈiː	-	0.191
ˈoə̯	ˈy_r	0.19
ʋ	x	0.188
j	j	0.188
ˈiə̯	ˈøː	0.187
ˈɛi̯	ˈɑ_ɣ	0.185
ˈɛi̯	ˈe	0.185
ˈi	ˈi	0.185
n	-	0.184
ˈoə̯	ˈɑː	0.18
d̥	ð_r̥	0.176
ˈa	ˈe	0.174
χ	r̥	0.169
ə	i	0.166
t	tʰ	0.16
v	-	0.158
ə	-	0.157
ˈɪə̯	-	0.143
ˈɪə̯	ˈøy̯	0.142
ˈiə̯	j_ˈoː	0.142
ˈiː	j_ˈuː	0.141
ˈɛ	ˈɛ	0.139
ˈɪ	ˈe	0.131
ˈa	ˈɑː	0.13
χ	-	0.128
k	ˈɛi̯_k	0.128
j	ˈyː	0.127
d̥	d_r̥	0.122
ˈɪ	ˈu	0.119
h	ç	0.112
k	cʰ	0.11
ˈɪə̯	j_ˈɔ	0.108
n	n_d	0.105
ˈoə̯	r	0.104
m	-	0.099
k	kː	0.096
j	j_ˈoː	0.093
t	tː	0.09
j	ˈiː	0.088
ˈa	w_ˈɑ	0.086
f	v_r̥	0.085
ˈɪə̯	j_ˈuː	0.083
ˈɔ	ˈo	0.08
ə	a	0.078
ə	r̥	0.071
p	pː	0.068
d	θ	0.065
ˈɪə̯	ˈɒu̯	0.055
s	sː	0.054
ə	u	0.052
