Romanian	Brazilian Portuguese	probability
a	a	0.66
a	ɐ	0.207
a	e	0.103
b	b	0.656
b	v	0.213
b	-	0.08
d	d	0.601
d	t	0.154
d	-	0.066
d	ʃ	0.065
d	ʤ	0.065
e	-	0.527
e	i	0.193
e	ɐ	0.131
e	u	0.08
e̯ˈa	ˈe	0.753
e̯ˈa	ˈɛ	0.134
e̯ˈa	l	0.113
f	f	0.827
f	b	0.107
i	w	0.219
i	ẽ	0.197
i	e	0.168
i	i	0.162
i	ˈɛ	0.094
i	ĩ	0.083
i	ˈi	0.076
j	-	0.289
j	ˈɛ	0.273
j	j	0.099
j	w̃	0.077
j	ˈĩ	0.059
k	k	0.497
k	ɡ	0.347
k	ʃ	0.08
k	ʎ	0.051
kʲ	ʎ	1.0
l	l	0.671
l	-	0.162
l	w	0.162
m	m	0.831
m	-	0.169
n	-	0.473
n	n	0.313
n	j̃	0.166
nʲ	ʃ	1.0
o	o	0.67
o	ˈĩ	0.242
o	a	0.087
o̯ˈa	ˈɔ	0.427
o̯ˈa	ˈo	0.168
o̯ˈa	-	0.135
o̯ˈa	ˈõ	0.132
o̯ˈa	u	0.067
o̯ˈa	ˈe	0.05
p	p	0.633
p	b	0.099
p	j	0.095
p	-	0.061
r	h	0.471
r	ɾ	0.261
r	ɦ	0.132
r	-	0.079
s	s	0.591
s	ʃ	0.319
s	-	0.059
t	t	0.362
t	d	0.206
t	-	0.197
t	ʧ	0.116
u	u	0.305
u	o	0.268
u	-	0.228
u	õ	0.068
u	ɐ̃	0.06
v	v	1.0
w	w	0.238
w	-	0.216
w	j	0.205
w	u	0.149
w	v_u	0.093
w	ʧ	0.076
z	-	0.386
z	ʤ	0.332
z	d	0.282
ŋ	j̃	0.5
ŋ	ʒ	0.5
ə	ɐ	0.653
ə	-	0.105
ə	u	0.073
ə	i	0.071
ɡ	ɡ	0.757
ɡ	-	0.243
ɨ	-	0.597
ɨ	ˈẽ	0.27
ɨ	ˈɐ̃	0.133
ʃ	s	0.809
ʃ	ʃ	0.083
ʃ	ʒ	0.072
ʒ	ʒ	1.0
ʤ	-	0.36
ʤ	ʒ	0.323
ʤ	d	0.274
ʦ	s	0.274
ʦ	-	0.218
ʦ	z	0.218
ʦ	ʧ	0.21
ʦ	t	0.08
ʧ	s	0.393
ʧ	-	0.189
ʧ	z	0.181
ʧ	j	0.174
ʧ	k	0.062
ʧʲ	-	0.805
ʧʲ	t	0.138
ʧʲ	k	0.057
ˈa	ˈa	0.598
ˈa	-	0.087
ˈa	ˈɛ	0.076
ˈa	ˈɐ̃	0.051
ˈau̯	ˈo_w	1.0
ˈe	ˈe	0.419
ˈe	-	0.265
ˈe	w	0.093
ˈe	ˈɛ	0.083
ˈe	ˈa	0.057
ˈi	ˈi	0.282
ˈi	ˈẽ	0.225
ˈi	ˈe	0.203
ˈi	ˈĩ	0.149
ˈi	-	0.055
ˈi	ˈa	0.053
ˈo	ˈo	0.686
ˈo	ˈɔ	0.172
ˈo	ˈu	0.076
ˈo	-	0.051
ˈu	ˈo	0.222
ˈu	ˈõ	0.198
ˈu	ˈu	0.191
ˈu	ˈũ	0.157
ˈu	ˈɔ	0.078
ˈə	a	0.348
ˈə	l	0.348
ˈə	ˈi	0.204
ˈə	ˈo	0.101
ˈɨ	ˈɐ̃	0.717
ˈɨ	ˈẽ	0.184
ˈɨ	-	0.086
