Old Norse	Scots	probability
a	-	0.729
a	e	0.271
b	b	0.967
c	-	0.897
c	k	0.103
cʰ	ʧ	0.671
cʰ	kʰ	0.329
d	d	0.924
d	-	0.076
f	f	1.0
h	h	1.0
i	ə	0.641
i	-	0.258
i	ɪ	0.072
j	-	0.537
j	ˈiː	0.335
j	ˈɛ	0.07
k	k	0.744
k	-	0.141
k	ʧ	0.115
kʰ	kʰ	0.695
kʰ	k	0.305
kː	k	0.894
kː	ŋ_k	0.106
l	l	0.771
l	-	0.116
l	ɫ	0.112
lː	-	0.359
lː	l	0.351
lː	ɫ	0.145
lː	ˈʌʉ̯	0.145
l̥	l	1.0
m	m	0.994
mː	v	0.671
mː	m	0.329
n	n	0.934
nː	n	0.737
nː	θ	0.149
nː	-	0.089
p	p	1.0
pː	p	1.0
r	r	0.784
r	-	0.179
rː	r	1.0
r̥	r	0.953
s	s	0.809
s	ʃ	0.123
sː	s	1.0
t	t	1.0
tʰ	tʰ	0.964
tː	x	0.883
tː	t	0.09
u	ə	0.313
u	ˈɛ	0.247
u	-	0.213
u	i	0.149
u	n	0.078
v	w	0.497
v	-	0.182
v	v	0.155
v	f	0.129
w	-	0.835
w	ˈɪ	0.165
x	ʍ	1.0
ç	h	0.846
ç	ʍ	0.154
ð	d	0.551
ð	ð	0.177
ð	θ	0.162
ð	-	0.074
ŋ	ŋ	0.778
ŋ	n	0.136
ŋ	-	0.086
ɑ	ˈiː	0.709
ɑ	ə	0.156
ɑ	əi̯	0.135
ɑː	iː	1.0
ɟ	ɡ	0.661
ɟ	-	0.339
ɟː	ɡ	1.0
ɡ	ɡ	0.481
ɡ	-	0.429
ɡ	j	0.077
ɡː	ɡ	1.0
ɣ	-	0.895
ɣ	t	0.075
ɾ	-	1.0
ʝː	-	1.0
ˈa	ˈɑː	0.528
ˈa	ˈe	0.395
ˈa	ˈɑ	0.077
ˈe	-	0.32
ˈe	ˈe	0.245
ˈe	ŋ	0.073
ˈe	ˈɑ	0.073
ˈe	ˈəi̯	0.073
ˈe	ˈeː	0.055
ˈe	ə	0.053
ˈe	ˈɑː	0.053
ˈeː	ˈiː	0.556
ˈeː	ˈɪ	0.228
ˈeː	ˈi	0.201
ˈi	ˈɪ	0.467
ˈi	ˈəi̯	0.236
ˈi	ˈaːɪ̯	0.118
ˈi	ˈi	0.085
ˈiː	ˈəi̯	0.648
ˈiː	ˈiː	0.102
ˈiː	ˈɪ	0.1
ˈiː	-	0.094
ˈiː	ɹ	0.056
ˈo	ˈɔ	0.636
ˈo	ˈɪ	0.161
ˈo	ˈʌ	0.056
ˈoː	ˈø	0.213
ˈoː	-	0.208
ˈoː	ˈɪ	0.156
ˈoː	ˈʌʉ̯	0.123
ˈoː	ˈei̯	0.095
ˈoː	ˈi	0.056
ˈu	ˈʌ	0.416
ˈu	ˈʉ	0.211
ˈu	-	0.114
ˈu	ˈɔ	0.086
ˈu	ˈɪ	0.07
ˈu	w_ˈɔ	0.054
ˈuː	ˈʉ	0.482
ˈuː	-	0.322
ˈuː	ˈi	0.079
ˈy	ˈɪ	0.525
ˈy	ˈɔ	0.451
ˈyː	ˈʉ	0.55
ˈyː	ˈe	0.205
ˈyː	ˈei̯	0.133
ˈyː	ˈəi̯	0.075
ˈøy̯	ˈei̯	0.866
ˈøy̯	ˈiː	0.134
ˈøː	ˈiː	0.679
ˈøː	ˈɪ	0.203
ˈøː	ˈɛ	0.118
ˈɑ	ˈɛ	0.314
ˈɑ	ˈɑ	0.182
ˈɑ	ˈɑː	0.172
ˈɑ	ˈe	0.088
ˈɑ	ˈʌ	0.087
ˈɑ	ˈeː	0.055
ˈɑu̯	ˈei̯	0.702
ˈɑu̯	ˈi	0.139
ˈɑu̯	-	0.122
ˈɑː	j	0.212
ˈɑː	ˈe	0.181
ˈɑː	-	0.108
ˈɑː	ˈø	0.108
ˈɑː	ˈiː	0.073
ˈɑː	ˈɔ	0.068
ˈɑː	ˈɪ	0.061
ˈɑː	ˈeː	0.058
ˈɑː	ˈɛ	0.05
ˈɒu̯	-	0.764
ˈɒu̯	ˈe	0.118
ˈɒu̯	ˈei̯	0.118
ˈɔ	ˈei̯	0.452
ˈɔ	ˈɪ	0.223
ˈɔ	ˈɑː	0.184
ˈɔ	ˈø	0.103
ˈɔː	ˈø	1.0
ˈɛ	ˈɛ	0.473
ˈɛ	ˈiː	0.214
ˈɛ	ˈe	0.169
ˈɛ	ˈɔ	0.082
ˈɛi̯	ˈe	0.79
ˈɛi̯	ˈɑː	0.158
ˈɛi̯	ˈɑ	0.051
ˈɛː	ˈɑː	0.863
ˈɛː	ˈi	0.073
ˈɛː	ˈiː	0.064
θ	θ	0.937
