Asturian	French	probability
f	f	1.0
i	-	1.0
r	ʁ	1.0
ɡ	ɡ	1.0
ʃ	ʒ	1.0
ʝ	-	1.0
b	b	0.271
k	k	0.31
o	u	0.141
t	t	0.661
u	ø	0.081
ʎ	p_l	0.071
ʧ	t	0.1
ˈu	-	0.091
ŋ	ɛ̃	0.712
ɣ	-	0.902
ʎ	l_j	0.062
ˈi	i	0.742
ˈu	y	0.772
β	-	0.282
a	-	0.153
j	-	0.33
k	-	0.053
o	ɔ	0.493
u	ɛ̃	0.063
u	i	0.133
u	-	0.23
ɲ	ɲ	0.393
ɾ	ʁ	0.653
ˈa	ɑ̃	0.163
ˈe	i	0.123
β	b	0.133
l	l	0.724
ð	d	0.094
ɾ	t_ʁ	0.054
ˈo	-	0.14
d	-	0.175
d	d	0.825
e	a	0.055
m	-	0.485
m	m	0.515
o	-	0.365
s	s	0.465
s	-	0.535
w	œ	0.365
w	-	0.635
ˈa	a	0.145
ˈe	-	0.435
ˈo	u	0.235
β	v	0.585
θ	s	0.435
j	j	0.396
l	-	0.276
ð	-	0.906
ʎ	l	0.866
ˈi	-	0.206
ˈo	œ	0.166
θ	-	0.426
a	a	0.847
e	-	0.297
n	-	0.387
n	n	0.567
u	e	0.187
ɲ	-	0.607
ˈa	ɛ	0.447
ˈe	ɛ	0.27
ˈo	o	0.107
ˈu	w	0.137
e	ə	0.178
j	i	0.258
k	ʃ	0.638
ŋ	-	0.288
ɣ	ɡ	0.098
ˈa	-	0.158
ˈe	w	0.148
ˈo	ɔ	0.288
b	v	0.729
e	ɔ̃	0.439
p	p	0.959
t	-	0.339
u	o	0.269
ɾ	-	0.229
ʧ	-	0.9
θ	z	0.139
