French	Galician	probability
#>	#>	0.309
#>	ɐ_#>	0.236
#>	ʊ_#>	0.228
#>	ɪ_#>	0.117
<#	<#	1.0
a	ˈa	0.291
a	-	0.238
a	a	0.193
a	j	0.067
a_#>	#>	0.496
b	b	0.786
b	β	0.211
d	d	0.834
d	ɲ	0.082
d	ð	0.066
e	ˈa	0.288
e	e_s	0.238
e	ˈa_ð	0.171
e	i	0.055
e	ɐ	0.055
e	ˈi	0.055
e	ɪ	0.05
e_#>	#>	0.496
f	f	0.84
f	β_ʊ	0.081
f_l	ʧ	1.0
i	ˈi	0.258
i	ˈe	0.193
i	i	0.158
i	j	0.118
i	j_t	0.111
i	-	0.05
i	ˈi_ɣ	0.05
i_s	ˈi	0.246
j	ʎ	0.532
j	ˈe	0.096
j	ˈɛ	0.096
j	-	0.084
j	ˈɔ	0.084
j	ˈɑ	0.053
j_ɛ	ˈɛ	1.0
k	k	0.979
l	l	0.747
l	-	0.131
l_e	ˈa	1.0
m	m	0.964
n	n	0.565
n	ɐ	0.182
n	ɲ	0.102
n	-	0.061
n_#>	#>	1.0
o	ˈɔ	0.235
o	ˈɛ_l	0.235
o	ˈa_l	0.205
o	ˈo_w	0.178
o	ˈɔ_s	0.088
p	p	0.99
p_l	ʧ	1.0
s	s	0.714
s	θ	0.209
s	ʃ	0.073
s_i	ˈi	1.0
t	t	0.705
t	θ_ˈe	0.083
t	s_t	0.078
u	ˈo	0.421
u	ˈɔ	0.139
u	ˈo_ð	0.121
u	o	0.103
u	ˈu	0.087
u	ʎ	0.058
v	b	0.576
v	β	0.358
w	ˈe	0.468
w	e	0.137
w	ˈi	0.122
w	ˈu	0.098
w	ˈu_n	0.072
w	ˈe_ð	0.066
w_a	ˈɔ	0.496
y	ˈu	0.649
y	ˈi	0.128
y	ˈo	0.094
y	u	0.07
z	θ	0.542
z	ʃ	0.25
z	s	0.163
ø	ɣ_ʊ	0.199
ø	ʊ	0.199
ø	ˈo_w	0.179
ø	w	0.173
ø	ˈɔ	0.173
œ	ˈɔ	0.59
œ	ˈo	0.265
œ	o	0.072
œ	-	0.068
ɑ̃	n_t	0.329
ɑ̃	ˈa_n	0.191
ɑ̃	ˈɑ_ŋ	0.177
ɑ̃	n	0.088
ɑ̃	ˈe_n	0.072
ɑ̃	ŋ	0.068
ɑ̃	-	0.055
ɔ	ˈo	0.401
ɔ	o	0.277
ɔ	ˈɔ	0.25
ɔ	u	0.056
ɔ̃	ˈo	0.411
ɔ̃	o	0.251
ɔ̃	ɪ	0.098
ɔ̃	ˈu	0.098
ɔ̃	ŋ	0.076
ɔ̃	ˈo_n	0.059
ə	e	0.545
ə	a	0.19
ə	ˈe	0.124
ə	-	0.096
ɛ	ˈɛ	0.229
ɛ	ˈa	0.212
ɛ	ˈe	0.207
ɛ	e	0.092
ɛ	a	0.082
ɛ	ˈɑ	0.051
ɛ̃	ŋ	0.287
ɛ̃	ɲ_ʊ	0.278
ɛ̃	ˈɑ	0.182
ɛ̃	t_ʊ	0.084
ɛ̃	ˈa	0.079
ɡ	ɡ	0.524
ɡ	ɣ	0.323
ɡ	ɲ	0.098
ɥ	ˈo	0.727
ɥ	ˈu	0.266
ɲ	ɲ	0.683
ɲ	n	0.223
ʁ	ɾ	0.786
ʁ	r	0.121
ʃ	k	0.814
ʃ	ɡ	0.063
ʃ	β	0.063
ʃ	k_ˈa	0.052
ʒ	ʃ	0.64
ʒ	β	0.205
ʒ	-	0.068
ʒ	θ	0.056
