Languedocien	Provençal	probability
<#_a	<#_a	1.0
<#_d	<#_d	1.0
<#_e	<#_e	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɥ	<#_ɥ	1.0
<#_ʀ	<#_ʀ	1.0
<#_ʤ	<#_ʤ	1.0
a	a	1.0
a_n	ã_ŋ	1.0
d_ɾ	d_ɾ	1.0
e_#>	e_#>	1.0
i	i	1.0
j	j	1.0
k_#>	k_#>	1.0
k_ɔ	k_ɔ	1.0
l	l	1.0
l_a	l_a	1.0
l_ˈa	l_ˈa	1.0
m_b	m_b	1.0
m_ɔ	m_ɔ	1.0
n_#>	ŋ_#>	1.0
n_ɔ	n_ɔ	1.0
p_#>	#>	1.0
s_#>	s_#>	1.0
s_k	s_k	1.0
s_p	s_p	1.0
s_t	s_t	1.0
s_ˈɛ	s_ˈɛ	1.0
t	t	1.0
t_#>	#>	1.0
t_ɾ	t_ɾ	1.0
w	w	1.0
w_#>	w_#>	1.0
w_ɾ	w_ɾ	1.0
y	y	1.0
ð	d	1.0
ŋ_ɡ	ŋ_ɡ	1.0
ɔ	ɔ_#>	1.0
ɣ	ɡ	1.0
ɥ	ɥ	1.0
ɥ_ˈɛ	ɥ_ˈe	1.0
ɾ	ɾ	1.0
ɾ_ɔ	ɾ_ɔ	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ʎ_ɔ	j_ɔ	1.0
ʤ	ʤ	1.0
ʦ_#>	s_#>	1.0
ʧ_#>	ʧ_#>	1.0
ˈa_#>	ˈa_#>	1.0
ˈa_m	ˈã_m	1.0
ˈa_w	ˈa_w	1.0
ˈi_#>	ˈi_#>	1.0
ˈu_l	ˈu_j	1.0
ˈy_#>	ˈy_#>	1.0
ˈɔ	w_ˈe	1.0
ˈɔ_w	ˈɔ_w	1.0
ˈɛ_l	ˈe_j	1.0
ˈɛ_n	ˈẽ_ŋ	1.0
l_#>	l_#>	0.1
ʀ	ʀ_#>	0.381
ˈa	ˈa	0.71
ˈe	ˈẽ_ŋ	0.111
ˈe	ˈɛ	0.111
m	m_e	0.222
ˈi	ˈi	0.882
m	m_#>	0.333
s	s	0.353
u	u	0.833
ɲ	ɲ_#>	0.333
ˈy	ˈy	0.583
<#_b	<#_b	0.364
m	m	0.444
n	n	0.714
β	v	0.364
<#_ˈa	<#_ˈã	0.25
<#_ˈa	<#_ˈa	0.75
e	e_#>	0.235
z	-	0.25
z	z	0.75
ˈa	ˈã	0.065
ˈu	ˈe	0.105
ˈu	w_ˈẽ	0.105
ˈu_#>	ˈũ_ŋ	0.5
ˈu_#>	ˈu_#>	0.5
ˈy	ˈỹ	0.25
ˈɛ	ˈe	0.125
<#_b	<#_v	0.636
n	ʀ	0.286
ˈa	ˈã_ŋ	0.226
ˈɛ	ˈẽ	0.156
β	b	0.636
e	e	0.647
s	-	0.647
u	-	0.167
ɲ	ɲ	0.667
ˈy	ˈũ	0.167
e	ẽ	0.118
ˈe	ˈe	0.778
ˈi	ˈĩ_ŋ	0.118
l_#>	w_#>	0.9
ʀ	ʀ	0.619
ˈu	ˈu	0.789
ˈɛ	ˈɛ	0.719
