Neapolitan	Asturian	probability
d	d	1.0
e	e	1.0
f	f	1.0
kː	k	1.0
m	m	1.0
mː	m	1.0
rː	r	1.0
s	s	1.0
ŋ	ŋ	1.0
ʎː	ʝ	1.0
ʤː	-	1.0
ʧː	-	1.0
lː	l	0.311
nː	<#_ɡ	0.061
o	o	0.691
p	p	0.851
v	β	0.361
a	a	0.982
j	j	0.752
k	ɣ	0.172
t	ð	0.592
ʃː	θ	0.772
ʤ	ʃ	0.82
l	l	0.43
r	ɾ	0.673
sː	ʎ	0.573
t	t	0.353
ɡ	ɣ	0.123
ʃ	θ	0.633
ˈa	ˈa_ɾ	0.133
ˈe	ˈe	0.953
ˈu	ˈu	0.463
i	ˈi	0.134
i	e	0.374
k	k	0.74
nː	<#_e	0.214
ɾ	l	0.054
ˈɔ	ˈo	0.424
t	-	0.055
tː	ʧ	0.295
u	o	0.615
v	b	0.615
w	w	0.975
ˈi	ˈi	0.465
ˈɔ	w_ˈe	0.215
ˈɛ	j_ˈe	0.205
ˈɛ	ˈe	0.795
i	-	0.076
i	i	0.416
j	-	0.156
r	r	0.246
ˈa	ˈe	0.056
ˈa	ˈa	0.786
ˈi	ˈe	0.506
ˈo	ˈe	0.106
l	ʎ	0.57
n	n	0.967
nː	n	0.147
sː	s	0.427
tː	-	0.087
u	-	0.307
ə	a	0.307
ɡ	ɡ	0.877
ˈo	ˈo	0.817
j	ʃ	0.078
k	-	0.088
nː	ɲ	0.578
tː	t	0.618
u	u	0.078
ə	-	0.098
ə	e	0.158
ɾ	-	0.218
ɾ	ɾ	0.728
ʃ	-	0.068
ʃː	-	0.228
ʤ	-	0.18
ˈo	ˈu	0.078
ˈɔ	ˈe	0.328
lː	ʎ	0.689
o	u	0.309
p	β	0.149
ə	u	0.39
ɲː	ɲ	0.969
ʃ	e_s	0.279
ˈu	ˈo	0.509
