Western Lombard	Occitan	probability
#>	ɔ_#>	1.0
<#_a	<#_a	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_u	<#_a	1.0
<#_v	<#_v	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʒ	<#_ʤ	1.0
<#_ʤ	<#_ʤ	1.0
<#_ʧ	<#_s	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈoː	<#_ˈa_w	1.0
<#_ˈœ	<#_ɥ_ˈɛ	1.0
a_#>	ɔ_#>	1.0
a_d	a_ð	1.0
a_l	a_l	1.0
a_r	a_ɾ	1.0
a_s	a_s	1.0
a_v	a_β	1.0
e_r	ɾ_e	1.0
f_#>	w_#>	1.0
i	e	1.0
ĩ	i	1.0
j_a	ʎ_ɔ	1.0
j_ˈøː	ˈi	1.0
k	k	1.0
k_#>	k_#>	1.0
l_#>	l_#>	1.0
m	m	1.0
m_#>	m_#>	1.0
n	n	1.0
n_a	#>	1.0
p	p	1.0
p_#>	s_#>	1.0
r_#>	e_#>	1.0
r_n	r_#>	1.0
s	s	1.0
s_t	s_t	1.0
t_e	t_ɾ	1.0
t_ˈɑː	t_ˈa	1.0
ũ	u_n	1.0
w	-	1.0
y	u	1.0
z	s	1.0
z_ɡ	v	1.0
ɡ	ɣ	1.0
ɲ	ɲ	1.0
ɲ_#>	ɲ_#>	1.0
ʒ	z	1.0
ˈa_#>	ˈa_#>	1.0
ˈa_v	ˈa_β	1.0
ˈã_#>	ˈa_#>	1.0
ˈe	ˈe	1.0
ˈe_#>	ˈɛ_#>	1.0
ˈẽ	ˈɛ_n	1.0
ˈẽ_#>	ˈe_#>	1.0
ˈi	ˈi	1.0
ˈi_#>	ˈi_#>	1.0
ˈiː_n	ˈi_n	1.0
ˈĩ_#>	ˈi_#>	1.0
ˈoː	ˈa_w	1.0
ˈu	ˈu	1.0
ˈuː	ˈu	1.0
ˈuː_r	ˈu_#>	1.0
ˈũ	ˈu_n	1.0
ˈũ_#>	ˈu_#>	1.0
ˈyː_r	ˈy_#>	1.0
ˈɑː	ˈa	1.0
ˈɑː_d	ˈa_j	1.0
ˈɑː_n	ˈa_n	1.0
ˈɑː_r	ˈa_#>	1.0
ˈɔ_l	ˈa_w	1.0
ˈɔ_s	ˈɔ_s	1.0
ˈɛ_#>	ˈe_#>	1.0
ˈɛ_r	ˈɛ_r	1.0
ˈɛ_s	ˈɛ	1.0
<#	<#_e	0.571
b	β	0.571
d	-	0.231
s_#>	#>	0.2
s_#>	ʦ_#>	0.32
u	-	0.182
ˈa	ˈa	0.882
ˈyː	ˈy	0.692
ˈøː	ɥ_ˈɛ	0.182
ˈɔ	ˈu	0.2
e	-	0.263
j	ʎ	0.143
j	j	0.143
l	-	0.143
l	l	0.643
r	-	0.093
v	-	0.333
ˈeː	ˈɛ	0.333
ˈɔ	ɥ_ˈɛ	0.133
ˈɔ	ˈa_w	0.133
ˈɔ	ˈɔ	0.533
<#	<#_a	0.214
<#	<#_k	0.214
d	d	0.154
d	z	0.154
d	ʤ	0.154
j	l	0.714
l	w	0.214
t_#>	#>	0.304
ˈiː	ˈe	0.4
ˈøː	ɥ_ˈɔ	0.364
<#_l	<#_ˈe	0.105
<#_l	<#_l	0.895
a	-	0.375
a	a	0.625
t	ð	0.25
t	t	0.75
ʧ	s	0.5
ʧ	l	0.5
ʧ_#>	ʧ_#>	0.25
ʧ_#>	e_#>	0.25
ʧ_#>	l_#>	0.5
ˈã	n	0.5
ˈã	ŋ	0.5
ˈøː	ˈɔ	0.455
ˈiː	ˈi	0.6
ˈɛ	ˈɛ	0.556
e	e	0.737
t_#>	ʧ_#>	0.217
v	β	0.667
ˈeː	ˈe	0.667
d	ð	0.308
r	ɾ	0.558
s_#>	s_#>	0.48
t_#>	t_#>	0.478
u	u	0.818
ˈa	ˈa_j	0.118
ˈyː	ˈu	0.308
ˈɛ	ˈe	0.148
ˈɛ	ˈe_j	0.148
ˈɛ	j_ˈɛ	0.148
b	-	0.429
r	r	0.349
