Limburgish	Nynorsk Norwegian	probability
b	b	0.962
b	-	0.044
d	d	0.517
d	tʰ	0.341
d	-	0.093
d	ç	0.046
d_ə	ɑ	1.0
f	ʋ	0.809
f	m	0.187
j	-	0.478
j	e	0.203
j	l	0.088
j	lː	0.086
j	ˈoː	0.067
k	kʰ	0.328
k	-	0.22
k	k	0.22
k	ç	0.093
k	ɡː	0.093
l	l	0.775
l	lː	0.096
l	l_e	0.047
l	-	0.041
l	nː	0.041
l_ə	l	1.0
m	m	0.963
m	mː	0.042
n	n	0.583
n	nː	0.285
n	-	0.128
p	p	0.792
p	-	0.102
p	pʰ	0.07
s	s	0.781
s	ʃ	0.072
s	s_e	0.072
s	sː	0.048
s	-	0.031
t	-	0.376
t	t	0.366
t	d	0.125
t	tʰ	0.075
t_β	tʰ	1.0
v	f	0.75
v	ʋ	0.191
v	-	0.054
w	lː	1.0
x	ɡ	0.529
x	ʰtː	0.294
x	-	0.134
x	k	0.042
z	s	0.861
z	ʃ	0.124
ŋ	ŋː	0.792
ŋ	ɲ	0.133
ŋ	-	0.064
ŋ_k	ʰkː	1.0
ə	ɑ	0.436
ə	-	0.36
ə	e	0.147
ə	ˈeː	0.037
ə	ɛ	0.025
ə_l	l	1.0
ə_m	m	1.0
ɡ	j	0.479
ɣ	ɡ	0.681
ɣ	j	0.255
ɣ	-	0.06
ɦ	h	0.92
ɦ	-	0.077
ɪ	ŋ	0.229
ɪː	ˈɪ	1.0
ʀ	ɾ	0.91
ʀ	-	0.089
ʃ	ʃ	0.922
ʃ	k	0.042
ʦ	k	0.229
ˈaː	ˈɑ	0.548
ˈaː	ˈɑː	0.39
ˈaː	-	0.062
ˈeː	ˈeː	0.261
ˈeː	ˈʉː	0.165
ˈeː	ˈiː	0.16
ˈeː	ˈyː	0.124
ˈeː	ˈɛː	0.065
ˈi	ˈøː	0.213
ˈi	ˈoː	0.185
ˈi	ˈeː	0.161
ˈi	ˈɛ	0.122
ˈi	ˈuː	0.122
ˈiː	ˈiː	0.697
ˈiː	ˈyː	0.117
ˈiː	ˈɛ	0.117
ˈiː	ˈoː	0.061
ˈoː	ˈʉː	0.204
ˈoː	ˈʉ	0.188
ˈoː	ˈuː	0.148
ˈoː	ˈɔ	0.077
ˈu	ˈæʉ̯	1.0
ˈuː	ˈʉː	0.757
ˈuː	ˈœʏ̯	0.132
ˈuː	ˈʉ	0.096
ˈv	f	1.0
ˈyː	ˈyː	0.234
ˈyː	ˈʉ	0.139
ˈyː	ˈøː	0.139
ˈyː	ˈœʏ̯	0.071
ˈæ	ˈɛ	0.315
ˈæ	ˈɔ	0.188
ˈæ	ˈɑ	0.188
ˈæ	ˈʊ	0.112
ˈæː	ˈɛ	0.488
ˈæː	ˈɑ	0.269
ˈæː	ˈæ	0.042
ˈøː	ˈøː	0.409
ˈøː	ˈuː	0.296
ˈøː	ˈoː	0.101
ˈøː	ˈyː	0.074
ˈøː	ˈʊ	0.069
ˈœ	ˈʏ	0.608
ˈœ	ˈɑː	0.106
ˈœ	ˈoː	0.106
ˈœi̯	ˈœʏ̯	0.37
ˈœi̯	ˈyː	0.269
ˈœi̯	ˈʏ	0.121
ˈœː	ˈɔ	1.0
ˈɑ	ˈɑ	0.354
ˈɑ	ˈɛ	0.291
ˈɑ	ˈɑː	0.118
ˈɑ	ˈɔ	0.116
ˈɑ	-	0.059
ˈɑː	ˈɑ	0.839
ˈɑː	ˈɑː	0.128
ˈɒː	ˈoː	0.678
ˈɒː	ˈɑː	0.143
ˈɒː	ˈɑ	0.115
ˈɔ	ˈʉ	0.386
ˈɔ	ˈuː	0.189
ˈɔ	ˈʏ	0.125
ˈɔ	ˈʉː	0.125
ˈɔ	ˈɔ	0.082
ˈɔu̯	ˈæʉ̯	1.0
ˈɔː	ˈʉ	0.422
ˈɔː	ˈæʉ̯	0.367
ˈɔː	ˈœʏ̯	0.153
ˈɛ	ˈɛ	0.315
ˈɛ	ˈiː	0.238
ˈɛ	ˈeː	0.124
ˈɛ	ˈæɪ̯	0.114
ˈɛ	ˈɪ	0.114
ˈɛi̯	ˈeː	0.479
ˈɛː	ˈæɪ̯	0.606
ˈɛː	ˈœ	0.134
ˈɛː	ˈæːɪ̯	0.094
ˈɛː	ˈʏ	0.091
ˈɛː	ˈiː	0.047
ˈɛːi̯	ˈæɪ̯	0.363
ˈɛːi̯	ˈɛ	0.174
ˈɪ	ˈʉ	0.263
ˈɪ	ˈiː	0.263
ˈɪ	ˈøː	0.144
ˈɪ	ˈɪ	0.091
ˈɪ	ˈɛ	0.091
ˈɪː	ˈɪ	0.562
ˈɪː	ˈʏ	0.246
ˈɪː	ˈʉː	0.123
ˈɪː	ˈiː	0.061
ˈʊ	ˈʊ	0.479
ˈʊː	ˈuː	0.402
ˈʊː	ˈʊ	0.247
ˈʊː	ˈʉ	0.125
ˈʊː	ˈoː	0.095
ˈʊː	-	0.056
ˈʏ	ˈʏ	1.0
ˈʏː	ˈɔ	0.392
ˈʏː	ˈɛ	0.392
ˈʏː	ˈʏ	0.119
β	ʋ	0.456
β	-	0.34
β	kʰ	0.147
β	v	0.048
