Limburgish	Nynorsk Norwegian	probability
f	m	1.0
i	e	1.0
w	lː	1.0
ɪ	ŋ	1.0
ˈu	ˈæʉ̯	1.0
ˈœː	ˈɔ	1.0
ˈʊ	ˈʉ	1.0
ˈʏ	ˈʏ	1.0
m	mː	0.1
p	pʰ	0.161
t	ʰtː	0.061
x	ɡː	0.061
x	k	0.061
z	ʂ	0.21
ŋ	-	0.121
ɦ	h	0.91
ˈeː	-	0.051
ˈeː	ˈʉː	0.161
ˈyː	ˈɛ	0.081
ˈøː	ˈʊ	0.111
ˈɑ	ˈeː	0.051
ˈɑ	ˈɑː	0.081
ˈɔː	ˈeː	0.081
ˈɛː	ˈʏ	0.081
ˈɛːi̯	ˈɛ	0.151
ˈɪː	ˈʉː	0.1
ˈʊː	ˈœ	0.051
ˈʊː	ˈoː	0.071
β	kʰ_ʋ	0.061
β	ʋ	0.601
d	tʰ	0.322
n	nː	0.262
v	-	0.062
ɣ	ɡ	0.752
ˈeː	ˈeː	0.182
ˈoː	ˈʉ	0.072
ˈoː	ˈɔ	0.122
ˈoː	ˈʊ	0.332
ˈœ	ˈuː	0.2
ˈɑː	ˈɑ	0.982
ˈɔ	ˈʏ	0.062
ˈɪː	ˈɛ	0.072
ˈʊː	-	0.062
ˈʊː	ˈɔ	0.082
d̥	d	0.373
j	ˈoː	0.073
k	ç	0.193
k	k	0.3
l	l	0.793
t	t	0.63
ʃ	ʂ	0.873
ˈi	ˈøː	0.063
ˈi	ˈiː	0.13
ˈoː	ˈuː	0.23
ˈæ	ˈɔ	0.073
ˈæː	ˈɛ	0.443
ˈøː	ˈøː	0.303
ˈɔ	ˈuː	0.193
ˈɔː	ˈoː	0.253
ˈɛ	ˈeː	0.163
ˈɛːi̯	ˈeː	0.393
ˈɪ	ˈɛ	0.373
ˈʊː	ˈʊ	0.173
ˈʊː	ˈʉ	0.283
ˈʏː	ˈʏ	0.063
ˈʏː	ˈɛ	0.583
β	v	0.113
d	ç	0.084
d̥	-	0.214
j	e	0.324
k	ɡː	0.114
k	kʰ	0.264
s	-	0.084
v̥	-	0.064
ŋ	ɲ	0.124
ɣ	-	0.054
ɣ	j	0.194
ˈeː	ˈiː	0.104
ˈeː	ˈyː	0.124
ˈiː	ˈoː	0.084
ˈoː	ˈʉː	0.244
ˈuː	ˈœʏ̯	0.164
ˈøː	ˈeː	0.084
ˈœ	ˈʏ	0.714
ˈœi̯	ˈʏ	0.064
ˈœi̯	ˈyː	0.254
ˈɑ	ˈɔ	0.154
ˈɒː	ˈɑ	0.074
ˈɔ	ˈɔ	0.134
ˈɔu̯	ˈæʉ̯	0.24
ˈɛ	ˈɪ	0.204
ˈɛː	ˈiː	0.054
ˈɪː	ˈʏ	0.174
ˈɪː	ˈɪ	0.614
ˈʏː	ˈɔ	0.354
j	l	0.075
n	n	0.645
s	k_s	0.05
x	-	0.075
ə	e	0.145
ɡ	jː	0.5
ɡ	j	0.5
ʀ	-	0.075
ˈyː	ˈyː	0.145
ˈyː	ˈøː	0.225
ˈæː	ˈœ	0.155
ˈæː	ˈɑ	0.305
ˈœi̯	ˈʉ	0.335
ˈɔu̯	jː	0.105
ˈɔu̯	ˈɔ	0.415
ˈɛ	ˈɛ	0.195
ˈɛ	ˈiː	0.395
β	-	0.225
d	-	0.126
l	j	0.086
p	p	0.76
v̥	lː	0.066
ŋ	ŋː	0.516
ə	ɑ	0.436
ˈeː	j	0.146
ˈi	ˈɛ	0.106
ˈi	ˈeː	0.106
ˈæ	ˈɛ	0.196
ˈæ	ˈæː	0.196
ˈøː	ˈyː	0.156
ˈøː	ˈɔ	0.156
ˈøː	ˈuː	0.156
ˈœ	ˈɑː	0.086
ˈɔ	ˈʉː	0.236
ˈɔ	ˈʉ	0.376
ˈɪ	ˈøː	0.246
d̥	lː	0.207
d̥	ʋ	0.207
n	-	0.087
s	sː	0.067
t	tʰ	0.187
v̥	ʋ	0.87
x	ʰtː	0.277
x	ɡ	0.477
ʃ	s	0.127
ˈaː	-	0.187
ˈaː	ˈɑː	0.207
ˈi	ˈɪ	0.067
ˈiː	ˈyː	0.107
ˈyː	ˈʉ	0.087
ˈæ	ˈɑ	0.417
ˈæː	ˈæ	0.097
ˈœi̯	ˈœʏ̯	0.347
ˈɑ	ˈɛ	0.267
ˈɑ	ˈɑ	0.447
ˈɒː	ˈoː	0.817
ˈɔː	ˈœʏ̯	0.07
ˈɔː	ˈæʉ̯	0.287
ˈɛː	ˈœ	0.07
ˈɛː	ˈɔ	0.07
ˈɛː	ˈeː	0.07
ˈɛː	ˈæɪ̯	0.657
ˈɛːi̯	ˈæɪ̯	0.457
ˈɪ	ˈiː	0.057
ˈɪ	ˈɪ	0.087
ˈɪ	ˈʉ	0.237
ˈʊː	ˈuː	0.247
b	b	0.978
d	d	0.468
j	-	0.468
ə	-	0.308
ʀ	ɾ	0.908
ˈaː	ˈɛ	0.058
ˈaː	ˈɑ	0.548
ˈi	ˈoː	0.448
ˈiː	ˈiː	0.778
ˈuː	ˈʉː	0.8
ˈyː	ˈœʏ̯	0.428
l	lː	0.109
m	m	0.859
s	s	0.769
v	ʋ	0.189
v	f	0.749
z	s	0.79
ŋ	ʰkː	0.239
ə	ə	0.09
ɦ	j	0.09
ˈeː	ˈæː	0.129
ˈi	ˈuː	0.079
ˈæ	ˈʊ	0.119
ˈɒː	ˈɑː	0.109
ˈɔu̯	e	0.239
ˈɔː	ˈʉ	0.309
