Polish	Russian	probability
ʨ	tʲ	1.0
ʦ_ɛ	ʦ_ə	1.0
ʦ	ʦ	1.0
ʥ	dʲ	1.0
ʑ	zʲ	1.0
ʈ͡ʂ	ʨ	1.0
ɡ̊	ɡ̊	1.0
ɛ_w̃	a	1.0
ɛ_l	ɪ_lʲ	1.0
ɔ_w̃	u_ˈ	1.0
ŋ	-	1.0
z̥	z̥	1.0
z	z	1.0
w̃	-	1.0
w_a	ɫ_a	1.0
w	ɫ	1.0
v_j	vʲ	1.0
v_a	v_ə	1.0
t	t	1.0
s	s	1.0
p_j	pʲ	1.0
m_j	mʲ	1.0
l_a	lʲ_e	1.0
k_a	k_a	1.0
j_ɛ	ə	1.0
d̥	d̥	1.0
d_w	ɫ	1.0
a_w	ɫ_ɨ	1.0
ɡ	ɡ	0.858
n	n	0.825
d	d	0.815
ɕ	sʲ	0.781
ɨ	ɨ	0.779
r	r	0.74
b̥	b̥	0.733
j	-	0.7
x	x	0.694
ʐ	rʲ	0.69
a	a	0.689
i	i	0.685
v	v	0.68
k	k	0.668
l	lʲ	0.624
b	b	0.618
p	p	0.614
j_a	e	0.6
m	m	0.558
f	vʲ	0.539
ɲ	nʲ	0.537
ʐ̊	ʐ̊	0.511
ʂ	-	0.5
ʐ̊	rʲ	0.489
f	-	0.461
ɔ	o	0.409
j_a	ɪ	0.4
m	mʲ	0.396
p	pʲ	0.386
b	bʲ	0.382
l	-	0.376
u	o	0.373
ɲ	-	0.337
ʂ	ʂ	0.324
v	vʲ	0.32
i	ɪ_j	0.315
ʐ	ʐ	0.31
j	e	0.3
ɛ	e	0.285
ɛ	ɪ	0.281
b̥	b̥ʲ	0.267
k	kʲ	0.222
ɨ	j	0.221
ɕ	s	0.219
d	dʲ	0.185
ʂ	ɕː	0.176
n	-	0.175
ɛ	-	0.173
ɔ	-	0.17
ɔ	ɐ	0.166
x	x_o	0.162
r	ɐ_r	0.158
a	ə	0.146
x	xʲ	0.144
ɛ	o_ˈ	0.14
u	ʊ	0.13
u	-	0.13
u	ɪ	0.129
ɲ	æ	0.126
ɔ	ɪ	0.112
u	u_ˈ	0.112
k	-	0.11
r	-	0.102
a	ɵ_ˈ	0.101
u	ɵ	0.095
ɔ	u_ˈ	0.094
ɡ	-	0.073
ɡ	ɡʲ	0.069
a	-	0.064
