Nynorsk Norwegian	Nynorsk Norwegian	probability
ˈʏ	ˈʏ	1.0
ˈʊ	ˈʊ	1.0
ˈʉː	ˈʉː	1.0
ˈʉ	ˈʉ	1.0
ˈɪ	ˈɪ	1.0
ˈɛ	ˈɛ	1.0
ˈɔ	ˈɔ	1.0
ˈɑː	ˈɑː	1.0
ˈɑ	ˈɑ	1.0
ˈœʏ̯	ˈœʏ̯	1.0
ˈœ	ˈœ	1.0
ˈøː	ˈøː	1.0
ˈæː	ˈæː	1.0
ˈæʉ̯	ˈæʉ̯	1.0
ˈæɪ̯	ˈæɪ̯	1.0
ˈæ	ˈæ	1.0
ˈyː	ˈyː	1.0
ˈuː	ˈuː	1.0
ˈoː	ˈoː	1.0
ˈiː	ˈiː	1.0
ˈeː	ˈeː	1.0
ʰtː	ʰtː	1.0
ʰpː	ʰpː	1.0
ʰkː	ʰkː	1.0
ʋ	ʋ	1.0
ʉ	ʉ	1.0
ʂ	ʂ	1.0
ɾ_ɑ	ɾ_ɑ	1.0
ɾ	ɾ	1.0
ɲ	ɲ	1.0
ɪ	ɪ	1.0
ɡː	ɡː	1.0
ɡ	ɡ	1.0
ɛ	-	1.0
ə	ə	1.0
ɑ	ɑ	1.0
ŋː	ŋː	1.0
ŋ	ŋ	1.0
çː	çː	1.0
ç	ç	1.0
v	v	1.0
tː	-	1.0
tʰ	tʰ	1.0
t	t	1.0
sː	sː	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
nː	nː	1.0
n	n	1.0
mː	-	1.0
m	m	1.0
lː	lː	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
jː	jː	1.0
j	j	1.0
h	h	1.0
f	f	1.0
e	e	1.0
d	d	1.0
b	b	1.0
