French	French	probability
ʒ	ʤ	1.0
ʃ	k	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɛ_ʁ	ˈɛ_ʀ	1.0
ɛ_n	ˈa_n	1.0
œ_ʁ_#>	ˈu_#>	1.0
z	z	1.0
w_a_#>	ˈe_#>	1.0
v_ʁ	b_ɾ	1.0
u_ʁ	ˈu_ʀ	1.0
t_#>	t_ɔ_#>	1.0
s_ə	s_e	1.0
s_#>	s_ɔ_#>	1.0
p	p	1.0
l_#>	w_#>	1.0
k_#>	k_#>	1.0
k	k	1.0
j_ɛ	ˈɛ	1.0
j_#>	j_ɔ_#>	1.0
i_ʁ_#>	ˈi_#>	1.0
i_#>	#>	1.0
d	d	1.0
b	b	1.0
<#_ʁ	<#_ʀ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_l	<#_l	1.0
<#_e	<#_e_s	1.0
<#_a	<#_a	1.0
m	m	0.964
l	l	0.935
v	v	0.926
n	n	0.92
f	f	0.852
y	ˈy	0.818
s	s	0.8
e_#>	ˈa_#>	0.8
t	t	0.75
ʁ	ɾ	0.717
ɥ	ɥ	0.714
e	ˈa	0.714
ɔ̃	ˈũ_ŋ	0.615
w_a	ˈe	0.6
ɔ	w_ˈe	0.571
ʁ_#>	#>	0.556
u	ˈu	0.55
ɑ̃	ˈẽ_ŋ	0.5
i	ˈi	0.485
o	ˈa_w	0.471
#>	ɔ_#>	0.47
ʁ_#>	e_#>	0.444
ə	e	0.429
œ	ɥ	0.4
ɑ̃	ˈã_ŋ	0.389
a	ˈa	0.389
j	j	0.375
j	-	0.375
o	ˈɛ_w	0.353
w	ˈe	0.333
ɛ̃	ˈã_ŋ	0.32
ɔ̃	w_ˈẽ	0.308
a	a	0.306
u	u	0.3
ɥ	-	0.286
ə	i	0.286
ə	a	0.286
ɔ	u	0.286
e	ˈi	0.286
ʁ	ʀ	0.283
w	ˈɛ	0.267
#>	e_#>	0.256
ɛ	ˈe	0.25
ɛ	ˈa	0.25
ø	ˈu_ɔ	0.25
ø	ˈe_k	0.25
ø	ˈe	0.25
ø	k	0.25
ɛ̃	ˈĩ_ŋ	0.24
ɛ̃	ŋ	0.2
œ	ˈu	0.2
œ	w_ˈe	0.2
œ	w	0.2
w_a	ˈu_s	0.2
w_a	e	0.2
w	ˈũ	0.2
w	-	0.2
s	-	0.2
e_#>	#>	0.2
ɛ	ˈa_j	0.194
y	-	0.182
i	j_ˈe	0.182
o	ˈe_s	0.176
u	w	0.15
ɔ	w	0.143
a	j	0.139
t	ŋ_t	0.125
t	s	0.125
j	ˈɛ	0.125
j	w	0.125
ɛ̃	ɲ	0.12
ɛ	ˈɛ	0.111
ɑ̃	ã	0.111
i	ˈe	0.091
i	j	0.091
i	i	0.091
ɛ	a	0.083
ɛ̃	ˈã	0.08
n	n_w	0.08
ɔ̃	ũ	0.077
#>	w_#>	0.077
v	b	0.074
f	ˈɔ	0.074
f	ˈe_w	0.074
l	lː	0.065
i	ˈe_ʧ	0.061
#>	s_#>	0.06
ɛ	ˈɛ_s	0.056
ɛ	j	0.056
a	ɔ	0.056
a	e	0.056
a	-	0.056
