Russian	Ukrainian	probability
d	d	1.0
dʲ	d	1.0
j	j	1.0
kʲ	k	1.0
m	m	1.0
nʲ	nʲ	1.0
s	s	1.0
x	x	1.0
zʲ	z	1.0
ʂ	ʒ	1.0
ʊ	ʊ	1.0
ʐ	ʒ	1.0
ʨ	ʧ	1.0
ˈi	ˈɪ	1.0
ˈu	ˈu	1.0
ˈæ	ˈɑ	1.0
ˈɛ	ˈi	1.0
ˈɨ	ˈɪ	1.0
ˈɵ	ˈɛ	1.0
mʲ	m	0.521
pʲ	p	0.851
tʲ	tʲ	0.491
ɪ	ɐ	0.111
ɪ	e	0.281
r	r	0.982
ɪ	ɔ	0.082
sʲ	s	0.463
t	t	0.933
v	w	0.433
ɐ	ɔ	0.993
ɫ	ʍ	0.063
ʦ	ʦʲ	0.523
k	kʲ	0.104
lʲ	lʲ	0.644
mʲ	mʲ	0.154
p	b	0.364
rʲ	r	0.804
tʲ	t	0.204
tʲ	t_e	0.304
vʲ	ʋ	0.304
z	z	0.844
ɨ	e	0.824
ɪ	i	0.224
ʦ	ʦ	0.44
ˈe	ˈɛ	0.464
ˈo	ˈi	0.344
mʲ	m_j	0.325
n	nʲ	0.195
n	n	0.805
vʲ	ʋ_j	0.105
ɪ	ˈɪ	0.065
ˈa	ˈa	0.105
ˈe	ˈi	0.525
lʲ	ɫ	0.356
p	p	0.636
rʲ	rʲ	0.196
z	zʲ	0.156
ə	ɛ	0.056
ə	ɐ	0.246
ɨ	ˈɪ	0.176
ˈo	ˈɔ	0.656
sʲ	sʲ	0.537
t	d	0.067
ɪ	ɛ	0.237
ɫ	ɫ	0.937
v	ʋ	0.498
ə	ɔ	0.698
ˈa	ɐ	0.178
ˈa	ˈɑ	0.718
k	k	0.879
pʲ	pʲ	0.149
v	ʋʲ	0.069
vʲ	ʋʲ	0.59
ɡ	ɦ	0.99
