Aromanian	Aromanian	probability
ˈɨ_n	ˈʌ̃	1.0
ˈɨ	ˈʌ̃	1.0
ˈə	o	1.0
ˈu_n	ˈõũ̯	1.0
ˈa_v	ˈɔə̯	1.0
ʧ	-	1.0
ʦ_i	z	1.0
ʤ	ð	1.0
ʎ	l	1.0
ɨ	ɐ	1.0
ɡ_ʎ	ʤ	1.0
ɡ	ɡ	1.0
ə_#>	#>	1.0
ŋ	-	1.0
ç	f	1.0
z	v	1.0
w	v	1.0
u_#>	#>	1.0
r_ə	r_ɐ	1.0
r_i_#>	#>	1.0
r_#>	l_#>	1.0
p_t	t	1.0
k_ˈu	k_ˈu	1.0
k_ʎ	ʧ	1.0
j_i	v	1.0
j_#>	#>	1.0
i_r	r	1.0
i_#>	#>	1.0
f	f	1.0
e̯a	-	1.0
e	-	1.0
d	d	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈeə̯	1.0
<#_ʦ	<#_θ	1.0
<#_ʎ	<#_l	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#_v	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_j	<#_v	1.0
<#_a	<#	1.0
ə	ɐ	0.944
s	s	0.917
b	b	0.818
n	n	0.771
<#_t	<#_t	0.714
m	m	0.7
p	p	0.696
t	t	0.679
ɲ	m	0.667
u	u	0.667
r	r	0.643
ʃ	s	0.625
k	k	0.611
ˈa	ˈeə̯	0.586
r_u	ɐ_r	0.5
r_u	r	0.5
j	ˈu	0.5
j	j_ˈeː	0.5
a	r	0.5
a	-	0.5
#>	ɐ_#>	0.5
l	l	0.467
i	ɐ	0.464
ʦ	θ	0.444
ʣ	ð	0.417
ʣ	d	0.417
ˈu	ˈou̯	0.385
ʃ	-	0.375
i	-	0.357
ˈe	ˈɛə̯	0.353
ˈu	ˈo	0.346
ʦ	t	0.333
ɲ	ɲ	0.333
u	ɐ	0.333
l	j	0.333
ˈi	ˈi	0.323
e̯ˈa	ˈɛ	0.318
ˈo	ˈɔ	0.316
<#_t	<#	0.286
k	ɡ	0.278
ˈa	ˈa	0.276
e̯ˈa	ˈeː	0.273
ˈo	ˈɔə̯	0.263
ˈi	ˈẽ	0.258
o̯ˈa	ˈou̯	0.25
o̯ˈa	ˈo	0.25
o̯ˈa	-	0.25
#>	t_ɐ_r_#>	0.25
#>	l_#>	0.25
ˈe	ˈɛ	0.235
ˈe	ˈeː	0.235
e̯ˈa	-	0.227
ʦ	-	0.222
t	d	0.214
ˈo	ˈu	0.211
m	-	0.2
l	-	0.2
r	l	0.19
b	-	0.182
ʣ	-	0.167
o̯ˈa	ˈɔ	0.167
ˈi	-	0.161
ˈu	ˈɔ	0.154
ˈa	-	0.138
e̯ˈa	ˈi	0.136
p	v	0.13
ˈi	ˈɛ	0.129
ˈe	ˈi	0.118
ˈu	-	0.115
k	p	0.111
t	-	0.107
i	v	0.107
ˈo	v	0.105
ˈo	u	0.105
m	n	0.1
ˈi	j	0.097
p	k_v	0.087
p	-	0.087
s	-	0.083
o̯ˈa	w	0.083
r	r_ɐ	0.071
i	z	0.071
ˈe	ˈaː	0.059
n	ˈõũ̯	0.057
n	ŋ	0.057
n	j̃	0.057
n	-	0.057
ə	-	0.056
