Macedonian	Slovak	probability
b	b	1.0
i	i	1.0
j	j	1.0
m	m	1.0
p	p	1.0
r	r	1.0
u	ɛ	1.0
z	z	1.0
ʃ	ʃ	1.0
ʒ	ʒ	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
ˈi	ˈi	1.0
l	l	0.61
ɛ	ɔ	0.1
ˈr̩	ˈr̩	0.91
n	n_iː	0.12
ɛ	-	0.222
ɡ	c_#>	0.052
ˈa	ˈu	0.082
ˈu	ˈuː	0.352
d	d	0.603
f	x	0.203
ɛ	ɛ	0.603
ɫ	l	0.113
ˈɛ	ˈæ	0.053
k	k_iː	0.104
o	ɔ	0.774
s	s	0.914
t	t	0.574
v	ʋ	0.884
ɡ	ɦ	0.844
a	-	0.195
a	a	0.805
n	ɲ	0.345
n	n	0.535
ɛ	a	0.075
ˈo	ˈɔ	0.775
o	-	0.226
t	c	0.426
v	v	0.116
ˈɛ	ɪ̯ˈɛ	0.26
ˈɛ	ˈɛ	0.566
d	ɟ	0.397
k	x	0.077
ɫ	ʎ	0.17
f	v	0.358
ɡ	iː_#>	0.078
ˈa	ˈa	0.918
ˈu	ˈu	0.648
ˈɛ	ˈa	0.078
f	ʋ	0.439
k	k	0.819
l	ʎ	0.39
ɫ	ɫ	0.69
ˈo	ʊ̯ˈɔ	0.189
ˈr̩	r	0.09
