Catalan	Romanian	probability
i	i	1.0
j	p	1.0
r	r	1.0
z	-	1.0
ð	t	1.0
ɡ	ɡ	1.0
t	p_t_e	0.061
u	o	0.071
w	-	0.511
ɲ	m_n	0.121
ʃ	ʃ_t	0.511
ʎ	-	0.271
ʎ	l	0.631
ˈe	e̯ˈa	0.151
ˈu	ˈu	0.811
ˈɔ	o̯ˈa	0.291
ˈɛ	ˈi	0.171
s	s	0.462
w	ʦ	0.082
ə	e	0.232
ʒ	ʤ	0.52
ˈo	ˈu_n	0.072
β	b	0.222
b	v	0.723
f	f	0.963
n	n	0.753
s	-	0.133
u	-	0.053
ŋ	n	0.703
ɣ	k	0.793
ɲ	e_#>	0.083
ʒ	ʒ	0.413
ˈu	ˈo	0.083
ˈɔ	ˈu	0.303
β	p	0.173
d	d	0.624
l	-	0.144
l	r	0.384
p	t	0.064
ɾ	-	0.144
ʎ	j	0.054
ˈe	ˈi	0.364
ˈɛ	e	0.094
m	m	0.965
p	p	0.895
ˈa	ˈɨ	0.245
ˈe	j_ˈe	0.05
ˈi	ˈi	0.755
ˈɔ	ˈo	0.405
ˈɛ	ˈa	0.195
β	-	0.605
l	l	0.436
ə	ə	0.416
ˈe	ˈa	0.056
ˈɛ	j_ˈe	0.06
b	b	0.247
s	ʃ	0.077
t	t	0.757
u	u	0.837
ə	-	0.137
ɣ	-	0.207
ɲ	n	0.727
ɾ	e_r	0.077
ʒ	-	0.067
ˈa	-	0.067
ˈa	ˈa	0.47
ˈi	ˈi_n	0.147
ˈu	o̯ˈa	0.107
n	n_t	0.228
s	ʧ	0.278
t	t_e	0.088
w	ʧ_e	0.098
ŋ	-	0.248
ə	a	0.098
ɾ	r	0.778
ˈa	ˈa_r	0.218
ˈi	ˈi_r	0.058
ˈo	<#_j	0.068
ˈɛ	ˈe	0.48
d	z	0.359
k	k	0.959
w	w	0.309
ʃ	-	0.489
ˈe	ˈe	0.379
ˈo	ˈo	0.09
ˈo	ˈu	0.769
