Gascon	Occitan	probability
d	d	1.0
h	f	1.0
i	i	1.0
k	k	1.0
m	m	1.0
n	n	1.0
p	p	1.0
u	u	1.0
y	y	1.0
ɔ	ɔ	1.0
ɣ	ɣ	1.0
ɲ	ɲ	1.0
ʃ	s	1.0
ʒ	ʤ	1.0
ʤ	ʤ	1.0
ʦ	ʦ	1.0
ˈo	u	1.0
ˈu	ˈu	1.0
ˈɔ	ˈɔ	1.0
l	l	0.991
ˈɛ	ˈa	0.191
b	b	0.322
t	t	0.672
r	ɾ_e	0.103
r	r	0.823
z	ɾ	0.3
ŋ	n	0.733
ʎ	ʎ	0.433
ˈe	ˈe	0.483
ˈy	ˈu	0.123
r	ɾ	0.074
ð	ð	0.964
ˈi	ˈi_n	0.074
e	ɾ_e	0.075
w	w	0.625
ɾ	ɾ	0.935
ˈa	ˈa	0.965
β	β_ɾ	0.075
t	-	0.096
t	ʧ	0.106
t	t_ɾ	0.126
ɡ	ɡ	0.986
ˈe	e	0.076
β	β	0.706
a	a	0.997
w	-	0.107
z	z	0.7
ŋ	ŋ	0.267
ʎ	l	0.567
ˈe	ˈɛ	0.427
ˈi	ˈe	0.067
ˈy	ˈy	0.877
b	v	0.678
j	j	0.98
w	ɥ	0.268
e	e	0.849
s	s	0.979
ˈi	ˈi	0.859
ˈɛ	ˈɛ	0.809
β	-	0.219
