Insular North Frisian	Old High German	probability
ˈɛː	ˈɛ	1.0
ˈœ_n	ˈo_n	1.0
ˈaʊ̯	b_i	1.0
ʃ	s	1.0
ʁ̥	r	1.0
ɣ̥	ɡ	1.0
ə_f	b	1.0
ɐ_n	r_n	1.0
x	x	1.0
v	w	1.0
tʲ	d	1.0
tʰ	ʦ	1.0
r_ə	r	1.0
pʰ	p͡f	1.0
nʲ	n_t	1.0
lʲ	l_d	1.0
kʰ	kʰ	1.0
k_ˈɛ	k_ˈi	1.0
j	-	1.0
h	h	1.0
e	-	1.0
d	s̻ː	1.0
b	b	1.0
aɪ̯	ɛ_h	1.0
m	m	0.978
s	s	0.957
r	r	0.956
l	l	0.94
ŋ	ŋ_ɡ	0.858
ˈɔː	ˈɑ	0.831
ˈa	ˈɑ	0.826
f	f	0.782
k	k	0.738
ɾ	t	0.677
ˈua̯	ˈoː	0.665
n	n	0.636
ɪ	-	0.629
ð	d	0.629
ˈøː	-	0.6
ˈə	ˈi	0.597
p	f_ɑ	0.581
ˈoː	ˈou̯	0.542
ˈœ	ˈu	0.54
ɐ	r	0.531
ç	ɡ	0.529
ˈaɪ̯	ˈɑ_ɡ	0.516
t	t	0.497
ˈaɪ̯	ˈei̯	0.484
ˈuː	ˈo	0.454
ˈɔ	ˈu	0.4
ˈøː	ˈuo̯	0.4
ˈyː	ˈuː	0.386
ə	ɑ	0.373
ɪ	ɑ	0.371
ð	t	0.371
ˈʏ	ˈuː	0.368
ˈə	ˈiː	0.36
ˈyː	ˈiu̯	0.35
ɐ	ɑ_r	0.344
ˈua̯	ˈɑ	0.335
ˈʊ	ˈu	0.321
ə	u	0.313
t	s̻	0.313
ç	kː	0.29
ˈœ	ˈɑ	0.282
ˈiː	ˈiː	0.281
ˈʏ	-	0.28
ˈuː	ˈɑ	0.28
ˈuː	ˈɑː	0.266
ˈyː	-	0.264
ˈɔ	ˈuo̯	0.257
p	p	0.256
ˈʊ	ˈi	0.238
ɾ	d	0.238
ˈiː	ˈei̯	0.235
ˈoː	ˈuo̯	0.233
ˈʏ	ˈu	0.228
ˈoː	ˈɑ	0.225
ˈeː	-	0.213
ˈɛ	ˈu	0.208
ˈeː	ˈɑ	0.206
ˈiː	ˈio̯	0.185
n	nː	0.183
n	n_t	0.181
ç	x	0.18
ˈœ	ˈuo̯	0.178
ˈeː	ˈei̯	0.174
ˈa	ˈɛ	0.174
ˈeː	ˈuo̯	0.173
ˈɔ	ˈɛ	0.172
ˈɔ	ˈo	0.172
ˈiː	ˈɛ	0.17
ˈɔː	ˈɑː	0.169
p	fː	0.162
k	xː	0.158
f	b	0.153
ˈɛ	ˈei̯	0.15
ˈɛ	-	0.144
ˈɛ	ˈi	0.142
ŋ	ŋ	0.142
ˈʊ	ˈuo̯	0.136
ˈɛ	ˈɛ	0.134
ˈʊ	ˈɑ	0.133
ˈeː	ˈio̯	0.126
ɐ	ɛ	0.125
ˈʏ	ˈo	0.124
ə	i	0.12
ˈɛ	ˈe	0.109
ˈeː	ˈɛ	0.108
k	kː	0.104
ˈʊ	ˈei̯	0.103
ə	oː	0.097
ə	e_n	0.097
ˈiː	ˈɑː	0.095
ɾ	tː	0.085
t	t_o	0.071
ˈɛ	ˈio̯	0.07
t	ʦː	0.07
ˈʊ	ˈo	0.069
f	b_ɑ	0.065
l	lː	0.06
