Proto-Germanic	Bavarian	probability
b	b̥	1.0
d	d̥	0.914
d	t	0.081
d_ɑ	d̥	1.0
e	a	0.486
i	-	0.808
i	ə	0.076
i	ɐ	0.074
i	i	0.041
i_r	a	0.486
j	-	0.913
j	j	0.078
jː	ˈoɐ̯	0.115
k	kʰ	0.556
k	ç	0.152
k	k	0.115
k	x	0.087
k	-	0.063
k_s	x	0.486
kʷ	k	0.369
kʷ	f	0.179
l	l	0.535
l	j	0.319
l	-	0.124
l	i	0.031
l_i	j	1.0
lː	j	1.0
m	m	0.934
m	n	0.066
m_ɑ	m	1.0
mː	m	0.486
n	n	0.694
n	-	0.304
n_u	n	1.0
nː	n	0.683
nː	ˈɒː	0.219
p	f	0.721
p	p͡f	0.274
p_ɑ̃	f	1.0
pː	p͡f	0.486
r	r	0.504
r	-	0.261
r	ɐ	0.205
r	a	0.028
r_ɔː	a	1.0
s	s	0.615
s	ʃ	0.262
s	-	0.096
s	d̥	0.03
s_k	ʃ	1.0
s_ɑ̃	s	1.0
t	ʦ	0.404
t	t	0.3
t	s	0.155
t	d̥	0.072
t	-	0.055
t_i	s	0.486
t_ɑ	s	1.0
u	-	1.0
u_n	n	1.0
u_z	ə	1.0
w	ʋ	0.628
w	-	0.272
w	ˈiɐ̯	0.046
w	l	0.036
w	ˈai̯	0.036
x	h	0.58
x	x	0.171
x	-	0.123
x	ɡ̊	0.045
x	k	0.032
xʷ	ʋ	1.0
z	-	0.988
ð	d̥	0.447
ð	-	0.295
ð	t	0.251
ð_i	t	1.0
ð_ɑ	d̥	1.0
ð_ɑ̃	t	1.0
ŋ	ŋ	0.917
ŋ	-	0.07
ɑ	-	0.768
ɑ	a	0.194
ɑi̯	ˈa	0.236
ɑː	-	0.236
ɑ̃	-	0.979
ɑ̃	l	0.028
ɔː	-	0.699
ɔː	a	0.19
ɔː	ə	0.09
ɔː_r	a	0.486
ɔːu̯	-	0.236
ɔːː	-	0.654
ɔːː	a	0.2
ɔːː	ə	0.132
ɔ̃ː	-	0.279
ɔ̃ː	a	0.273
ɔ̃ː	n	0.136
ɔ̃ː	ə	0.136
ɔ̃ː	ˈau̯	0.103
ɛː	a	1.0
ɡ	-	0.882
ɡ	ɡ̊	0.087
ɡʷ	-	1.0
ɣ	ɡ̊	0.769
ɣ	ŋ	0.162
ɣ	x	0.052
ɣ_i	ɡ̊	1.0
ɣ_j	ɡ̊	1.0
ɸ	f	1.0
ˈe	ˈe	0.249
ˈe	ˈɛ	0.233
ˈe	ˈeː	0.142
ˈe	ˈi	0.097
ˈe	-	0.084
ˈeu̯	ˈiɐ̯	0.444
ˈeu̯	ˈiː	0.2
ˈeu̯	ˈu	0.2
ˈeu̯	ˈe	0.132
ˈeː	ˈi	0.486
ˈi	ˈi	0.711
ˈi	ˈeɐ̯	0.087
ˈi	ˈeː	0.057
ˈi	ˈiː	0.057
ˈi	ˈai̯	0.05
ˈi_j	ˈai̯	1.0
ˈiu̯	ˈai̯	1.0
ˈiː	ˈai̯	0.925
ˈiː	ˈoɐ̯	0.067
ˈu	ˈu	0.319
ˈu	ˈo	0.206
ˈu	ˈoː	0.125
ˈu	ˈɔ	0.092
ˈu	ˈɛ	0.079
ˈu_r	ˈoɐ̯	0.486
ˈuː	ˈau̯	0.779
ˈuː	ˈai̯	0.112
ˈuː	ˈuɐ̯	0.072
ˈɑ	ˈo	0.195
ˈɑ	ˈa	0.148
ˈɑ	ˈoː	0.125
ˈɑ	ˈɒ	0.124
ˈɑ	ˈɛ	0.099
ˈɑi̯	ˈoɐ̯	0.369
ˈɑi̯	ˈai̯	0.274
ˈɑi̯	ˈɛː	0.198
ˈɑi̯	ˈe	0.073
ˈɑi̯	ˈi	0.073
ˈɑi̯_n	ˈoɐ̯	1.0
ˈɑu̯	ˈaː	0.36
ˈɑu̯	ˈou̯	0.293
ˈɑu̯	ˈoɐ̯	0.079
ˈɑu̯	ˈa	0.063
ˈɑu̯	ˈeː	0.063
ˈɔ	ˈu	0.486
ˈɔː	ˈuɐ̯	0.544
ˈɔː	ˈeɐ̯	0.174
ˈɔː	ˈiɐ̯	0.151
ˈɔː	ˈe	0.115
ˈɛː	ˈɔ	0.441
ˈɛː	ˈoɐ̯	0.162
ˈɛː	ˈoː	0.153
ˈɛː	ˈɒː	0.098
β	b̥	0.479
β	m	0.29
β	p	0.105
β	-	0.079
β	p͡f	0.045
β_ɑ	b̥	1.0
θ	d̥	0.825
θ	l	0.081
θ	t	0.081
θ_ɑ	d̥	1.0
θ_ɑ̃	d̥	1.0
