Proto-Germanic	Bavarian	probability
#>	#>	1.0
<#	<#	1.0
<#_x	<#	0.486
b	b̥	1.0
d	d̥	0.914
d	t	0.081
d_ɑ	d̥	1.0
e	a	0.236
i	-	0.677
i	ɐ	0.126
i	a	0.105
i	i	0.051
i_#>	#>	1.0
i_ð	a	0.115
j	-	0.896
j	j	0.09
jː	ˈoɐ̯	0.115
k	kʰ	0.424
k	x	0.164
k	-	0.129
k	ç	0.129
k	k	0.098
kʷ	f	0.321
kʷ	k	0.321
l	l	0.575
l	j	0.344
l_i	j	0.822
l_i	ə	0.109
lː	j	1.0
m	m	0.93
m	n	0.07
m_ɑ	m	1.0
mː	m	0.486
n	n	0.667
n	-	0.306
n_u	n	1.0
n_ɑ	a	1.0
n_ɑ̃	n	1.0
n_ˈe	n	1.0
n_ˈɑi̯	n	1.0
nː	n	0.683
nː	ˈɒː	0.219
p	f	0.699
p	p͡f	0.297
p_ɑ	f	1.0
p_ɑ̃	f	1.0
pː	p͡f	0.236
pː	p	0.056
r	r	0.57
r	ɐ	0.226
r	-	0.153
r_#>	#>	1.0
r_ɔː	a	1.0
s	s	0.656
s	ʃ	0.269
s	-	0.061
s_#>	#>	1.0
s_k	ʃ	1.0
s_ɑ̃	s	0.871
t	ʦ	0.445
t	t	0.256
t	s	0.142
t	d̥	0.079
t	-	0.06
t_i	s	0.313
t_i	t	0.237
t_ɑ	s	0.875
t_ɑ	t	0.107
u	-	1.0
u_n	n	1.0
u_z	ə	1.0
w	ʋ	0.635
w	-	0.269
x	h	0.6
x	x	0.186
x	-	0.086
x	ɡ̊	0.055
xʷ	ʋ	1.0
z	-	0.997
ð	d̥	0.485
ð	t	0.323
ð	-	0.186
ð_i	t	0.74
ð_i	d̥	0.133
ð_ɑ	d̥	1.0
ð_ɑ̃	t	1.0
ŋ	ŋ	0.843
ŋ	-	0.1
ŋ_ɡ	ŋ	1.0
ɑ	-	0.867
ɑ	a	0.05
ɑ_n	a	1.0
ɑ_ɣ	ŋ	0.236
ɑi̯	ˈa	0.236
ɑ̃	l	0.486
ɑ̃_#>	#>	1.0
ɔː	-	0.618
ɔː	a	0.155
ɔː	ə	0.135
ɔː_#>	#>	1.0
ɔː_r	a	0.115
ɔːu̯	-	0.236
ɔːː	a	0.362
ɔːː	ə	0.239
ɔːː	-	0.153
ɔːː	r	0.153
ɔːː_#>	#>	1.0
ɔ̃ː	a	0.331
ɔ̃ː	n	0.219
ɔ̃ː	ə	0.219
ɔ̃ː	ˈau̯	0.219
ɔ̃ː_#>	#>	1.0
ɛː	a	1.0
ɡ	-	0.179
ɡ	ɡ̊	0.179
ɡʷ	-	1.0
ɣ	ɡ̊	0.923
ɣ_j	ɡ̊	0.822
ɣ_j	ŋ	0.109
ɣ_ɑ	ɡ̊	0.675
ɣ_ɑ	ŋ	0.304
ɸ	f	1.0
ˈe	ˈe	0.274
ˈe	ˈɛ	0.256
ˈe	ˈeː	0.156
ˈe	ˈi	0.156
ˈe	ˈu	0.061
ˈe	ˈiː	0.052
ˈe_n	r	0.486
ˈeu̯	ˈiɐ̯	0.419
ˈeu̯	ˈiː	0.212
ˈeu̯	ˈu	0.212
ˈeu̯	ˈe	0.14
ˈeː	ˈi	0.486
ˈi	ˈi	0.73
ˈi	ˈeɐ̯	0.06
ˈi	ˈeː	0.06
ˈi	ˈiː	0.06
ˈi	ˈai̯	0.051
ˈi_j	ˈai̯	1.0
ˈiu̯	ˈai̯	1.0
ˈiː	ˈai̯	0.925
ˈiː	ˈoɐ̯	0.067
ˈu	ˈu	0.369
ˈu	ˈo	0.206
ˈu	ˈoː	0.104
ˈu	ˈɔ	0.099
ˈu	ˈy	0.052
ˈu	ˈɛ	0.052
ˈu_r	ˈoɐ̯	0.486
ˈuː	ˈau̯	0.771
ˈuː	ˈai̯	0.115
ˈuː	ˈuɐ̯	0.074
ˈɑ	ˈo	0.189
ˈɑ	ˈa	0.16
ˈɑ	ˈoː	0.135
ˈɑ	ˈɒ	0.115
ˈɑ	ˈɛ	0.106
ˈɑ	ˈɔ	0.087
ˈɑi̯	ˈoɐ̯	0.444
ˈɑi̯	ˈai̯	0.244
ˈɑi̯	ˈe	0.083
ˈɑi̯	ˈi	0.083
ˈɑi̯	ˈeː	0.065
ˈɑi̯	ˈɛː	0.05
ˈɑi̯_n	ˈoɐ̯	1.0
ˈɑu̯	ˈaː	0.338
ˈɑu̯	ˈou̯	0.254
ˈɑu̯	ˈoɐ̯	0.143
ˈɑu̯	ˈeː	0.067
ˈɑu̯	ˈa	0.064
ˈɑu̯	ˈe	0.062
ˈɔ	ˈu	0.486
ˈɔː	ˈuɐ̯	0.531
ˈɔː	ˈeɐ̯	0.17
ˈɔː	ˈiɐ̯	0.148
ˈɔː	ˈe	0.067
ˈɔː	ˈai̯	0.061
ˈɛː	ˈɔ	0.273
ˈɛː	ˈoɐ̯	0.191
ˈɛː	ˈoː	0.115
ˈɛː	ˈɒː	0.109
β	b̥	0.544
β	m	0.237
β	-	0.098
β	p	0.07
β_ɑ	b̥	0.594
β_ɑ	m	0.392
θ	d̥	0.859
θ	t	0.076
θ	-	0.058
θ_ɑ̃	d̥	1.0
