Lower Sorbian	Czech	probability
b	b	1.0
d	d	1.0
e	ɛ	1.0
kʲ	k	1.0
l	l	1.0
m	m	1.0
n	n	1.0
p	p	1.0
pʲ	p	1.0
rʲ	r̝	1.0
s	s	1.0
t	t	1.0
x	x	1.0
z	z	1.0
ɛ	ɛ	1.0
ɡ	ɦ	1.0
ɨ	iː	1.0
ʐ	ʒ	1.0
ʨ	t	1.0
vʲ	v_j	0.51
ʑ	d	0.751
ʦ	ʦ	0.661
ˈɪ	ˈiː	0.271
w	l	0.882
ɕ	ɛ_t	0.092
ˈa	ˈɛ	0.482
ˈɪ	ˈɛː	0.102
ˈɪ	ˈa	0.202
i	iː	0.753
k	x	0.113
k	k	0.853
r	ˈr̩	0.103
ɕ	t	0.543
ʂ	ʃ	0.303
ˈi	ˈiː	0.153
a	a	0.904
j	-	0.104
mʲ	m	0.774
ɲ	ɲ	0.234
ˈe	-	0.094
ˈu	ˈou̯	0.4
ˈɔ	ˈuː	0.124
ˈɔ	ˈɛ	0.214
ˈɛ	ˈɛ	0.054
ˈɨ	ˈɪ	0.454
v	v	0.985
ɔ	ɛ	0.075
ɔ	o	0.925
ɕ	c	0.215
ˈɔ	ˈa	0.145
ˈɪ	ˈɛ	0.425
a	ɛ	0.096
j	j	0.896
mʲ	m_ɲ	0.226
ɲ	n	0.766
ˈa	ˈa	0.36
ˈe	ˈɛ	0.906
ˈu	ˈu	0.6
ˈɨ	ˈiː	0.546
i	ɪ	0.247
r	r	0.897
ʂ	-	0.697
ˈa	ˈaː	0.157
ˈi	ˈɪ	0.847
ˈɛ	ˈuː	0.097
w	ˈl̩	0.118
ɕ	-	0.148
vʲ	v	0.49
ʑ	ɟ	0.249
ʦ	ʧ	0.339
ˈɔ	ˈaː	0.119
ˈɔ	ˈo	0.399
ˈɛ	ˈo	0.849
