Occitan	Bellunese	probability
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_e	<#	1.0
<#_f	<#_f	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_t	<#_t	1.0
<#_v	<#_v	1.0
<#_ɥ	<#_ˈɔ	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈɔ	<#_ˈɔ	1.0
a	a	1.0
d	e	1.0
e	e	1.0
i	i	1.0
j	-	1.0
j_ˈe	ˈi_o	1.0
j_ˈɛ	ˈɛ	1.0
k	k	1.0
k_#>	o_#>	1.0
l_#>	l_#>	1.0
l_ˈa	j_ˈa	1.0
mː	m	1.0
n_#>	ŋ_t_#>	1.0
n_t	ŋ_t	1.0
r_#>	o_#>	1.0
r_m	r_m	1.0
s_k	s_k	1.0
s_p	s_p	1.0
s_t	s_t	1.0
t_#>	t_#>	1.0
u	o	1.0
w_#>	#>	1.0
w_ɾ	v_e	1.0
y	u	1.0
z	z	1.0
ŋ	ŋ_ɡ	1.0
ŋ_k	ŋ_k	1.0
ɔ	-	1.0
ɔ_#>	a_#>	1.0
ɣ	ɡ	1.0
ɥ	-	1.0
ɥ_ˈɔ	ˈo_ɡ	1.0
ɥ_ˈɛ	ˈo	1.0
ʎ	-	1.0
ʦ	z_e	1.0
ʦ_#>	s_#>	1.0
ʧ	t	1.0
ʧ_#>	t_#>	1.0
ˈa_#>	ˈa_ŋ_#>	1.0
ˈa_j	ˈa	1.0
ˈa_n	ˈa_n	1.0
ˈa_ɲ	ˈa_ɲ	1.0
ˈe_#>	ˈe_ŋ_#>	1.0
ˈe_j	ˈe_d	1.0
ˈi	ˈi	1.0
ˈi_#>	ˈi_ŋ_#>	1.0
ˈu_#>	ˈo_ŋ_#>	1.0
ˈy_#>	ˈu_r_#>	1.0
ˈɔ_r	ˈɔ_r	1.0
ˈɔ_w	ˈo_v	1.0
ˈɛ_r	ˈɛ_r	1.0
β	v	1.0
<#_k	<#_k	0.931
l	ʧ	0.231
<#_ˈa	<#	0.222
ð	t	0.222
<#_s	<#_s	0.583
<#_ɡ	<#_j	0.333
e_#>	r_#>	0.133
m	ŋ	0.333
w	-	0.333
ˈa	ˈa	0.923
ˈe	ˈe	0.913
ˈu	ˈu	0.103
ˈy	ˈo	0.333
#>	o_#>	0.404
<#_a	<#	0.714
l	j	0.154
l	-	0.154
r	-	0.4
s_#>	θ_#>	0.154
t	t	0.714
ˈɛ	ˈe	0.194
<#_ʤ	<#_j	0.25
<#_ʤ	<#_ð	0.75
l	l	0.385
n	ɲ	0.095
n	n	0.905
s	θ	0.5
s	s	0.5
ʤ	j	0.5
ʤ	-	0.5
ˈɔ	ˈɔ	0.5
ˈɔ	ˈo	0.5
ˈɛ	-	0.065
#>	r_#>	0.596
<#_a	<#_a	0.286
e_#>	#>	0.6
r	r	0.6
t	-	0.286
ɾ	-	0.056
ɾ	r_a	0.056
ˈɛ	j_ˈe	0.226
ˈɛ	ˈɛ	0.516
<#_s	<#_θ	0.417
<#_ɡ	<#_ɡ	0.667
e_#>	o_#>	0.267
l	θ	0.077
m	m	0.667
w	ˈɔ	0.667
ˈa	-	0.077
ˈe	-	0.087
ˈy	ˈu	0.667
<#_ˈa	<#_ˈa	0.778
s_#>	#>	0.308
s_#>	s_#>	0.538
ð	d	0.778
ˈu	ˈo	0.828
<#_k	<#	0.069
ɾ	r	0.889
ˈu	ˈɔ	0.069
