Logudorese	Portuguese	probability
a	ɐ	0.855
a	-	0.068
ă	-	0.492
b	v	0.516
b	b	0.335
d	d	0.905
d	-	0.064
e	ɨ	0.374
e	-	0.191
e	ˈe	0.121
e	ɐ	0.06
e_n	ɨ	0.492
e_r	ɾ	1.0
ĕ	j	0.488
ĕ	-	0.317
f	f	1.0
f_r	ʃ	1.0
i	i	0.336
i	-	0.275
i	ɨ	0.103
i	ˈi	0.082
i	j	0.08
j	j	0.382
j	ʒ	0.176
j	-	0.153
j	ˈu	0.153
j	ĩ	0.104
k	k	0.66
k	s	0.21
k	-	0.072
k_r	ʎ	0.639
k_r	ʃ	0.359
l	l	0.587
l	-	0.299
l	ɫ	0.068
l_e	ɫ	1.0
m	m	0.829
m	-	0.129
m_b	ɡ	1.0
n	n	0.426
n	-	0.331
n	ɲ	0.129
n	j	0.086
n_e	j̃	0.389
n_e	ɨ	0.22
n_e	w̃	0.207
n_ʣ	ɲ	1.0
o	u	0.527
o	-	0.21
o	w	0.114
o	j	0.06
o	ɔ	0.057
o_r	ɾ	1.0
ŏ	u	0.242
p	p	0.887
p	β	0.083
p_r	ʃ	1.0
r	ɾ	0.55
r	-	0.193
r	ʁ	0.13
r_e	ɾ	1.0
r_i	ɾ	1.0
r_o	ɾ	1.0
s	s	0.455
s	ʃ	0.29
s	-	0.153
t	t	0.679
t	j_t	0.153
t	-	0.082
t	ð	0.052
u	u	0.836
u	-	0.104
u_z	u	1.0
ŭ	-	1.0
v	k	0.395
v	v	0.083
w	w	0.574
w	v	0.283
z	ʃ	0.392
z	-	0.171
z	ʎ	0.171
z	s	0.111
z	ʒ	0.111
z_ŏ	ʃ	1.0
ð	ð	0.765
ð	-	0.222
ŋ	-	0.488
ŋ	ɲ	0.209
ŋ	ẽ	0.128
ɖ	l	0.545
ɖ	-	0.378
ɖ	d	0.07
ɖ_a	ɐ	1.0
ɡ	ʒ	0.417
ɡ	ɡ	0.238
ɡ	ɣ	0.176
ɡ	-	0.133
ɣ	ɣ	0.532
ɣ	z	0.172
ɣ	ʎ	0.078
ɣ	-	0.062
ɣ	s	0.062
ɣ	k	0.051
ɣ_e	ʃ	1.0
ɲ	-	0.5
ɲ	n	0.244
ɲ	ɲ	0.182
ʃ	-	0.283
ʃ	ɲ	0.283
ʣ	ʎ	1.0
ʦ	s	0.683
ʦ	t	0.222
ˈa	ˈa	0.683
ˈa	ˈɐ	0.098
ˈa	ˈɐ̃	0.056
ˈa_n	ˈɐ̃	1.0
ˈe	ˈɛ	0.386
ˈe	ˈe	0.26
ˈe	ˈɐ	0.225
ˈe_n	ˈẽ	1.0
ˈe_z	ˈɐ	1.0
ˈi	ˈi	0.506
ˈi	ˈe	0.243
ˈi	ɨ	0.097
ˈi	ˈɐ	0.069
ˈi	ˈĩ	0.051
ˈi_l	ˈi	1.0
ˈi_n	ˈĩ	1.0
ˈo	ˈo	0.586
ˈo	ˈɔ	0.251
ˈo_n	ˈõ	1.0
ˈu	ˈu	0.463
ˈu	ˈo	0.363
ˈu	j	0.065
ˈu	ˈɔ	0.065
ˈu_n	ˈũ	1.0
β	β	0.551
β	v	0.412
