Old English	West Flemish	probability
a	-	1.0
b	b	0.979
d	t	0.475
d	d	0.391
d	-	0.134
e	ə	0.673
e	-	0.269
eo̯	w	1.0
f	v	0.799
f	f	0.201
h	-	0.926
i	-	0.48
i	ə	0.366
i	m	0.092
i	ɪ	0.062
iːy̯	iə̯	1.0
j	ɦ	0.512
j	h	0.366
j	j	0.089
k	k	0.933
l	l	0.966
lː	l	1.0
l̥	l	1.0
m	m	0.939
m	-	0.061
mː	m	1.0
n	n	0.941
n	-	0.059
nː	n	1.0
o	-	0.969
p	p	1.0
pː	p	1.0
r	ɾ	0.975
rː	ɾ	1.0
r̥	ɾ	1.0
s	z	0.571
s	s	0.429
t	t	0.991
tː	t	1.0
u	ə	1.0
v	v	0.833
v	f	0.167
w	ʋ	0.84
w	-	0.141
x	h	1.0
z	s	0.872
z	z	0.128
ç	h	0.806
ç	-	0.194
ð	d	0.867
ð	-	0.133
ŋ	ŋ	1.0
ɑ	-	0.849
ɑ	ə	0.151
ɡ	ɦ	0.541
ɡ	k	0.238
ɡ	-	0.221
ɣ	ɦ	0.819
ɣ	h	0.181
ɫ	w	0.573
ɫ	-	0.234
ɫ	n	0.1
ɫ	l	0.072
ʃ	ʃ	0.645
ʃ	s	0.355
ʃː	s	1.0
ʍ	ʋ	1.0
ʤ	ɦ	0.734
ʤ	k	0.266
ʤː	ɦ	1.0
ʧ	k	1.0
ʧː	k	1.0
ˈe	ˈæ	0.35
ˈe	ˈeː	0.31
ˈe	-	0.157
ˈe	ˈɛ	0.119
ˈe	ˈɔ	0.064
ˈeo̯	ˈæ	0.536
ˈeo̯	ˈɒː	0.215
ˈeo̯	ˈeː	0.144
ˈeo̯	ˈɛː	0.056
ˈeo̯	ˈœ	0.05
ˈeː	ˈuə̯	0.544
ˈeː	ˈiə̯	0.25
ˈeː	ˈoː	0.118
ˈeː	ˈi	0.088
ˈeːo̯	ˈiə̯	0.762
ˈeːo̯	-	0.115
ˈi	ˈɪ	0.6
ˈi	ˈæ	0.124
ˈi	ˈeː	0.093
ˈi	ˈɛ	0.081
ˈi	ˈɑ	0.055
ˈiy̯	ˈɑ	0.723
ˈiy̯	ˈeː	0.167
ˈiy̯	ˈɪ	0.109
ˈiː	ˈi	0.646
ˈiː	ˈœ	0.109
ˈiː	ˈyː	0.082
ˈiː	ˈɛ	0.082
ˈiː	ˈiə̯	0.081
ˈiːy̯	ˈiə̯	0.594
ˈiːy̯	ˈoː	0.33
ˈiːy̯	ˈɒː	0.076
ˈo	ˈoː	0.521
ˈo	ˈɔ	0.352
ˈo	ˈøː	0.094
ˈoː	ˈuə̯	0.721
ˈoː	ˈɑ	0.179
ˈoː	ˈɒː	0.1
ˈu	ˈu	0.422
ˈu	ˈœ	0.197
ˈu	ˈoː	0.126
ˈu	ˈøː	0.103
ˈu	ˈɔ	0.084
ˈu	ˈɛː	0.068
ˈuː	ˈyː	0.656
ˈuː	ˈuə̯	0.188
ˈuː	ˈoː	0.078
ˈuː	ˈu	0.078
ˈy	ˈɪ	0.362
ˈy	ˈœ	0.348
ˈy	-	0.162
ˈy	ˈoː	0.128
ˈyː	ˈiə̯	0.793
ˈyː	ˈoː	0.207
ˈæ	ˈɑ	0.7
ˈæ	ˈɒː	0.3
ˈæɑ̯	ˈɑ	0.589
ˈæɑ̯	ˈu	0.162
ˈæɑ̯	ˈæ	0.145
ˈæɑ̯	ˈɒː	0.071
ˈæː	ˈɒː	0.796
ˈæː	ˈeː	0.101
ˈæː	ˈɛː	0.083
ˈæːɑ̯	ˈoː	0.73
ˈæːɑ̯	ˈɒː	0.27
ˈɑ	ˈɑ	0.688
ˈɑ	ˈɒː	0.312
ˈɑː	ˈɛː	0.444
ˈɑː	ˈeː	0.222
ˈɑː	ˈɒː	0.174
ˈɑː	j	0.081
ˈɛ	ˈæ	1.0
θ	d	0.685
θ	t	0.231
θ	n_t	0.085
