French	French	probability
ʒ	ʃ	1.0
ɲ	ɲ_ɐ	1.0
ɛ_n_#>	ˈa_#>	1.0
ɔ_n	ˈo_ɐ	1.0
ɑ̃_#>	ˈe_n_t_ʊ_#>	1.0
œ_ʁ	ɾ	1.0
v_ʁ	β_ɾ	1.0
t_#>	t_ɐ_#>	1.0
s_a	s_a	1.0
p_l	ʧ	1.0
p	p	1.0
m	m	1.0
j_ɛ	ˈɛ	1.0
i_#>	ʊ_#>	1.0
f_l	ʧ	1.0
d	d	1.0
b_#>	β_ɐ_#>	1.0
<#_ʁ	<#_r	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#	1.0
<#_a	<#_ˈa	1.0
f	f	0.913
k	k	0.905
ʃ	k	0.889
w_a	ˈe	0.846
b	b	0.846
ə	e	0.75
y	ˈu	0.727
t	t	0.714
ʁ	ɾ	0.7
œ	ˈɔ	0.667
v	b	0.643
ɡ	ɡ	0.636
z	θ	0.6
a_#>	θ_#>	0.6
l	l	0.552
u	ˈo	0.524
s	θ	0.524
<#	<#_r	0.5
<#	<#_e	0.5
i	ˈi	0.486
#>	ʊ_#>	0.485
ɥ	ˈo	0.444
ø	ɣ_ʊ	0.429
z	-	0.4
a_#>	j_#>	0.4
#>	ɐ_#>	0.379
ɡ	ɣ	0.364
ɑ̃	ˈa_n	0.364
a	ˈa	0.355
ɥ	ˈo_j	0.333
ɔ	ˈɔ	0.333
ɔ	ˈo	0.333
ɔ	o	0.333
œ	ˈo	0.333
j	ɟ_ɐ	0.333
e	ˈa_ɾ	0.3
ɛ̃	ɲ_ʊ	0.292
a	a	0.29
ø	w	0.286
ø	-	0.286
v	β	0.286
s	s	0.286
o	ˈa_l	0.286
j	-	0.278
ɑ̃	ˈe_n	0.273
ɑ̃	n	0.273
y	-	0.273
n	ɲ	0.267
n	-	0.267
ɛ̃	ˈɑ_ŋ	0.25
ə	a	0.25
ɔ̃	ˈo_ŋ	0.25
ɔ̃	ˈo	0.25
ɛ	ˈe	0.238
ɥ	ˈu	0.222
o	ˈɛ_l	0.214
o	ˈo_w	0.214
w	ˈu	0.2
w	ˈi	0.2
w	ˈe	0.2
n	n_ɐ	0.2
e	e	0.2
ɛ	ˈɛ	0.19
ɛ	ˈa	0.19
u	o	0.19
u	-	0.19
i	ˈe	0.189
l	ʊ	0.172
ɛ̃	ŋ	0.167
ɔ̃	ˈo_n	0.167
ɔ̃	ŋ	0.167
ɔ̃	-	0.167
j	ɟ_ʊ	0.167
e	ɾ	0.167
w_a	e	0.154
b	b_ˈa	0.154
t	θ_ˈe	0.143
t	s_t	0.143
o	ˈɔ_s	0.143
o	ˈɔ	0.143
l	ɐ	0.138
w	ˈɔ	0.133
w	ˈu_n	0.133
w	e	0.133
n	ɐ	0.133
n	n	0.133
e	-	0.133
a	-	0.129
ɛ̃	ʊ	0.125
ɛ	e	0.119
ɛ	a	0.119
ʃ	k_a	0.111
j	ˈɛ	0.111
j	ˈe	0.111
i	ˈe_j	0.108
i	-	0.108
e	ˈa_ð	0.1
e	ˈa	0.1
a	ˈe	0.097
u	u	0.095
s	ʃ_ɐ	0.095
s	ʃ	0.095
k	k_w	0.095
ɑ̃	ɑ	0.091
f	β_ʊ	0.087
ɛ̃	ˈi_ŋ	0.083
ɛ̃	ˈi_n	0.083
v	-	0.071
l	ˈa	0.069
l	-	0.069
#>	s_#>	0.068
a	ʊ	0.065
a	j	0.065
ʁ	r	0.062
i	ˈi_ɣ	0.054
i	j	0.054
