Franco-Provençal	Romanian	probability
i	e	1.0
m	m	1.0
ɲ	j	1.0
ʒ	-	1.0
ˈaː	ˈa	1.0
ˈĩ	ˈi_n	1.0
ˈɔ	ˈu	1.0
l	r	0.21
s	ʃ	0.11
v	p	0.151
w	ˈu	0.731
ʁ	r_e	0.121
ˈe	-	0.111
ˈi	ˈi_r	0.121
ˈo	ˈo	0.521
ˈɛ	-	0.101
ˈɛ̃	ˈi	0.151
a	a	0.062
t	t_e	0.112
ə	-	0.062
ˈi	ˈi	0.562
ˈo	ˈu	0.152
ˈɑː	ˈa	0.872
a	ə	0.763
k	ʧ	0.093
k	s_k	0.233
l	l	0.583
n	-	0.053
t	s_t	0.203
v	v	0.543
ð	-	0.093
ɔ	u	0.653
ə	e	0.533
ʎ	j	0.203
ʎ	kʲ	0.43
ˈa	ˈa_r	0.283
ˈoː	ˈo	0.153
ˈoː	ˈu	0.203
ˈoː	o̯ˈa	0.3
ˈø	ˈu	0.243
ˈɑ̃	e	0.343
ˈɔ̃	ˈu	0.823
ˈɛː	ˈe	0.643
f	f	0.834
k	k	0.674
o	u	0.524
p	p_j	0.274
ð	ʒ	0.074
ð	t	0.144
ɡ	ɡ	0.724
ˈe	ˈa	0.384
ˈoː	ˈa	0.344
a	e	0.065
b	b	0.965
d	d	0.525
ð	ʤ	0.155
ʃ	ʧ_e	0.155
ˈɛː	e̯ˈa	0.055
ˈɛː	e	0.125
f	w	0.086
j	w	0.116
j	j	0.356
o	-	0.086
p	p	0.726
s	-	0.066
ð	r	0.486
ɡ	m	0.276
ʁ	r	0.76
ˈi	ˈe	0.26
ˈu	ˈo	0.076
ˈu	u	0.396
ˈɛ	e̯ˈa	0.076
ˈɛ	ˈe	0.356
ˈɛː	ˈa	0.136
l	-	0.157
n	n	0.947
s	ʧ	0.307
s	s	0.427
ɔ	-	0.347
ə	ə	0.337
ʎ	-	0.367
ˈa	ˈɨ	0.437
ˈe	ˈe	0.327
ˈi	e̯ˈa	0.057
ˈø	o̯ˈa	0.757
ˈɔ̃	ˈu_ŋ	0.177
f	-	0.08
j	-	0.528
t	t	0.548
v	-	0.268
ʃ	k	0.8
ˈo	ˈo_j	0.188
ˈɑː	i	0.128
ˈɑ̃	ˈɨ_n	0.478
ˈɛ	ˈi	0.128
ˈɛ	ˈa	0.338
ˈɛ̃	ˈɨ_n	0.38
a	-	0.09
d	z	0.439
o	e	0.39
s	ʃ_t	0.069
t	k	0.09
w	o̯ˈa	0.269
ə	e_r	0.069
ˈa	ˈa	0.279
ˈe	j_ˈe	0.059
ˈo	-	0.139
ˈu	-	0.119
ˈu	ˈu	0.409
ˈɑ̃	-	0.179
ˈɛ̃	ˈi_n	0.469
