Westphalian	Westphalian	probability
ˈɪə̯	-	1.0
ˈɒː	ˈɔː	1.0
ˈœː	-	1.0
ˈø	-	1.0
ˈyːœ̯	ˈaʊ̯	1.0
ˈyə̯	ˈɛ	1.0
ˈoː	-	1.0
ˈiɛ̯	-	1.0
ˈaː	-	1.0
ʃ_l	s_l	1.0
ɪ	ɪ	1.0
ɣ	-	1.0
z̥_#>	s_#>	1.0
v̥	f	1.0
v_#>	f_#>	1.0
s	s	1.0
r	r	1.0
p	p	1.0
n_ʃ	n_s	1.0
n_n	nʲ	1.0
n_d̥	nʲ	1.0
n_#>	#>	1.0
l_d̥	lʲ	1.0
l	l	1.0
k	k	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d_n	ɾ	1.0
aɪ̯	aɪ̯	1.0
<#_ˈuː	<#_ˈyː	1.0
<#_ˈa	<#_ˈɔː	1.0
<#_t	<#_tʰ	1.0
<#_n	<#_n	1.0
<#_k	<#_kʰ	1.0
#>	x_t_#>	1.0
m	m	0.917
t	t	0.914
b	b	0.909
ə	-	0.889
ɐ	ɐ	0.853
ŋ	ŋ	0.846
v	v	0.826
z	s	0.8
n	n	0.795
ʃ	s	0.789
ˈɪɛ̯	-	0.667
ˈøː	-	0.667
ʋ	v	0.667
ç	ç	0.667
d	d	0.633
x	ɡ	0.625
ˈɔ	-	0.6
ˈiː	ˈɪ	0.588
ɡ	ç	0.571
ˈeː	-	0.545
ˈʏ	ˈɛ	0.5
ˈʏ	-	0.5
ˈɛː	ˈɛː_ɐ	0.5
ˈɛː	-	0.5
ˈyː	ˈʏ	0.5
ˈyː	-	0.5
ˈuə̯	ˈʊ	0.5
ˈuə̯	-	0.5
ˈa	ˈa	0.458
ˈɪ	ˈɪ	0.44
d̥	ɾ	0.435
ˈuː	ˈʏ	0.429
ɡ	-	0.429
ˈaʊ̯	ˈoː	0.417
ˈɔ	ˈɔː	0.4
ˈɛ	-	0.385
ˈʊ	ˈʏ	0.375
x	x	0.375
ˈaɪ̯	ˈɛ	0.357
ˈaɪ̯	-	0.357
d̥	-	0.348
ˈɪɛ̯	ˈiː	0.333
ˈøː	ˈeː	0.333
ˈuːə̯	r_ə	0.333
ˈuːə̯	r	0.333
ˈuːə̯	-	0.333
ˈaʊ̯	ˈɔa̯	0.333
ʋ	ə_f	0.333
ç	-	0.333
ˈʊ	ˈʊ	0.312
ˈɛ	ˈɛ	0.308
ˈɔː	ˈɔː	0.308
ˈɔː	-	0.308
ˈiː	ˈiː	0.294
ˈuː	ˈyː	0.286
ˈuː	-	0.286
ˈaɪ̯	ˈiː	0.286
ˈeː	ˈiː	0.273
ˈaʊ̯	-	0.25
ˈɪ	ˈɛ	0.24
ˈɔː	ˈuː	0.231
d̥	t	0.217
ʃ	s_k	0.211
z	z	0.2
d	tʰ	0.2
ˈʊ	ˈœ	0.188
ˈeː	ˈeː	0.182
v	-	0.174
ˈa	-	0.167
ˈɪ	ˈʊ	0.16
ˈɛ	ˈɔ	0.154
ˈɛ	ˈeː	0.154
ˈɔː	ˈiː	0.154
ŋ	-	0.154
ɐ	-	0.147
d	ɾ	0.133
ˈʊ	-	0.125
ˈa	ˈœ	0.125
ˈiː	ˈʏ	0.118
ə	m	0.111
b	-	0.091
t	-	0.086
ˈa	ˈʊ	0.083
ˈa	ˈɔa̯	0.083
ˈa	ˈeː	0.083
m	ˈoː	0.083
ˈɪ	k_ˈɛ	0.08
ˈɪ	-	0.08
n	ə_n	0.077
n	ə	0.077
n	ɾ	0.051
