East Low German	Proto-Germanic	probability
ˈʊ_l	ˈu_lː	1.0
ˈɪ_k	ˈe_k	1.0
ˈœː	ˈu	1.0
ˈyː	ˈiu̯	1.0
ˈuː_æ	ˈu_r	1.0
ˈeː	ˈɑi̯_w	1.0
ˈa	ˈɑ	1.0
ɾ	ð	1.0
ɪ	ɑ	1.0
ɡ	ɣ	1.0
æ_n	r_n	1.0
z	s	1.0
w	w	1.0
tʰ	t	1.0
l	l	1.0
j	ɣ	1.0
h	x	1.0
f_#>	β_ɑ_z_#>	1.0
b	b	1.0
<#_ˈae̯	<#_ˈɑi̯	1.0
<#_ˈa	<#_ˈɑ	1.0
<#_ɡ	<#_ɣ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
<#_j	<#_j	1.0
<#	<#_x	1.0
r	r	0.917
ˈɪ	ˈi	0.909
v	w	0.88
f	ɸ	0.871
ˈuː	ˈuː	0.857
ˈʊ	ˈu	0.833
n	n	0.829
s	s	0.824
ˈɔ	ˈu	0.818
p	p	0.818
ˈʏ	ˈu	0.8
m	m	0.765
ˈɛ	ˈe	0.7
ˈɔʏ̯	ˈɔː	0.667
k	k	0.643
t	t	0.611
ŋ	ŋ	0.6
ˈɛː	ˈe	0.571
ˈiː	ˈiː	0.556
x	x	0.556
d	θ	0.553
ʃ	s_k	0.536
ˈaʊ̯	ˈɑu̯	0.526
ˈoː	ˈɛː	0.5
ˈoː	ˈɑu̯	0.5
ˈae̯	ˈɑi̯	0.5
ˈaʊ̯	ˈɔː	0.474
ʃ	s	0.464
ç	ɣ	0.462
d	d	0.447
x	ɣ	0.444
ˈɛː	ˈɑ	0.429
ˈɒː	ˈɛː	0.375
ˈɒː	ˈɑ	0.375
ˈaː	ˈɑ_r	0.375
ˈaː	ˈɑ	0.375
ˈae̯	ˈeu̯	0.364
#>	ɑ_z_#>	0.353
ˈɔʏ̯	ˈɑu̯	0.333
æ	r	0.333
#>	ɑ̃_#>	0.326
ç	z	0.308
ˈɛ	ˈɑ	0.3
ˈiː	ˈi	0.278
ˈaː	ˈe_r	0.25
m	ɑ_n	0.235
ç	ɣ_j	0.231
k	k_i	0.214
ˈʏ	ˈe	0.2
t	ð	0.185
#>	z_#>	0.185
ˈɔ	ˈɑ	0.182
p	pː	0.182
s	s_ɑ̃	0.176
ˈʊ	ˈu_ŋ	0.167
ˈiː	ˈe	0.167
æ	r_ɑ	0.167
ˈuː	wː	0.143
k	ɡ	0.143
ˈae̯	ˈe	0.136
ŋ	ɣ_ɑ	0.133
ŋ	ɣ	0.133
ŋ	ɡ	0.133
æ	ɛː	0.133
æ	r_ɑ̃	0.133
f	β	0.129
ˈɒː	ˈɑː	0.125
ˈɒː	ˈɑ_x	0.125
v	xʷ	0.12
æ	e_r	0.1
ˈɪ	ˈɑi̯	0.091
r	x_r	0.083
n	nː	0.079
t	t_ɑ	0.074
æ	r_u	0.067
æ	r_i	0.067
#>	n_ɑ̃_#>	0.06
t	ð_i	0.056
#>	s_#>	0.054
n	n_d	0.053
