Old Prussian	Slovak	probability
z	z	1.0
w	ʋ	1.0
uː	i	1.0
u_k	eː	1.0
r_i	r	1.0
oːu̯	i	1.0
o_n	c	1.0
n_o	ɡ̊	1.0
l_i	ʊ̯ɔ	1.0
k_i	k	1.0
j	-	1.0
iː	-	1.0
i_l	ɫ̩	1.0
eː	-	1.0
b	b	1.0
aːu̯	u	1.0
aː	ɲ	1.0
au̯	-	1.0
ai̯	j_ɛ	1.0
a_ŋ	u	1.0
i	-	0.874
r	r	0.849
l	ʎ	0.842
m	m	0.832
v	ʋ	0.7
o	a	0.625
n	-	0.603
ɡ	-	0.582
p	p	0.54
n_a	ɲ_ɛ	0.511
n_a	n	0.489
p	-	0.46
u	-	0.447
t	t	0.447
s	s	0.43
s	x	0.422
a	ɔ	0.418
k	-	0.402
o	ɔ	0.375
e	-	0.374
e	ɛ	0.369
d	d	0.35
t	c	0.341
d	ɟ	0.332
u	i	0.33
n	n	0.325
d	d̥	0.318
k	k	0.31
v	-	0.3
k	ʧ	0.288
a	a	0.271
ɡ	ʒ	0.267
u	u	0.223
t	-	0.212
e	ɔ	0.189
m	-	0.168
l	l̩	0.158
a	iː	0.157
ɡ	ɦ	0.151
r	r̩	0.151
s	-	0.148
i	a	0.126
a	ɛ	0.088
n	æ	0.072
e	e	0.067
a	-	0.066
