Štokavian	Czech	probability
ǎː	ˈa	1.0
e	ɛ	1.0
eː	ɛ	1.0
êː	ˈɛ	1.0
ě	ˈɛ	1.0
ěː	ˈɛ	1.0
i	ɪ	1.0
iː	iː	1.0
îː	ˈɪ	1.0
ǐː	ˈiː	1.0
m	m	1.0
o	o	1.0
ǒ	ˈo	1.0
p	p	1.0
r̂ː	ˈr̩	1.0
r̩̂	ˈr̩	1.0
r̩̂ː	r	1.0
r̩̂	r̝	1.0
s	s	1.0
z	z	1.0
ɲ	ɲ	1.0
ʎ	l	1.0
ʧ	ʧ	1.0
ʨ	ʦ	1.0
a	a	0.571
k	k	0.911
r	r̝	0.241
ûː	ˈu	0.531
ʋ	-	0.071
ʦ	-	0.191
b	b	0.722
d	ɟ	0.182
ê	ˈɛ	0.752
r	r	0.612
ɡ	iː_#>	0.112
ɡ	ɦ	0.732
âː	ˈa	0.763
î	ˈiː	0.253
n	n	0.943
t	t	0.893
ʒ	ʃ	0.383
a	-	0.14
d	t	0.124
d	d	0.694
j	j	0.664
ô	ˈuː	0.294
x	x_iː	0.444
â	ˈɛ	0.15
ôː	ˈuː	0.365
ôː	ˈo	0.635
ûː	ˈou̯	0.15
j	-	0.336
ô	ˈɛ	0.086
x	x	0.556
ɡ	x	0.156
âː	ˈaː	0.237
î	ˈɪ	0.747
n	n_iː	0.057
t	c	0.107
ʒ	ʒ	0.617
a	ɛ	0.288
b	p	0.278
ê	ˈɛː	0.248
l	l	0.988
r	r̝̊	0.128
â	ˈaː	0.159
â	ˈa	0.69
k	k_iː	0.089
ô	ˈo	0.619
ûː	l_ˈu	0.319
ʋ	v	0.929
ʦ	ʦ	0.809
