Western Lombard	Western Lombard	probability
ˈɛ_ʧ	ˈɛ_t	1.0
ˈɛ_#>	ˈeː_#>	1.0
ˈɑː_d	ˈa	1.0
ˈœ	v_ˈɔ	1.0
ˈỹ	ˈu_ŋ	1.0
ˈy	ˈu	1.0
ˈo	ˈɔ	1.0
ˈĩ	ˈi_ŋ	1.0
ˈeː_n	ˈe_n	1.0
ˈa_s	ˈa_s	1.0
ˈa_#>	ˈaː_#>	1.0
ɲ	ɲ	1.0
ɛ	j	1.0
z	z	1.0
y	u	1.0
w_a	e	1.0
w	w	1.0
t_a	t_e	1.0
r_t	r_t	1.0
r_n	r	1.0
r_#>	#>	1.0
p_j	p_l	1.0
p	p	1.0
o	u	1.0
m	m	1.0
l	l	1.0
j_ˈøː	ˈi	1.0
ĩ	i	1.0
i	i	1.0
f_ˈiː	f	1.0
f_j	f_l	1.0
f	f	1.0
ẽ	i_ŋ	1.0
b	b	1.0
a_d	a_d	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_ʧ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
<#	<#_j	1.0
r	r	0.96
<#_l	<#_l	0.895
t	t	0.889
d	d	0.885
ˈa	ˈa	0.867
l_#>	l_#>	0.857
s	s	0.852
v	v	0.839
ˈiː	ˈi	0.778
e_r	r_i	0.778
a	e	0.769
ˈu	ˈo	0.75
k_#>	k_#>	0.75
f_#>	f_#>	0.75
ˈøː	ˈuː	0.7
n	n	0.7
ˈoː	w	0.667
ˈyː	ˈu	0.643
ˈã	ˈa_ŋ	0.636
ɡ	ɡ	0.632
e	i	0.588
ʒ	-	0.571
j	j	0.571
ˈũ	ˈo_ŋ	0.556
ˈi	ˈiː	0.556
#>	s_#>	0.556
ˈɛ	j_ˈɛ	0.536
ˈɑː	ˈa	0.52
ˈi_#>	ˈi_#>	0.5
ˈi_#>	#>	0.5
u	o	0.5
k	c	0.487
ˈɑː	ˈaː	0.48
k	k	0.462
#>	t_#>	0.444
ˈe	ˈe	0.429
ʒ	ʤ	0.429
j	-	0.429
ˈuː	ˈoː	0.417
ˈuː	ˈo	0.417
e	e	0.412
ˈã	ˈa_n	0.364
ˈyː	ˈuː	0.357
ˈoː	ˈɔː	0.333
ˈẽ	ˈi_n	0.333
ˈẽ	ˈi	0.333
ˈẽ	ˈe_ŋ	0.333
ˈeː	ˈe	0.333
ʧ	l_i	0.333
ʤ	ɟ	0.333
ʤ	l	0.333
ʤ	-	0.333
ˈøː	-	0.3
ˈɔ	w_ˈa	0.294
ˈɛ	ˈe	0.286
ˈe	ˈiː	0.286
ˈe	-	0.286
ˈu	-	0.25
k_#>	#>	0.25
f_#>	#>	0.25
ˈɔ	ˈɔ	0.235
ˈɔ	w_ˈɛ	0.235
ˈũ	ˈo_n	0.222
ˈũ	w_ˈi	0.222
ˈiː	-	0.222
ˈi	ˈi	0.222
ˈi	i	0.222
e_r	r	0.222
u	u	0.214
ɡ	-	0.211
ˈeː	ˈiː	0.2
ˈeː	ˈeː	0.2
n	ɲ	0.2
ˈɛ	ˈɛ	0.179
a	a	0.169
ˈuː	-	0.167
ʧ	ʧ	0.167
ʧ	t	0.167
ʧ	k_l	0.167
ʧ	-	0.167
v	-	0.161
ɡ	v	0.158
s	ʧ	0.148
u	ˈo	0.143
u	-	0.143
l_#>	#>	0.143
ˈeː	ˈɛ	0.133
ˈeː	-	0.133
ˈa	ˈaː	0.133
ˈɔ	ˈa	0.118
ˈɔ	-	0.118
d	-	0.115
t	d	0.111
<#_l	<#_j	0.105
n	ŋ	0.1
a	-	0.062
k	-	0.051
