Romansch	Bellunese	probability
a	a	0.362
a	ˈa	0.315
b	b	1.0
d	d	0.872
d	-	0.052
eː	ˈe	0.268
f	f	0.826
f	v	0.126
f	-	0.057
i	u	0.381
i	e	0.289
i	i	0.149
i	j	0.107
j	-	0.494
j	j	0.21
j	e	0.122
j	ˈɛ	0.114
j_ˈɛ	ˈo	0.841
j_ˈɛ	ˈe	0.117
k	k	0.865
k	ʧ	0.133
l	l	0.736
l	-	0.115
l	j	0.07
l	l_o	0.052
l_ə	a	1.0
m	m	0.835
m	ŋ	0.108
m	n	0.052
n	n	0.566
n	ŋ	0.389
o	o	0.794
o	u	0.171
p	p	1.0
r	r	0.997
s	s	0.684
s	-	0.183
s	θ	0.073
t	t	0.909
t	-	0.059
u	o	0.673
u	w	0.109
u	ˈo	0.087
u	i	0.072
u	-	0.07
v	v	0.883
v	-	0.081
w	-	0.438
w	ɡ_o	0.239
w	w	0.121
w	o	0.097
w	l	0.08
w_n	ŋ	0.786
w_n	n	0.128
z	z	0.518
ŋ	ŋ_ɡ	0.447
ŋ	n	0.257
ŋ	ŋ	0.218
ə	a	0.604
ə	e	0.181
ə	o	0.069
ə	-	0.067
ə_l	a	0.139
ɡ	ɡ	0.619
ɡ	-	0.157
ɡ	z	0.119
ɡ	ʤ	0.095
ɲ	ɲ	1.0
ʃ	s	0.577
ʃ	z	0.138
ʃ	z_e	0.138
ʃ	ð	0.084
ʎ	ʧ_o	0.37
ʎ	-	0.148
ʎ	j	0.148
ʎ	l	0.113
ʎ	ˈɛ_l	0.113
ʎ	ʧ	0.068
ʒ	z	0.518
ʥ	ð	0.263
ʥ	-	0.257
ʥ	ɡ	0.257
ʥ	j	0.101
ʥ	ɲ	0.101
ʦ	s	0.233
ʦ	t	0.233
ʦ	ð	0.139
ʧ	θ	0.896
ʧ	z	0.102
ʨ	k	0.73
ʨ	t	0.21
ˈa	ˈa	0.938
ˈa_j	ˈe	0.953
ˈa_j	e	0.058
ˈa_w	ˈɔ	1.0
ˈaː	ˈa	1.0
ˈe	ˈe	0.65
ˈe	e	0.086
ˈe	a	0.078
ˈe	-	0.077
ˈe	ˈɛ	0.063
ˈe	ˈo	0.053
ˈeː	ˈe	0.561
ˈeː	ˈɛ	0.425
ˈi	ˈi	0.549
ˈi	ˈu	0.203
ˈi	j	0.124
ˈi	ˈe	0.061
ˈi	ˈɛ	0.054
ˈiː	ˈu	0.322
ˈiː	ˈi	0.291
ˈiː	e	0.208
ˈo	ˈo	1.0
ˈoː	ˈo	0.268
ˈu	ˈo	0.746
ˈu	ˈu	0.119
ˈu	ˈɔ	0.085
ˈuː	ˈo	1.0
ˈɔ	ˈɔ	0.527
ˈɔ	ˈo	0.204
ˈɔ	ˈa	0.16
ˈɔ	o	0.092
ˈɔː	ˈa	0.5
ˈɔː	ˈɔ	0.5
ˈɛ	ˈɛ	0.448
ˈɛ	ˈe	0.238
ˈɛ	ˈɛ_l	0.219
ˈɛ	ˈi	0.05
ˈɛː	ˈɛ	1.0
