Ripuarian	Bavarian	probability
b	b̥	1.0
d	d̥	0.919
d	t	0.081
e	eɐ̯	1.0
f	f	0.807
f	b̥	0.133
f	-	0.06
h	h	0.957
j	ɡ̊	0.82
j	j	0.094
j	ŋ	0.086
k	kʰ	0.358
k	ɡ̊	0.195
k	k	0.176
k	d̥	0.11
k	t	0.08
l	l	0.503
l	j	0.459
m	m	0.959
n	n	0.836
n	m	0.094
n	ŋ	0.062
p	f	0.509
p	p͡f	0.343
p	p	0.148
s	s	0.972
t	d̥	0.468
t	t	0.43
t	s	0.077
v	b̥	0.694
v	m	0.218
v	ʋ	0.07
x	x	0.833
x	ɡ̊	0.167
z	s	0.932
z	ʃ	0.068
ŋ	n	0.705
ŋ	ŋ	0.295
ɐ	a	0.42
ɐ	ɐ	0.354
ɐ	-	0.204
ɕ	x	0.42
ɕ	ɡ̊	0.332
ɕ	ç	0.248
ə	n	0.678
ə	a	0.148
ə	-	0.105
ɣ	ŋ	0.581
ɣ	ɡ̊	0.419
ɪ	i	0.567
ɪ	-	0.433
ʀ	r	0.975
ʃ	ʃ	1.0
ʋ	ʋ	1.0
ʦ	ʦ	1.0
ˈa	ˈa	0.295
ˈa	ˈo	0.268
ˈa	ˈɒː	0.112
ˈa	ˈɔ	0.102
ˈa	ˈoː	0.073
ˈa	ˈi	0.073
ˈaʊ̯	ˈau̯	0.559
ˈaʊ̯	ˈaː	0.201
ˈaʊ̯	ˈa	0.165
ˈaʊ̯	ˈɔ	0.075
ˈaː	ˈoː	0.294
ˈaː	ˈo	0.167
ˈaː	ˈɔ	0.167
ˈaː	ˈa	0.152
ˈaː	ˈɒ	0.119
ˈaː	ˈaː	0.1
ˈe	ˈi	0.779
ˈe	ˈai̯	0.1
ˈe	ˈiɐ̯	0.065
ˈeɪ̯	ˈai̯	0.488
ˈeɪ̯	ˈoɐ̯	0.478
ˈeː	ˈoɐ̯	0.339
ˈeː	ˈiɐ̯	0.23
ˈeː	ˈiː	0.103
ˈeː	ˈu	0.09
ˈeː	ˈeɐ̯	0.076
ˈiː	ˈai̯	0.327
ˈiː	ˈi	0.272
ˈiː	ˈɛː	0.122
ˈiː	ˈɑː	0.084
ˈiː	ˈɛ	0.084
ˈo	ˈu	0.639
ˈo	ˈuɐ̯	0.151
ˈo	ˈo	0.11
ˈo	ˈoː	0.099
ˈoʊ̯	ˈaː	0.5
ˈoʊ̯	ˈoː	0.5
ˈoː	ˈuɐ̯	0.304
ˈoː	ˈɔ	0.11
ˈoː	ˈaː	0.098
ˈoː	ˈoɐ̯	0.091
ˈoː	ˈeɐ̯	0.09
ˈoː	ˈɛː	0.09
ˈoː	ˈe	0.067
ˈoː	ˈɒː	0.057
ˈu	ˈɛ	0.671
ˈu	ˈo	0.173
ˈu	ˈu	0.156
ˈuː	ˈau̯	0.512
ˈuː	ˈou̯	0.326
ˈuː	ˈoɐ̯	0.129
ˈyː	ˈai̯	0.434
ˈyː	ˈe	0.275
ˈyː	ˈeː	0.228
ˈyː	ˈi	0.063
ˈøʏ̯	ˈai̯	1.0
ˈøː	ˈai̯	0.268
ˈøː	ˈu	0.216
ˈøː	ˈuɐ̯	0.216
ˈøː	ˈiɐ̯	0.2
ˈøː	ˈeɐ̯	0.101
ˈœ	ˈu	0.321
ˈœ	ˈi	0.295
ˈœ	ˈai̯	0.181
ˈœ	ˈʏ	0.178
ˈɔ	ˈɔ	0.326
ˈɔ	ˈo	0.224
ˈɔ	ˈu	0.19
ˈɔ	-	0.093
ˈɔ	ˈaː	0.088
ˈɔ	ˈau̯	0.063
ˈɛ	ˈɛ	0.226
ˈɛ	ˈe	0.208
ˈɛ	ˈi	0.166
ˈɛ	ˈeː	0.136
ˈɛ	ˈɒ	0.101
ˈɛ	ˈai̯	0.098
ˈɛ	ˈo	0.065
ˈɛː	ˈɛ	0.309
ˈɛː	ˈe	0.231
ˈɛː	ˈeː	0.132
ˈɛː	ˈo	0.12
ˈɛː	ˈa	0.117
ˈɛː	ˈoɐ̯	0.091
ˈɪ	ˈi	0.706
ˈɪ	ˈɛ	0.147
ˈɪ	ˈiː	0.102
ˈʊ	ˈu	1.0
ˈʏ	ˈi	0.275
ˈʏ	ˈʏ	0.275
ˈʏ	ˈy	0.182
ˈʏ	ˈai̯	0.147
ˈʏ	ˈiɐ̯	0.12
