Corsican	Ladin	probability
a	a	0.878
a	-	0.074
b	b	0.753
b	-	0.247
c	d	0.53
c	k_l	0.26
c	ʨ	0.161
d	d	0.657
d	-	0.304
e	-	0.527
e	e	0.367
e	ˈi	0.069
f	f	1.0
i	e	0.604
i	i	0.225
i	-	0.116
i	j	0.055
j	l	0.47
j	j	0.31
j	-	0.2
k	ʨ	0.42
k	k	0.211
k	-	0.211
k	ɡ	0.13
l	l	0.644
l	-	0.259
m	m	0.96
n	n	0.96
o	u	0.397
o	o	0.325
o	-	0.278
p	p	0.79
p	v	0.144
p	-	0.055
r	r	0.782
r	-	0.085
r	w_r	0.062
r	r_j	0.052
s	s	0.737
s	ʃ	0.138
s	-	0.1
t	t	0.528
t	-	0.315
t	d	0.139
u	-	0.739
u	e	0.092
u	o	0.056
v	v	0.925
v	-	0.068
w	-	0.827
w	a	0.173
z	z	0.363
z	ʒ	0.332
z	s	0.305
ŋ	ŋ	0.71
ŋ	ɲ	0.178
ŋ	n	0.112
ɟ	ʒ	0.59
ɟ	ɡ_l	0.176
ɟ	ʥ	0.085
ɟ	ʤ	0.082
ɟ	d	0.055
ɡ	ɡ	0.524
ɡ	k	0.273
ɡ	v	0.097
ɡ	-	0.088
ɲ	ɲ	1.0
ʃ	ʃ	0.64
ʃ	-	0.231
ʃ	s	0.129
ʎ	j	0.776
ʎ	ʨ	0.224
ʒ	ʒ	1.0
ʣ	ʒ	0.661
ʣ	ʦ	0.339
ʤ	ʥ	0.539
ʤ	ʒ	0.272
ʤ	v	0.189
ʦ	-	0.484
ʦ	ʦ	0.381
ʦ	ʃ	0.136
ʧ	ʧ	0.223
ʧ	-	0.221
ʧ	ʦ	0.195
ʧ	ʨ	0.136
ʧ	ʃ	0.115
ʧ	ʒ	0.1
ˈa	ˈa	0.664
ˈa	ˈe	0.189
ˈa	ˈɛ	0.138
ˈe	ˈɛ	0.562
ˈe	j_ˈɛ	0.213
ˈe	ˈe	0.176
ˈi	ˈi	0.907
ˈi	ˈe	0.061
ˈo	ˈo	0.57
ˈo	w_ˈɛ	0.19
ˈo	ˈɔ	0.185
ˈo	ˈu	0.054
ˈu	ˈu	0.744
ˈu	ˈo	0.115
ˈu	ˈe	0.103
ˈɔ	ˈɔ	0.441
ˈɔ	ˈo	0.296
ˈɔ	w_ˈɛ	0.105
ˈɔ	o	0.075
ˈɔ	w	0.06
ˈɛ	ˈɛ	0.484
ˈɛ	ˈe	0.322
ˈɛ	ˈe_j	0.161
