Ripuarian	Ripuarian	probability
ˈʊ	ˈʊ	1.0
ˈɔː	ˈɔ_ɐ	1.0
ˈɔʊ̯	ˈaʊ̯	1.0
ˈøʏ̯	ˈɔʏ̯	1.0
ˈu	-	1.0
ˈoː_#>	ˈuː_#>	1.0
ˈo_n	a	1.0
ˈiː_#>	ˈeː_#>	1.0
ˈeɪ̯	ˈaɪ̯	1.0
ʋ	v	1.0
ʃ	ʃ	1.0
ʀ	ʁ	1.0
ɪ	-	1.0
ɣ̊	ɡ̊	1.0
ɣ	ɡ	1.0
ɡ̊_#>	#>	1.0
ɡ̊	d̥	1.0
ɕ_#>	#>	1.0
ɐ	ɐ	1.0
z	z	1.0
x	x	1.0
v̥	b̥	1.0
t	t	1.0
s	s	1.0
m	m	1.0
l	l	1.0
h	h	1.0
f	f	1.0
e	eː	1.0
d_ə	t_n	1.0
b	b	1.0
<#_n	<#_n	1.0
ɫ	l	0.885
j	ɡ	0.875
ʦ	ʦ	0.867
ˈa	ˈa	0.852
ˈe	ˈɪ	0.842
ɕ	ç	0.842
n	n	0.842
ˈɔ	ˈɔ	0.818
ˈœ	ˈʏ	0.75
v	b	0.75
ˈɛː	ˈɛ	0.714
ˈɪ	ˈɪ	0.667
ˈyː	ˈɔʏ̯	0.667
ˈo	ˈʊ	0.667
z̥	z̥	0.636
ə	n	0.583
ˈaː	ˈaː	0.571
d̥	t	0.565
ˈuː	ˈaʊ̯	0.533
d	d	0.528
ˈɛ	ˈɛ	0.526
k	kʰ	0.519
ˈʏ	ˈɔʏ̯	0.5
ˈʏ	ˈyː	0.5
ˈøː	ˈyː	0.5
ˈøː	-	0.5
ˈiː	ˈaɪ̯	0.5
ˈuː	ˈoː	0.467
p	p͡f	0.444
d̥	d̥	0.435
ˈoː	ˈuː	0.429
ˈaː	ˈa	0.429
ŋ	n	0.429
ˈeː	ˈiː	0.417
k	k	0.407
ŋ	ŋ	0.393
d	tʰ	0.389
z̥	z_ə	0.364
ˈyː	ˈøː	0.333
ˈoː	ˈaː	0.333
ˈiː	ˈiː	0.333
ˈeː	ˈaɪ̯	0.333
p	f	0.333
ˈɛː	ˈeː	0.286
ˈœ	-	0.25
v	-	0.25
p	p	0.222
ˈɛ	ˈa	0.211
ə	ə_n	0.208
ˈɔ	ˈoː	0.182
ˈɪ	ˈiː	0.167
ˈɪ	-	0.167
ˈo	ˈɔ	0.167
ˈo	-	0.167
ˈiː	ˈɛː	0.167
ˈeː	ˈeː	0.167
ˈɛ	ˈeː	0.158
ˈe	-	0.158
ɕ	ɡ̊	0.158
ˈa	ˈaː	0.148
ˈoː	-	0.143
ʦ	ɐ_ʦ	0.133
ə	-	0.125
j	j	0.125
ɫ	l_ə	0.115
ŋ	n_d	0.107
ˈɛ	-	0.105
ˈoː	ˈaʊ̯	0.095
ˈeː	ˈɪ	0.083
d	t	0.083
k	-	0.074
ŋ	-	0.071
n	ˈoː_n	0.053
n	ɡ_n	0.053
n	ɐ_n	0.053
