Gascon	Portuguese	probability
a	ɐ	1.0
nː	m	1.0
p	p	1.0
ð	ð	1.0
ɡ	ɡ	1.0
ɣ	ɣ	1.0
ʃ	ʃ	1.0
d	-	0.081
e	-	0.151
e	i	0.211
j	j	0.481
t	t_ɨ	0.1
ˈe	ˈɐ	0.281
ˈy	ˈũ	0.111
ˈɔ	ˈo	0.321
h	f	0.802
r	ɾ_n	0.252
z	-	0.12
ˈa	ˈɐ̃	0.222
ˈi	-	0.052
ˈi	ˈe	0.102
β	v	0.422
r	ɾ_u	0.163
w	j	0.053
ʎ	ʎ	0.283
ʦ	ʃ	0.833
ˈa	ˈɔ	0.063
ˈa	ˈa_ɾ	0.183
ˈy	ˈu_ɾ	0.133
β	β_ɾ	0.103
b	b	0.314
i	ɨ	0.334
j	ˈɐ_j	0.234
l	-	0.414
m	-	0.094
t	t_u	0.14
t	t	0.4
u	u	0.754
w	-	0.224
ŋ	w̃	0.734
ɲ	ɲ_u	0.274
ʎ	j_ʎ	0.134
ˈu	ˈu	0.204
j	-	0.225
n	-	0.485
ɔ	ɐ	0.965
ɾ	-	0.145
ʎ	ʎ_u	0.565
ˈa	ˈo	0.065
ˈe	u	0.055
ˈe	ˈe	0.335
ˈu	ˈɔ	0.135
ˈɛ	-	0.195
b	v	0.686
e	u	0.06
e	j	0.066
k	k	0.76
m	m	0.906
r	ɾ	0.526
u	-	0.246
ŋ	ɲ_u	0.156
ɲ	ɲ	0.726
ˈe	-	0.126
ˈɛ	ˈɐ	0.086
β	β	0.476
e	ˈe_ɾ	0.127
e	ɨ	0.307
n	n	0.487
s	ʃ	0.427
s	s	0.537
t	ð_u	0.07
t	-	0.197
w	u	0.127
w	ɫ	0.157
ɾ	ɾ	0.817
ʦ	s_u	0.167
ˈa	ˈɐ	0.137
ˈe	ˈi	0.107
ˈi	ˈi	0.767
ˈu	ˈo	0.467
h	-	0.198
i	ĩ	0.498
l	l	0.528
t	ð_ɨ	0.068
w	v_ɨ	0.078
w	w	0.338
z	z	0.88
ˈy	ˈo	0.088
ˈy	ˈu	0.668
d	d	0.919
i	i	0.169
k	ɣ_u	0.129
r	-	0.059
ŋ	ˈĩ	0.109
ʒ	ʒ	0.979
ˈa	ˈa	0.329
ˈe	ɨ	0.069
ˈi	ˈi_ɲ	0.079
ˈu	ˈɐ̃	0.169
ˈɔ	ˈɔ	0.679
ˈɛ	ˈɛ	0.719
