East Frisian Low Saxon	Northern Low Saxon	probability
ˈʏə̯	ˈʏ	1.0
ˈʏ	ˈʏ	1.0
ˈʊə̯	ˈʊ	1.0
ˈʊ_ɐ	ˈɔː	1.0
ˈɪə̯	ˈɪ	1.0
ˈɪ	ˈɪ	1.0
ˈɛ_l	l	1.0
ˈɔː	ˈoː	1.0
ˈɒːɒ̯	ˈoː	1.0
ˈɒː	ˈoː	1.0
ˈɑːʊ̯	-	1.0
ˈɑː_ɐ	ˈaː	1.0
ˈɑː	ˈa	1.0
ˈɑɪ̯	-	1.0
ˈɑ_l	ˈaː	1.0
ˈœːy̯	ˈaʊ̯	1.0
ˈœy̯	ˈɔʏ̯	1.0
ˈøy̯	ˈɔʏ̯	1.0
ˈæː	ˈaɪ̯	1.0
ˈyː	ˈyː	1.0
ˈuːu̯	ˈuː	1.0
ˈuː	ˈuː	1.0
ˈoːo̯	ˈaʊ̯	1.0
ˈiːi̯	ˈiː	1.0
ˈiː	ˈiː	1.0
ʊ	ˈaʊ̯	1.0
ɫ	l	1.0
ɡ̊	ɪ	1.0
ə	-	1.0
ɑɪ̯	aɪ̯	1.0
ɐ_ɣ̊	i	1.0
ɐ_t	d	1.0
ɐ_d̥	ɐ_d	1.0
ɐ	ɐ	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
z	z	1.0
w	v	1.0
v_n	m	1.0
v	v	1.0
t_ɐ	d_ɐ	1.0
t_n	d_n	1.0
s_t	s	1.0
s_k	ʃ	1.0
r	r	1.0
p_n	b_m	1.0
o	ˈaʊ̯	1.0
n_n	n_n	1.0
m	m	1.0
l_d̥	l_d	1.0
l	l	1.0
k	ɡ	1.0
h	h	1.0
f	f	1.0
d_n	d_n	1.0
d	d	1.0
b	b	1.0
ɡ	ɡ	0.978
n	n	0.944
ˈɑ	ˈa	0.923
d̥	d	0.918
ˈæɪ̯	ˈaɪ̯	0.85
ˈʊ	ˈʊ	0.831
ˈɑʊ̯	ˈaʊ̯	0.8
ˈoː	ˈaʊ̯	0.795
v̥	f	0.787
ɣ̊	ç	0.773
ˈeː	ˈeː	0.746
ˈɛ	ˈɛ	0.676
ˈɛːɪ̯	ˈaɪ̯	0.667
s	ʃ	0.641
ˈɔ	ˈɔ	0.636
ɡ_n	ŋ	0.605
p	b	0.604
χ	ç	0.598
ˈøːø̯	-	0.593
ˈæːɪ̯	ˈɛɪ̯	0.593
t	d	0.545
j	ʒ	0.525
ˈœ	-	0.512
ˈɑːɑ̯	ˈa	0.507
ˈeːe̯	ˈɛ_l	0.5
ˈeːe̯	-	0.5
ˈɑːɑ̯	-	0.493
ˈœ	ˈʊ	0.488
j	ˈɛː	0.475
ˈøː	-	0.417
ˈøːø̯	ˈøː	0.407
ˈæːɪ̯	-	0.407
χ	x	0.402
ɡ_n	n	0.395
s	s	0.359
t	t	0.357
ˈɛːɪ̯	ˈiː	0.333
ˈɛ	ˈø	0.324
ˈøː	ˈɔʏ̯	0.292
ˈøː	ˈøː	0.292
ˈeː	ˈeɪ̯	0.254
ɣ̊	x	0.227
p	p	0.221
v̥	v̥	0.213
ˈoː	ˈoː	0.205
ˈɑʊ̯	ˈɔʏ̯	0.2
ˈɔ	ˈʊ	0.182
ˈɔ	-	0.182
p	-	0.175
ˈʊ	-	0.169
ˈæɪ̯	-	0.15
t	-	0.097
d̥	-	0.082
ˈɑ	-	0.077
n	-	0.056
