Eastern Lombard	Eastern Lombard	probability
ˈø_t	ˈu_tː	1.0
ˈy	ˈu	1.0
ˈi_a	ˈi_ə	1.0
ˈi_#>	ˈi_n_ə_#>	1.0
ˈe_r	ˈi_ɾ	1.0
ˈe_l	ˈi_l	1.0
ˈa_t	ˈa_tː	1.0
ˈa_r	ˈa_ɾ	1.0
ˈa_#>	ˈa_#>	1.0
ʤ	j	1.0
ʋ	-	1.0
y	u	1.0
w	w	1.0
u	u	1.0
s_t	s_t	1.0
s_k	ʃ_k	1.0
p_ˈo	p_ˈu	1.0
p_j	k_j	1.0
p	p	1.0
o_#>	#>	1.0
n_ʤ	ɲː	1.0
k_r	k_ɾ	1.0
k_a	kː_ə	1.0
k_#>	k_ə_#>	1.0
f_j	ʃ	1.0
f_#>	v_ə_#>	1.0
f	f	1.0
e_r	ə_ɾ	1.0
<#_ˈɛ	<#_ˈa	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_z	<#_j	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
k	k	0.941
#>	ə_#>	0.929
ˈa	ˈa	0.857
a	ə	0.803
t	t	0.788
n	n	0.786
i	i	0.75
m	m	0.741
ŋ	ŋ	0.714
l	l	0.714
<#	<#_v	0.68
r	ɾ	0.625
ɲ	ɲː	0.6
e	ə	0.583
ˈo	ˈɔ	0.533
ˈi	ˈi	0.524
z	ʤ	0.5
j	ʎː	0.467
o	-	0.462
ˈɔ	ˈɔ	0.45
ˈu	ˈo	0.429
d	d	0.423
ʧ	kː_j	0.417
ɡ	k	0.417
ˈø	ˈu	0.409
o	u	0.385
d	t	0.385
ˈu	ˈu	0.381
b	v	0.375
b	b	0.375
ˈe	ˈɛ	0.364
s	ʃ	0.355
ˈɔ	w_ˈɔ	0.35
ˈo	ˈu	0.333
ʧ	tː	0.333
ɡ	ɡ	0.333
ˈɛ	j_ˈɛ	0.316
ɲ	n	0.3
s	s	0.29
ˈi	ˈe	0.286
ŋ	nː	0.286
ˈø	ˈɔ	0.273
ˈɛ	ˈɛ	0.263
ˈɛ	ˈe	0.263
m	mː	0.259
ɡ	-	0.25
i	-	0.25
b	-	0.25
r	r	0.229
ˈe	ˈi	0.227
l	lː	0.224
z	ʃ	0.214
z	-	0.214
e	i	0.208
ˈɔ	ˈo	0.2
j	j	0.2
j	-	0.2
a	a	0.197
d	ɾ	0.192
ˈø	w_ˈɔ	0.182
ˈe	ˈe	0.182
ʧ	k_j	0.167
<#	<#_w	0.16
ˈɛ	ˈi	0.158
o	o	0.154
ˈa	ˈa_n	0.143
n	nː	0.143
ˈø	-	0.136
ˈe	ˈɛ_n	0.136
ˈo	-	0.133
j	ə	0.133
e	ɾ	0.125
t	tː	0.121
s	ʃː	0.113
ɲ	ɲ	0.1
ˈu	ˈɔ	0.095
ˈu	ˈu_n	0.095
ˈi	ˈi_ŋ	0.095
ˈi	i	0.095
ˈe	-	0.091
t	-	0.091
ʧ	dː	0.083
e	a	0.083
<#	<#_ˈa	0.08
<#	<#_a	0.08
z	z	0.071
n	ɲː	0.071
s	ʦː	0.065
s	sː	0.065
r	ə	0.062
l	-	0.061
k	ɡ	0.059
#>	ɾ_ə_#>	0.055
