Aromanian	Aromanian	probability
ˈɨ	ˈa	1.0
ˈə	ˈi	1.0
ˈu_k	ˈɔ	1.0
ˈa_v	ˈɔ	1.0
ʧ	θ	1.0
ʎ_i	a	1.0
ʃ_t	s	1.0
ɨ	a	1.0
ə_t	a_d	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
ç	f	1.0
z	z	1.0
u_#>	#>	1.0
t_i_#>	#>	1.0
r_#>	l_#>	1.0
p_t	t	1.0
n_e	ŋ	1.0
n_#>	ŋ_#>	1.0
m_#>	ŋ_#>	1.0
k_ʎ	ʧ	1.0
k_#>	ɡ_o_#>	1.0
i_r	r	1.0
i_#>	#>	1.0
f	f	1.0
e̯a	-	1.0
e	-	1.0
a	-	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʦ	<#_θ	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#_v	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#	1.0
<#	<#_v	1.0
ə	a	0.943
u	o	0.917
s	s	0.882
d	d	0.846
r	r	0.818
m	m	0.81
i	e	0.808
ˈa	ˈa	0.781
e̯ˈa	ˈe	0.778
b	b	0.75
ˈo	ˈo	0.727
ʃ	s	0.714
t	t	0.7
k	k	0.69
ɡ	ɡ	0.667
o̯ˈa	ˈo	0.667
n	n	0.645
l	l	0.643
j	v	0.636
ʤ	ð	0.6
w	-	0.6
#>	o_#>	0.583
p	p	0.579
ˈu	ˈo	0.542
ˈe	ˈɛ	0.5
ˈe	ˈe	0.5
ʣ	ð	0.5
ʣ	d	0.5
ʎ	ʧ	0.5
ʎ	-	0.5
ɲ	m	0.5
ɲ	-	0.5
ˈi	ˈi	0.444
ˈi	ˈe	0.444
ʦ	-	0.417
ʤ	-	0.4
w	v	0.4
l	j	0.357
n	ŋ	0.355
ʦ	z	0.333
ɡ	ʤ	0.333
o̯ˈa	ˈɔ	0.333
ˈu	ˈu	0.292
ʃ	-	0.286
ˈo	ˈɔ	0.273
ʦ	θ	0.25
b	-	0.25
#>	a_#>	0.25
p	-	0.211
j	ˈɛ	0.182
j	-	0.182
ˈu	-	0.167
#>	l_#>	0.167
ˈa	-	0.156
d	-	0.154
t	d	0.15
t	-	0.15
k	ɡ	0.138
r	l	0.121
s	-	0.118
i	-	0.115
ˈi	-	0.111
e̯ˈa	e	0.111
e̯ˈa	-	0.111
p	v	0.105
p	k_w	0.105
k	p	0.103
m	ŋ	0.095
m	-	0.095
u	-	0.083
i	r	0.077
k	ʧ	0.069
ˈa	j_ˈe	0.062
ə	-	0.057
