Latvian	Latvian	probability
ˈɛː	ˈɛː	1.0
ˈɛ	ˈɛ	1.0
ˈæː	ˈæː	1.0
ˈæ	ˈæ	1.0
ˈuː	ˈuː	1.0
ˈuɔ̯	ˈuɔ̯	1.0
ˈu	ˈu	1.0
ˈiː	ˈiː	1.0
ˈiɛ̯	ˈiɛ̯	1.0
ˈi	ˈi	1.0
ˈaː	ˈaː	1.0
ˈau̯	ˈau̯	1.0
ˈai̯	ˈai̯	1.0
ˈa	ˈa	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʣ	ʣ	1.0
ʎ	ʎ	1.0
ʃ	ʃ	1.0
ɲ	ɲ	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɛ	ɛ	1.0
æ	æ	1.0
z̥	z̥	1.0
z	z	1.0
w	w	1.0
v	v	1.0
uɔ̯	uɔ̯	1.0
u	u	1.0
t	t	1.0
s_ˈi	s_ˈi	1.0
s_s	s_s	1.0
s	s	1.0
r̩	r̩	1.0
r	r	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l̩	l̩	1.0
l	l	1.0
k	k	1.0
j	j	1.0
i	i	1.0
e	e	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
b	b	1.0
aː	aː	1.0
a	a	1.0
