Hessian	Limburgish	probability
ˈɛ_d̥	ˈeː	1.0
ˈæː	ˈeː	1.0
ˈæ_ɐ	ʀ	1.0
ˈæ	ˈæː	1.0
ˈi_ʃ	ˈi_x	1.0
ˈẽː	-	1.0
ˈeː_#>	ˈi_#>	1.0
ˈeː	ˈi	1.0
ˈãː	ˈɛː_n	1.0
ʦ	t	1.0
ʤ̥	-	1.0
ʣ̥	-	1.0
ʃ_d̥	s_t	1.0
ʀ	ʀ	1.0
ɡ̊_ə	k_ə	1.0
ɡ̊	ɣ	1.0
ə_#>	#>	1.0
ə	ə	1.0
ɐ_n	ʀ_ə	1.0
z̥	t	1.0
v̥	p	1.0
v_ə	v_ə	1.0
t_ʀ	d_ʀ	1.0
s_t	s	1.0
s_#>	t_#>	1.0
l_b̥	v̥	1.0
kʰ	k	1.0
k_ʀ	ɣ_ʀ	1.0
k_s	s	1.0
k	k	1.0
i_ʃ	ə_x	1.0
i	ɪ	1.0
h	ɦ	1.0
d̥_ə	j_ə	1.0
<#_ʃ	<#	1.0
<#_ʀ	<#_ʀ	1.0
<#_n	<#_n	1.0
#>	n_#>	1.0
l	l	0.932
v	β	0.926
m	m	0.923
p	b	0.8
b̥	b	0.786
n	n	0.774
ˈiː	ˈeː	0.769
ɐ	ʀ	0.727
ˈɔ	ˈʊː	0.714
ˈau̯	ˈuː	0.7
ʃ_#>	#>	0.667
f	v	0.667
s	z	0.63
ˈo	ˈɔ	0.625
ˈɛː	ˈeː	0.6
x	x	0.6
æ̆	ə_ʀ	0.591
ˈoi̯	ˈœi̯	0.571
ˈe	-	0.571
ˈa	ˈaː	0.571
ˈuː	ˈʊː	0.556
ŋ	ŋ	0.556
ˈɑː	ˈɒː	0.5
ˈu	ˈʊː	0.5
j	j	0.5
j	-	0.5
ˈuː	-	0.444
ŋ	ŋ_k	0.444
ˈoi̯	-	0.429
ˈe	ˈɪ	0.429
t	-	0.417
d̥	d̥	0.413
ˈɛː	-	0.4
ˈoː	ˈu	0.4
ˈai̯	ˈiː	0.4
x	k	0.4
d̥	d	0.391
ˈo	ˈɔː	0.375
ʃ	ʃ	0.368
ʃ	s	0.368
ˈɛ	ˈeː	0.333
ˈi	ˈɪː	0.333
ʒ̊	ɣ	0.333
ʒ̊	s	0.333
ʒ̊	-	0.333
ʃ_#>	ŋ_#>	0.333
ɣ̊	ɣ_ə	0.333
ɣ̊	x	0.333
ɣ̊	k	0.333
ˈɑː	ˈaː	0.312
ˈɑ	ˈɑ	0.312
ˈoː	ˈoː	0.3
ˈoː	-	0.3
ˈau̯	ˈɔu̯	0.3
ˈai̯	ˈɛːi̯	0.3
ˈai̯	-	0.3
s	z̥	0.296
ˈɔ	-	0.286
ˈu	-	0.286
ˈaː	ˈɛː	0.286
ˈaː	ˈɔː	0.286
ˈaː	-	0.286
ˈa	ˈɑ	0.286
ɐ	ʀ_ə	0.273
æ̆	ʀ	0.273
ʃ	x	0.263
ˈɑ	ˈɑː	0.25
ˈɑ	ˈaː	0.25
t	d̥	0.25
f	p	0.242
ˈiː	ˈøː	0.231
n	n_d	0.226
ˈɛ	ˈɛ	0.222
ˈɛ	ˈæː	0.222
ˈɛ	-	0.222
ˈu	ˈɔ	0.214
b̥	v̥	0.214
p	p	0.2
ˈɑː	-	0.188
ˈɑ	-	0.188
t	x	0.167
t	t	0.167
ˈi	ˈeː	0.152
ˈi	-	0.152
ˈaː	ˈɔu̯	0.143
ˈa	-	0.143
æ̆	ˈøː_ʀ	0.136
ˈi	ˈœ	0.121
ˈi	ˈɛː	0.091
ˈi	ˈɛ	0.091
f	ə_v̥	0.091
m	-	0.077
v	v	0.074
s	s	0.074
l	-	0.068
d̥	t	0.065
d̥	j_ə	0.065
d̥	-	0.065
ˈi	ˈɪ	0.061
