Emilian	Emilian	probability
θ_#>	z_o_#>	1.0
θ	s	1.0
ˈɛ_#>	ˈa_#>	1.0
ˈɔ	ˈɔ	1.0
ˈæ	ˈe	1.0
ˈiː_r	ˈi_r	1.0
ˈi	ˈi	1.0
ˈaː_t	ˈa_t	1.0
ˈa_j	ˈe	1.0
ʧ	ʧ	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ŋ_#>	ŋ_#>	1.0
ð	z	1.0
z_#>	z_e_#>	1.0
w	w	1.0
v	v	1.0
t_a	t_a	1.0
t	t	1.0
s_#>	s_o_#>	1.0
s	s	1.0
r_e	r	1.0
r_a	r_a	1.0
r_#>	#>	1.0
r	r	1.0
p	p	1.0
o	o	1.0
n	n	1.0
m_#>	m_e_#>	1.0
l_a	a	1.0
k_r	k_r	1.0
j_l	o	1.0
j_a	j_a	1.0
j_#>	ʤ_o_#>	1.0
f	f	1.0
e_r	r_o	1.0
d_e	r_e	1.0
d_#>	d_o_#>	1.0
b	b	1.0
a_r	e_r	1.0
a_d	a	1.0
a	a	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈaː	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_l	<#	1.0
k	k	0.95
m	m	0.931
ˈaː	ˈa	0.882
d	d	0.87
ˈʌu̯	ˈo	0.818
ŋ	ŋ	0.806
ˈɛ	ˈa	0.756
z	z	0.75
ˈe	ˈi	0.737
j	j	0.733
ˈʌ	ˈo	0.727
u	o	0.727
ˈɛ_l	ˈɛ_o	0.714
l	ɰ	0.656
ˈɔː	ˈɔ	0.65
e	e	0.643
#>	o_#>	0.642
ʤ	z	0.6
ˈuː	ˈu	0.583
ˈɛː	ˈɛ	0.571
i	i	0.571
ˈo	ˈu	0.556
ˈa	ˈe	0.469
ˈa	ˈa	0.469
ˈiː	ˈi	0.444
ˈɛː	j_ˈɛ	0.429
i	e	0.429
ˈuː	ˈo	0.417
ʤ	ʤ	0.4
l	l	0.344
ˈiː	j_ˈe	0.333
#>	e_#>	0.296
ˈɛ_l	ˈɛ	0.286
ˈʌ	-	0.273
u	u	0.273
ˈe	-	0.263
ˈɔː	ˈo	0.25
z	s_e	0.25
ˈɛ	ˈɛ	0.244
ˈo	ˈɔ	0.222
ˈo	ˈo	0.222
ˈiː	ˈe	0.222
e	-	0.214
ˈʌu̯	-	0.182
e	o	0.143
j	ʤ	0.133
j	-	0.133
d	-	0.13
ˈaː	ˈo	0.118
ˈɔː	-	0.1
ŋ	n	0.097
ŋ	-	0.097
m	m_ˈɛ	0.069
ˈa	-	0.062
#>	a_#>	0.062
