Shanghainese	Shanghainese	probability
⁵⁵	⁵	1.0
⁵³	⁴²	1.0
⁵	⁵	1.0
ʨʰ	ʨʰ	1.0
ʨ	ʨ	1.0
ʦʰ	ʦʰ	1.0
ʥ	ʨʰ	1.0
ʑ	ʨʰ_ɥ	1.0
ɯ	w	1.0
ɪ	ɵ	1.0
ɥ	ɥ	1.0
ɤ	w	1.0
ɡ	ʨ_j	1.0
ə_n	a_ŋ	1.0
ɕ	ɕ	1.0
ɑ̃	ɔ_ŋ	1.0
ŋ̍	ŋ̍	1.0
ŋ	ŋ	1.0
z̩	z̩	1.0
y	y	1.0
v	f	1.0
tʰ	tʰ	1.0
t	t	1.0
s	s	1.0
p	p	1.0
o_⁵³	a_⁴²	1.0
nʲ	nʲ	1.0
n	n	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j_ɪ	i	1.0
f	f	1.0
d	tʰ	1.0
b	pʰ	1.0
ã	ɔ_ŋ	1.0
a	a	1.0
<#_nʲ	<#	1.0
<#_n	<#_l	1.0
<#_m_ə	<#_u	1.0
<#	<#_ŋ	1.0
³⁴	²¹³	0.92
ʦ	ʦ	0.8
<#_ɦ	<#	0.8
ø	ɵ_n	0.75
ʔ	t̚	0.609
¹²	⁵	0.6
h	h	0.6
i	i	0.565
z	s	0.556
u	o	0.556
e	a_j	0.556
ɦ	h	0.5
ɦ	f	0.5
ɜ	ɨ_w	0.5
ɜ	ɛ_w	0.5
ɔ	w	0.5
ɔ	a_w	0.5
ə	ɨ	0.444
z	ʦʰ	0.444
u	u	0.444
j	j_ɛ	0.444
e	a_n	0.444
o	u	0.429
¹²	²	0.4
h	f	0.4
ʔ	ʔ	0.391
²³	³⁵	0.368
ə	ɛ	0.333
j	i	0.333
ø	a_n	0.25
²³	²⁴	0.246
ə	u	0.222
j	j	0.222
ʦ	ʨ	0.2
<#_ɦ	<#_w	0.2
²³	¹¹	0.193
²³	²¹³	0.193
o	j_u	0.19
i	ɵ	0.174
o	ɔ	0.143
o	a	0.143
i	j_ɛ	0.13
i	j	0.13
o	-	0.095
³⁴	³⁵	0.08
