Sixian	Sixian	probability
⁵_#>	#>	1.0
ʨ	ʦ	1.0
ʦ	ʦ	1.0
ɕ	s	1.0
ŋ̍	ɨ_ʌ	1.0
ŋ	ŋ	1.0
¹¹	˦	1.0
³¹	˧˥	1.0
²_#>	#>	1.0
w_¹¹	u_˦	1.0
w	u	1.0
t̚_⁵	t̚	1.0
p̚	p̚	1.0
o_j	ʌ_i	1.0
l	l	1.0
k̚	k̚	1.0
j_e	e	1.0
j_a	e	1.0
a_ŋ	e_ŋ	1.0
<#_ʦ	<#	1.0
<#_kʰ	<#	1.0
<#_h	<#	1.0
#>	˧˥_#>	1.0
n	n	0.938
⁵⁵	˥˩	0.84
m	m	0.8
²⁴	˦	0.791
p	p	0.75
ɲ	ȵ	0.714
k	k	0.692
ɨ	ɨ	0.667
t̚	t̚	0.667
kʰ	ɡ	0.571
<#	<#_ʔ	0.571
tʰ	d	0.556
ʨʰ	ʦʰ	0.5
ʨʰ	ʣ	0.5
v	ɦ	0.5
v	m	0.5
t	ʈ	0.5
t	t	0.5
i	ɪ	0.5
h	h	0.5
u	u	0.486
tʰ	tʰ	0.444
kʰ	kʰ	0.429
<#	<#_ɦ	0.429
j	ɨ	0.423
j	i	0.423
e	ə	0.421
u	ɨ_u	0.371
e	e	0.368
ʦʰ	ʨʰ	0.364
ɨ	i	0.333
t̚	k̚	0.333
f	p	0.333
a	a	0.333
h	kʰ	0.3
ɲ	ŋ	0.286
pʰ	pʰˠ	0.286
pʰ	bˠ	0.286
pʰ	b	0.286
ʦʰ	ʦʰ	0.273
s	ɕ	0.25
p	pˠ	0.25
o	ɑ	0.25
f	ɦ	0.25
f	b	0.25
i	i_e	0.208
m	mˠ	0.2
h	ɦ	0.2
s	ʥ	0.188
s	s	0.188
ʦʰ	ɖˠ	0.182
ʦʰ	ɖ	0.182
f	-	0.167
a	ʌ	0.167
a	æ	0.167
²⁴	˧˥	0.163
⁵⁵	-	0.16
o	u_ɑ	0.156
k	kˠ	0.154
k	-	0.154
pʰ	pʰ	0.143
s	i	0.125
s	-	0.125
o	ʉ_ɐ	0.125
o	ɨ_ɐ	0.125
o	ɑ_u	0.125
i	i	0.125
a	ɛ	0.125
a	-	0.125
e	ɐ	0.105
e	u_ɛ	0.105
o	w_ɑ	0.094
u	o	0.086
i	ɨ_ʌ	0.083
i	ɨ	0.083
a	ʉ_ɐ	0.083
j	ʉ	0.077
j	w	0.077
s	ʤ	0.062
s	ʃ	0.062
o	ʌ	0.062
o	u_ɛ	0.062
n	-	0.062
u	u_o	0.057
