Old Prussian	Old Prussian	probability
ɡ_i	ɡ	1.0
ɡ_e	ɡ̊	1.0
ŋ	-	1.0
z	z	1.0
v_i	ʋ	1.0
u_s	a	1.0
s_#>	#>	1.0
r_i	̂_r	1.0
oːu̯	i	1.0
o_n	i	1.0
o_#>	#>	1.0
n_t	t	1.0
n_a	n	1.0
j	j	1.0
iː	j	1.0
i_r	r̩	1.0
i	-	1.0
eː	ʎ_a	1.0
b_i_t	ʧ	1.0
b	b	1.0
aːu̯	u_̂	1.0
aːi̯	eː_̌	1.0
aː	aː	1.0
au̯_j	r̩ː	1.0
au̯	uː	1.0
ai̯	j_e	1.0
<#_s	<#_s	1.0
#>	a_#>	1.0
k	k	0.857
m	m	0.818
v	ʋ	0.8
r	r	0.8
n	-	0.696
s	s	0.636
t	t	0.615
o	a	0.583
p	p	0.571
u	-	0.556
d	d	0.556
d	̂_d	0.444
ɡ	ʒ	0.429
p	-	0.429
l	-	0.417
s	x	0.364
l	l	0.333
n	n	0.304
ɡ	ɡ	0.286
ɡ	-	0.286
e	a	0.286
o	o	0.25
l	ʎ	0.25
t	-	0.231
a	-	0.231
u	uː	0.222
u	i	0.222
v	-	0.2
r	-	0.2
a	oː_̂	0.192
a	o	0.192
e	e_̌	0.19
m	-	0.182
o	-	0.167
t	t_i	0.154
k	ʃ	0.143
e	eː	0.143
e	e_̂	0.143
e	-	0.143
a	u_̂	0.115
a	a	0.115
e	e	0.095
a	j	0.077
a	a_̂	0.077
