Aragonese	Aragonese	probability
β_j	j	1.0
ˈu	ˈu	1.0
ˈo_ɾ	ˈau̯	1.0
ʝ	-	1.0
ʎ_o_#>	l_#>	1.0
ʎ_o	kʲ	1.0
ʃ	ʃ	1.0
ɾ_ˈu	r_ˈu	1.0
ɾ_ˈe	r_ˈe	1.0
ɾ_n	r_n	1.0
ɾ_k	r_k	1.0
ɲ_o	m_n	1.0
ɲ	n	1.0
ŋ_k	n_ʧʲ	1.0
u	u	1.0
t_o_#>	t_#>	1.0
s_ˈe	ʃ	1.0
s_a	ʃ_ə	1.0
r	r	1.0
p_o_#>	p_#>	1.0
o_s	nʲ	1.0
n_t	ˈe	1.0
n_o_#>	n_#>	1.0
n_#>	n_e_#>	1.0
m	m	1.0
l_o_#>	r_#>	1.0
f	f	1.0
e_ʝ	e_d	1.0
e_s	s	1.0
e_n	e_n	1.0
e_#>	#>	1.0
b_ɾ	e	1.0
a_j	ˈa	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
o_#>	#>	0.903
k	k	0.889
t	t	0.857
p	p	0.857
ɣ	k	0.8
ˈi	ˈi	0.778
s	s	0.773
#>	e_#>	0.741
a	ə	0.717
n	n	0.692
θ	ʧ	0.667
s_#>	#>	0.667
ˈa	ˈa	0.64
ð	t	0.625
d	d	0.615
<#_a	<#_a	0.6
<#	<#_j	0.6
l	l	0.56
j_ˈe	ˈe	0.556
ʧ	ʤ	0.545
o	u	0.545
w_ˈe	ˈo	0.522
ŋ	ŋ	0.5
ŋ	n	0.5
w	-	0.5
j_t	t	0.5
j_t	p_t	0.5
i	i	0.5
i	-	0.5
b	v	0.5
e	e	0.476
ɾ	r_e	0.453
j_ˈe	ˈi	0.444
β	-	0.438
ˈo	ˈu	0.4
ɡ	ɡ	0.4
ɡ	-	0.4
<#_a	<#	0.4
<#	<#_ʧ	0.4
ˈe	ˈe	0.391
d	z	0.385
ɾ	r	0.359
j	j	0.353
w_ˈe	ˈu	0.348
w	ˈo	0.333
s_#>	j_#>	0.333
b	b	0.318
β	b	0.312
ʧ	ʒ	0.273
β	p	0.25
ˈo	ˈo	0.25
ʎ	j	0.25
ʎ	-	0.25
ð	d	0.25
l	r	0.24
j	ˈa	0.235
j	-	0.235
s	ʃ	0.227
ˈo	o̯ˈa	0.2
ɣ	ɡ	0.2
ɡ	m	0.2
l	-	0.2
e	i	0.19
e	-	0.19
#>	ə_#>	0.185
ʧ	ŋ	0.182
o	w	0.182
o	-	0.182
ˈa	ˈɨ	0.18
j	ˈe	0.176
ʎ	k_e	0.167
ʎ	k	0.167
ʎ	e	0.167
w	o̯ˈa	0.167
ˈo	-	0.15
t	p_t	0.143
e	ə	0.143
ˈe	ˈi	0.13
ˈe	ˈa	0.13
w_ˈe	o̯ˈa	0.13
ð	ʒ	0.125
n	n_t	0.115
n	-	0.115
k	-	0.111
ˈe	e̯ˈa	0.109
a	e	0.109
o_#>	r_#>	0.097
θ	ʧ_e	0.095
θ	ʦ	0.095
θ	-	0.095
o	r	0.091
b	z_b	0.091
b	-	0.091
n	r	0.077
ˈi	ˈu	0.074
ˈi	r	0.074
ˈi	-	0.074
#>	t_#>	0.074
p	t_ˈi	0.071
p	t	0.071
ˈe	w	0.065
a	a	0.065
a	-	0.065
ɾ	e	0.062
ɾ	-	0.062
ˈa	-	0.06
