North Frisian	Bokmål Norwegian	probability
b	b	0.962
d	d	0.666
d	-	0.252
dʲ	-	0.955
f	f	0.835
f	ʋ	0.108
f	-	0.057
h	h	0.802
h	j	0.198
i	ɪ	0.334
i	-	0.333
i	i	0.224
i	ə	0.11
j	-	0.293
j	ɡ	0.172
j	j	0.162
j	ɾ	0.145
j	ˈʉː	0.107
j	ɡː	0.052
k	k	0.456
k	kʰ	0.371
k	-	0.099
l	l	0.683
l	lː	0.24
lʲ	lː	0.625
lʲ	l	0.188
lʲ	ɾ	0.188
m	m	0.672
m	mː	0.273
n	n	0.602
n	nː	0.366
nʲ	nː	0.415
nʲ	-	0.353
nʲ	n	0.233
p	p	0.459
p	-	0.206
p	ɾ	0.148
p	pʰ	0.096
p	pː	0.091
r	ɾ	0.837
r	ɳ	0.115
s	s	0.866
s	ʂ	0.053
t	t	0.403
t	tʰ	0.367
t	tː	0.08
t	-	0.054
tʲ	t	0.578
tʲ	tː	0.302
tʲ	ɕ	0.074
v	ʋ	0.599
v	-	0.328
v	m	0.059
w	ˈiː	0.462
w	ɡː	0.151
w	ə	0.15
w	j	0.149
w	ʋ	0.088
x	tː	0.503
x	k	0.301
x	s	0.141
x	j	0.056
z	t	0.483
z	s	0.378
z	ɾ	0.096
ŋ	ŋː	0.546
ŋ	ŋ	0.334
ŋ	-	0.12
ə	ə	0.829
ə	-	0.171
ɛi̯	ə	1.0
ɡ	ɡ	0.941
ɡ	j	0.059
ʃ	s	0.543
ʃ	ʃ	0.233
ʃ	ɕ	0.135
ʃ	f	0.089
ˈa	ˈɛ	0.261
ˈa	ˈɑː	0.194
ˈa	ˈɪ	0.11
ˈa	ə	0.083
ˈa	ˈɔ	0.072
ˈa	ˈuː	0.06
ˈa	ˈæː	0.058
ˈa	ˈœ	0.057
ˈa	ˈɑ	0.056
ˈai̯	ˈɪ	0.733
ˈai̯	ˈyː	0.177
ˈai̯	ˈæː	0.09
ˈaː	ˈœ	0.398
ˈaː	ˈɔ	0.241
ˈaː	ˈeː	0.177
ˈaː	ˈiː	0.112
ˈaː	ˈʉː	0.072
ˈeː	ˈiː	0.247
ˈeː	ˈæː	0.199
ˈeː	ˈʏ	0.141
ˈeː	ˈɛ	0.118
ˈeː	ˈɑ	0.094
ˈeː	ˈɑː	0.066
ˈeː	ˈoː	0.05
ˈeː	ˈɔ	0.05
ˈi	ˈiː	0.449
ˈi	ˈɪ	0.279
ˈi	ˈʊ	0.082
ˈi	ˈæɪ̯	0.061
ˈiː	ˈyː	0.214
ˈiː	ˈæɪ̯	0.139
ˈiː	ˈøː	0.135
ˈiː	ˈiː	0.13
ˈiː	ˈɛ	0.118
ˈiː	ˈɪ	0.074
ˈiː	-	0.055
ˈu	ˈœ	0.675
ˈu	ˈɪ	0.325
ˈuː	ˈoː	0.339
ˈuː	ˈøː	0.251
ˈuː	ˈœ	0.151
ˈuː	ˈɑ	0.143
ˈuː	ˈʉː	0.055
ˈyː	ˈʉː	0.378
ˈyː	ˈøː	0.173
ˈyː	ˈoː	0.125
ˈyː	ˈɛ	0.117
ˈyː	ˈɔ	0.087
ˈyː	ˈʉ	0.066
ˈyː	-	0.054
ˈøː	ˈʉː	0.577
ˈøː	ˈʊ	0.171
ˈøː	ˈʉ	0.131
ˈøː	-	0.082
ˈœ	ˈɑ	0.447
ˈœ	ˈuː	0.167
ˈœ	ˈʊ	0.162
ˈœ	ˈɪ	0.123
ˈœ	ˈiː	0.068
ˈœi̯	ˈuː	1.0
ˈɒ	ˈɑ	0.452
ˈɒ	ˈyː	0.234
ˈɒ	ˈɛ	0.185
ˈɒ	ˈɑː	0.087
ˈɒː	ˈɑː	0.484
ˈɒː	ˈɛ	0.191
ˈɒː	ˈoː	0.153
ˈɒː	ˈɑ	0.103
ˈɒː	ˈeː	0.068
ˈɔ	ˈuː	0.602
ˈɔ	ˈɔ	0.398
ˈɔi̯	ˈɛ	1.0
ˈɔu̯	ˈoː	0.421
ˈɔu̯	ˈɔ	0.238
ˈɔu̯	ɾ	0.104
ˈɔu̯	ˈɑ	0.102
ˈɔu̯	ˈuː	0.075
ˈɔu̯	ˈʏ	0.059
ˈɔː	ˈɑ	0.305
ˈɔː	ˈøː	0.151
ˈɔː	ˈʉː	0.15
ˈɔː	ˈʉ	0.112
ˈɔː	ˈyː	0.093
ˈɔː	ˈuː	0.072
ˈɛ	ˈøː	0.527
ˈɛ	ˈɪ	0.225
ˈɛ	ˈæ	0.13
ˈɛ	ˈœ	0.118
ˈɛi̯	ˈoː	0.409
ˈɛi̯	ˈɛ	0.166
ˈɛi̯	nː	0.111
ˈɛi̯	ˈœ	0.099
ˈɛi̯	ˈæɪ̯	0.072
ˈɛi̯	ˈɑː	0.072
ˈɛi̯	ˈeː	0.071
ˈɛː	ˈoː	0.261
ˈɛː	ˈæɪ̯	0.24
ˈɛː	ˈeː	0.196
ˈɛː	ˈæː	0.165
ˈɛː	ˈuː	0.137
ˈʊ	ˈʉ	0.475
ˈʊ	ˈɑ	0.194
ˈʊ	ˈʏ	0.09
ˈʊ	-	0.061
ˈʊ	ˈʉː	0.057
ˈʊ	ˈoː	0.057
ˈʊ	ˈœ	0.057
ˈʏ	ˈʏ	0.573
ˈʏ	ˈœ	0.222
ˈʏ	ˈʉː	0.205
