Pennsylvania German	German	probability
b	b	1.0
d	d	0.428
d	tʰ	0.368
d	t	0.2
f	f	1.0
h	h	0.988
h	-	0.034
j	ɡ	0.605
j	j	0.381
k	k	0.894
k	ɡ	0.063
k	-	0.05
kʰ	kʰ	0.907
kʰ	-	0.086
l	l	0.917
l	l_ə	0.058
m	m	0.975
m	-	0.036
n	n	0.916
n	n_d	0.042
p	p	0.768
p	p͡f	0.203
p͡f	p͡f	1.0
s	s	0.495
s	z	0.446
s	ʦ	0.058
t	t	0.957
t	-	0.034
v	b	0.887
v	v	0.087
x	x	1.0
ç	ç	0.875
ç	k	0.07
ç	t	0.057
ŋ	ŋ	1.0
ɑ	ɐ	1.0
ə	ə	0.671
ə	n	0.239
ə	ɐ	0.086
ɡ	ɡ	0.916
ɡ	kʰ	0.08
ɣ	ɡ	1.0
ɪ	ɪ	0.717
ɪ	-	0.273
ɾ	ʁ	0.932
ɾ	-	0.065
ɾ_ɪ	ɐ	1.0
ʃ	ʃ	0.859
ʃ	s	0.136
ʋ	v	1.0
ʦ	ʦ	1.0
ˈa	ˈa	0.799
ˈa	ˈaː	0.098
ˈa	ˈɔ_ɐ	0.067
ˈa	ˈɪ	0.037
ˈaɪ̯	ˈaɪ̯	0.622
ˈaɪ̯	ˈɔʏ̯	0.372
ˈaʊ̯	ˈaʊ̯	0.873
ˈaʊ̯	ˈʊ	0.126
ˈaː	ˈa_ɐ	0.315
ˈaː	ˈɔ_ɐ	0.262
ˈaː	ˈa	0.208
ˈaː	ˈaː	0.059
ˈaː_ɾ	ˈʊ	1.0
ˈeː	ˈaɪ̯	0.335
ˈeː	ˈeː	0.294
ˈeː	ˈøː	0.22
ˈeː	ˈaɪ̯_n	0.089
ˈeː	ˈɛ	0.051
ˈiː	ˈiː	0.663
ˈiː	ˈyː	0.27
ˈiː	ˈɪ	0.059
ˈoː	ˈoː	0.633
ˈoː	ˈaː	0.361
ˈuː	ˈuː	1.0
ˈɔ	ˈɔ	0.791
ˈɔ	ˈoː	0.106
ˈɔ	ˈaʊ̯	0.08
ˈɔɪ̯	ˈaɪ̯	0.494
ˈɔː	ˈaː	0.487
ˈɔː	ˈaʊ̯	0.335
ˈɔː	ˈa	0.124
ˈɔː	ˈɔɪ̯	0.045
ˈɔː	ˈɔ	0.034
ˈɛ	ˈɛ	0.55
ˈɛ	ˈeː	0.216
ˈɛ	ˈœ	0.119
ˈɛ	ˈa	0.068
ˈɛ	ˈiː	0.048
ˈɛː	ˈɛ	0.48
ˈɛː	ˈɛː	0.249
ˈɛː	ˈɪ	0.086
ˈɛː	ˈʏ	0.084
ˈɛː	ˈeː	0.084
ˈɪ	ˈɪ	0.723
ˈɪ	ˈʏ	0.186
ˈɪ	ˈyː	0.043
ˈɪ	ˈiː	0.043
ˈʊ	ˈʊ	0.574
ˈʊ	ˈɔ	0.129
ˈʊ	ˈʏ	0.079
ˈʊ	ˈuː	0.074
ˈʊ	ˈoː	0.074
