Ligurian	Eastern Lombard	probability
b	b	1.0
f	f	1.0
k	k	1.0
l	l	1.0
m	m	1.0
n	n	1.0
o	-	1.0
p	p	1.0
s	s	1.0
ɲ	ɲ	1.0
ʒ	z	1.0
ʧ	p_j	1.0
ˈa	ˈa	1.0
ˈiː	ˈi	1.0
ˈuː	ˈu	1.0
ˈyː	ˈy	1.0
ˈø	ˈɔ	1.0
ˈøː	ˈø	1.0
ˈɔ	ˈɔ	1.0
ˈɛ	ˈɛ	1.0
i	i	0.421
z	z	0.731
ŋ	ŋ	0.241
ˈɔː	ˈɔ	0.441
a	-	0.062
a	a	0.932
t	t	0.752
ˈi	ˈe	0.762
d	t	0.053
j	j	0.183
r	r	0.763
u	r	0.33
ʤ	ʤ	0.233
ˈy	ˈy	0.143
ˈɛː	ˈa	0.453
e	ˈi	0.44
i	-	0.124
j	e	0.14
r	r_e	0.084
w	w	0.374
ɡ	k	0.194
ʃ	s	0.864
ˈe	ˈe	0.364
ˈeː	ˈe	0.574
ˈu	ˈo	0.874
i	e	0.455
r	-	0.115
u	o	0.225
v	-	0.315
v	ʋ	0.685
ˈaː	ˈo	0.095
ˈaː	ˈa	0.905
e	e	0.56
u	-	0.446
ɡ	ɡ	0.806
ʃ	f_j	0.136
ˈe	ˈɛ	0.636
ˈeː	ˈɛ	0.426
ˈu	ˈu	0.126
d	d	0.947
w	o	0.177
ʤ	j	0.767
ˈy	ˈø	0.857
ˈɛː	ˈɛ	0.547
j	-	0.408
ŋ	n	0.68
ˈi	ˈi	0.238
j	r	0.269
t	ʧ	0.099
t	t_e	0.149
w	-	0.449
z	s	0.269
ŋ	-	0.079
ˈɔː	ˈo	0.559
