Asturian	Ladin	probability
f	f	1.0
w	w	1.0
ʧ	t	1.0
e	e_r	0.1
e	e	0.441
j	ʤ	0.161
l	l	0.841
ð	t	0.391
ɡ	ɡ	0.901
ʎ	p_l	0.061
ˈe	ˈa	0.051
ˈe	ˈi	0.101
ˈo	ˈa_w	0.061
ˈo	ˈɛ	0.1
ˈo	ˈɔ	0.271
β	v	0.641
θ	-	0.081
θ	ʃ	0.21
e	ˈe	0.062
n	n	0.92
r	r	0.952
u	-	0.2
u	l	0.732
m	m	0.93
p	p	0.913
ŋ	ŋ	0.43
ɾ	-	0.133
ʃ	-	0.083
ʝ	-	0.233
ʝ	d	0.423
ˈa	ˈa	0.603
β	-	0.183
θ	ʨ	0.23
θ	ʒ	0.23
a	-	0.124
d	d	0.974
e	-	0.294
i	i	0.834
j	-	0.264
k	ʨ	0.694
o	ˈɔ	0.124
ɣ	-	0.434
ɲ	n	0.84
ʝ	j	0.344
ˈe	ˈe_j	0.074
ˈe	ˈe	0.294
ˈi	ˈe	0.124
ˈu	ˈo	0.284
b	-	0.15
j	j	0.575
ˈe	ˈɛ	0.425
ˈo	ˈo	0.535
β	w	0.135
b	v	0.446
i	-	0.166
k	k	0.306
ɣ	ɡ	0.566
ɲ	ɲ	0.16
ˈi	ˈi	0.876
ˈu	ˈu	0.716
a	a	0.817
m	-	0.07
o	-	0.127
p	p_w	0.087
s	ʃ	0.17
s	-	0.17
ŋ	n	0.57
ɾ	e	0.237
ʃ	ʒ	0.917
b	b	0.388
l	w	0.118
n	ɲ	0.068
t	t_e	0.068
u	j_t	0.068
ɾ	r	0.568
ˈa	ˈɛ	0.368
θ	ʧ	0.188
e	a	0.099
o	o	0.749
s	s	0.659
t	t	0.909
ð	d	0.609
ɡ	k	0.099
ʎ	l	0.939
