Palatine German	Palatine German	probability
ˈɛ̃ː	-	1.0
ˈɑ̃ː	-	1.0
ˈɑːɪ̯	ˈɛ_ɡ̊ː	1.0
ˈɑː_d̥_#>	ˈɛːa̯_#>	1.0
ˈɑ_n	ˈɛːa̯_v	1.0
ˈõː	ˈɔ_n	1.0
ˈo	ˈɔ̯aː	1.0
ˈĩː	ˈøː_n	1.0
ˈi	ˈɪ_ɡ̊	1.0
ˈau̯̯	-	1.0
ʃ_d̥	s_t	1.0
ɪ	-	1.0
ɑ	a_v	1.0
ɐ_n	t͡n̥	1.0
ɐ_d̥	ˈøː_ɹ	1.0
ŋ_ɡ̊	ʰk	1.0
x_d̥	ʰt	1.0
s_ɐ	ʰt͡n̥	1.0
s_#>	s_#>	1.0
n_d̥	n	1.0
kʰ	kʰ	1.0
j	-	1.0
h	h	1.0
eː	ˈɛ_ʰt	1.0
d̥_#>	#>	1.0
b̥_#>	v_ʊ_ɹ_#>	1.0
<#_ˈɛ	<#_ˈɛ	1.0
<#_ʣ̥	<#_tʰ	1.0
<#_ɡ̊	<#_ɡ̊	1.0
<#_r	<#_ɹ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_tʰ	1.0
m	m	0.889
ə	a	0.846
b̥	b̥	0.773
ˈau̯	ˈʉːu̯	0.75
ˈu	ˈʊ	0.714
l	l	0.714
β	v	0.688
ˈaɪ̯	ˈʊ̯iː	0.65
<#_β	<#_v	0.647
ŋ	ŋ	0.625
f	f	0.625
ˈeː	-	0.6
ʃ_#>	#>	0.6
x	-	0.571
d̥_r	d̥_ɹ	0.571
ˈoː	ˈɔ̯aː	0.545
ˈɪ	ˈɪ	0.517
ˈɛː	-	0.5
ˈuː	ˈɔːu̯	0.5
ˈuː	-	0.5
ʣ̥	t	0.5
ʣ̥	-	0.5
#>	ʊ_ɹ_#>	0.482
ˈɑ	ˈa	0.444
s	s	0.444
x	ɡ̊	0.429
d̥_r	tʰ_ɹ	0.429
r	ɹ	0.421
d̥	d̥	0.421
ʃ	s	0.407
n	n	0.407
ʃ_#>	ʊ_ɹ_#>	0.4
ˈiː	ˈɔːu̯	0.357
ɡ̊	-	0.357
<#_β	<#	0.353
ˈaɪ̯	-	0.35
ˈɛː	ˈai̯	0.333
ˈɔ	-	0.333
ɐ	ɹ	0.333
ˈɑː	ˈɛːa̯	0.312
ˈɑː	ˈa	0.312
n	nː	0.296
ˈu	-	0.286
ˈiː	-	0.286
ˈoː	-	0.273
ˈɔ	ˈɔ	0.267
r	-	0.263
ˈɑ	ˈɔ	0.259
ʃ	ʃ	0.259
ˈɑː	ˈɛːi̯	0.25
ˈau̯	ˈɪ_ɡ̊	0.25
ŋ	ŋ_ɡ̊	0.25
d̥	ʊ_ɹ	0.237
#>	ɹ_#>	0.224
ˈɑ	ˈɛːa̯	0.222
ˈiː	ˈʉːu̯	0.214
r	w	0.211
ˈɪ	-	0.207
ˈɔ	ˈʊ	0.2
ˈɔ	ˈœ	0.2
ˈeː	ˈɛ	0.2
ˈeː	ˈɔ̯aː	0.2
β	kʰ_v	0.188
ʃ	k	0.185
d̥	tʰ	0.184
ˈoː	ˈɛːi̯_j	0.182
ɐ	ɪ_ɹ	0.179
ˈɛ	ˈɛ	0.174
ˈɛ	ˈeː	0.174
ˈɛ	j	0.174
ˈɛ	-	0.174
ˈɪ	ˈiː	0.172
l	t͡l̥	0.171
ˈɛː	ˈaːi̯	0.167
s	t_ʊ	0.167
s	t	0.167
f	p	0.156
ɐ	ʊ	0.154
n	n_d̥	0.148
n	-	0.148
ˈiː	ˈøː	0.143
ɡ̊	ʤ̊	0.143
ɡ̊	ɡ̊ː	0.143
ɡ̊	ɡ̊	0.143
ɡ̊	k	0.143
#>	a_#>	0.141
s	ʰt	0.139
ˈɛ	ˈœ	0.13
ɐ	ɹ_ʊ	0.128
β	-	0.125
ˈɑː	-	0.125
ŋ	ɲ	0.125
f	v	0.125
l	l̥	0.114
m	-	0.111
r	j	0.105
ˈɪ	ˈeː	0.103
f	ʰp	0.094
b̥	v	0.091
b̥	-	0.091
ˈɛ	ˈʊ	0.087
ˈɛ	ˈiː	0.087
s	ʃ	0.083
ˈɑ	ˈɛ	0.074
ʃ	ʰt	0.074
ʃ	s_k	0.074
ɡ̊	ʰʧ	0.071
#>	n_#>	0.071
d̥	ʧʰ	0.053
d̥	ʤ̊	0.053
d̥	t	0.053
ə	ʤ̊_a	0.051
ə	ɪ	0.051
ə	-	0.051
ɐ	ɹ_ɪ	0.051
ɐ	ɹ_a	0.051
ɐ	ɡ̊_ʊ	0.051
ɐ	-	0.051
