Logudorese	Venetian	probability
d	d	1.0
f	f	1.0
j	-	1.0
p	p	1.0
sː	s	1.0
ŋ	ŋ	1.0
ɖ	d	1.0
ɖː	-	1.0
ʣ	-	1.0
ʦ	s	1.0
e	ˈi	0.061
o	-	0.101
z	z	0.101
e	a	0.142
e	e	0.642
i	-	0.302
k	s	0.262
n	n	0.722
rː	r	0.462
t	-	0.082
ɡ	ʤ	0.072
ɣ	ɡ	0.242
ˈe	ˈɛ	0.32
i	i	0.293
s	s	0.973
t	t	0.873
ð	t	0.143
ð	d	0.83
ɡ	z	0.593
ɣ	-	0.413
ˈa	ˈa	0.953
b	b	0.224
k	-	0.14
m	ŋ	0.184
n	-	0.074
r	j	0.094
r	-	0.114
ˈi	ˈi	0.54
β	v	0.964
b	k_w	0.105
b	z	0.115
l	-	0.115
nː	n	0.495
nː	ɲ	0.505
ɡ	ɡ	0.335
ɣ	z	0.345
e	v_e	0.076
l	l	0.196
m	m	0.816
u	ʧ_o	0.06
ˈo	ˈo	0.446
b	v	0.507
k	k	0.557
n	ŋ	0.177
ˈe	ˈe	0.467
ˈu	ˈo	0.47
e	o	0.078
rː	r_n	0.538
u	o	0.858
ˈi	ˈe	0.438
ˈo	ˈɔ	0.48
a	a	0.839
i	e	0.399
l	ɰ	0.689
o	o	0.899
r	r	0.769
z	-	0.899
ˈu	ˈu	0.489
