French	French	probability
ɲ	ɲ_ˈe	1.0
ɥ	o̯ˈa	1.0
ɛ̃	ˈi_n	1.0
ɛ_ʁ	ˈa_t	1.0
z	ʃ_k	1.0
y	ˈu	1.0
m	m	1.0
l_#>	#>	1.0
k	k	1.0
j_ɛ̃	n_i	1.0
d	d	1.0
b	b	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#	1.0
ʁ	r	0.917
#>	ə_#>	0.889
t	t	0.846
n	n	0.833
ʃ	k	0.8
v	v	0.8
ɡ	ɡ	0.714
p	p	0.692
ə	i	0.625
ø	ˈo_k	0.6
u	ˈu	0.556
ɔ̃	-	0.5
ɔ	w_ˈo	0.5
ɔ	o̯ˈa	0.5
w	ˈe	0.5
s	s	0.5
ɑ̃	ˈi_n	0.444
o	ˈa_l	0.444
j	ʎ	0.444
œ	ˈo	0.429
e	s	0.429
a	-	0.421
f	f	0.417
ø	k	0.4
ʒ	z	0.375
ə	-	0.375
l	r	0.357
l	l	0.357
ɑ̃	n	0.333
o	l	0.333
j	ˈe	0.333
f	-	0.333
<#	<#_ˈa	0.333
<#	<#_t	0.333
<#	<#_m	0.333
ɛ	ˈa	0.318
a	ˈa	0.316
i	ˈi	0.294
ɡ	-	0.286
œ	o̯ˈa	0.286
œ	-	0.286
l	ʎ	0.286
e	ˈa_s	0.286
e	ˈa	0.286
s	ʦ	0.278
ʒ	ʒ	0.25
ʒ	-	0.25
ɔ̃	ˈu_ŋ	0.25
ɔ̃	ˈu	0.25
w	ˈu	0.25
w	e̯ˈa	0.25
f	w	0.25
p	-	0.231
ɛ	e̯ˈa	0.227
ɑ̃	ˈi	0.222
u	ˈu_k	0.222
u	-	0.222
o	ˈo_s	0.222
j	-	0.222
ʃ	k_ˈɔ	0.2
v	p	0.2
ɛ	-	0.182
i	ˈi_k	0.176
i	i	0.176
s	ʃ	0.167
n	i_n	0.167
a	ə	0.158
t	ʦ	0.154
ɛ	ˈɔ	0.136
ɛ	ˈa_p	0.136
ʒ	ʤ	0.125
i	ˈe	0.118
i	ʦ_i	0.118
i	-	0.118
#>	ʎ_u_#>	0.111
a	ˈa_k	0.105
ʁ	-	0.083
p	kʲ	0.077
s	ʧ	0.056
