Sassarese	Sassarese	probability
ˈɛ_n	ˈe	1.0
ˈɔ_ɬ	ˈo_r	1.0
ˈɔ_n	ˈu_n	1.0
ˈu_n	ˈy	1.0
ˈo_n	ˈu	1.0
ˈi_n	ˈi	1.0
ˈi_#>	#>	1.0
ˈa_z	ˈa	1.0
ˈa_n	ˈa	1.0
ˈa_#>	ˈa_#>	1.0
ʧː	ʧ	1.0
ʧ	ʧ	1.0
ʤː	-	1.0
ʣ	s	1.0
ʒ	z	1.0
ʎː	j	1.0
ʃː	s	1.0
ɲː_u	ɲ	1.0
ɮ	t	1.0
ɬ	s	1.0
ɡ_u	k	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
z	z	1.0
w	w	1.0
v	ʋ	1.0
u_r	u_l	1.0
u_#>	#>	1.0
tː_i	ʧ	1.0
tː	t	1.0
t_a	t_a	1.0
t	t	1.0
sː	s	1.0
s	s	1.0
r_a	a	1.0
p_a	p_a	1.0
p	p	1.0
mː	m	1.0
lː	-	1.0
l	l	1.0
kː	k	1.0
k	k	1.0
i_ɬ	s	1.0
i_pː	s_p	1.0
f	f	1.0
e	e	1.0
dː_ˈa	t_ˈa	1.0
bː	-	1.0
a_r	r	1.0
a_#>	#>	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
i_#>	#>	0.955
n	n	0.909
m	m	0.905
ˈa	ˈa	0.895
ʦ	s	0.895
b	b	0.895
a	a	0.895
ʤ	z	0.818
ˈɛ	ˈɛ	0.769
r	r	0.696
d	d	0.68
ˈi	ˈi	0.656
β	f	0.625
ɡː	k	0.625
β_a	a	0.6
ʦː	s	0.571
i	e	0.552
u	o	0.52
xː	s_k	0.5
xː	r_k	0.5
rː	r_n	0.5
rː	r	0.5
nː	ŋ	0.5
nː	n	0.5
dː	l	0.5
ˈo	ˈu	0.458
ʦː	l_s	0.429
j	j	0.429
ˈu	ˈy	0.412
β_a	e	0.4
ˈɔ	ˈɔ	0.379
ˈɔ	ˈø	0.379
β	-	0.375
ɡː	ɡ	0.375
ˈe	ˈɛ	0.37
ˈe	ˈe	0.37
ɲː	ɲ	0.333
ɲː	n_ʤ	0.333
ɲː	n_z	0.333
j	-	0.333
ˈu	ˈø	0.294
ˈu	ˈo	0.294
dː	d	0.278
i	i	0.276
r	l	0.268
d	-	0.24
ˈɛ	ˈe	0.231
dː	t	0.222
ˈi	ˈe	0.219
ˈo	ˈø	0.208
ˈe	ˈi	0.185
ʤ	-	0.182
i	-	0.172
ˈo	ˈɔ	0.167
ˈo	ˈo	0.167
u	e	0.16
u	-	0.16
j	r	0.143
ˈɔ	ˈo	0.138
ˈi	-	0.125
u	s	0.12
ʦ	-	0.105
b	-	0.105
ˈɔ	ˈu	0.103
m	-	0.095
j	e	0.095
n	-	0.091
d	t	0.08
a	e	0.079
ˈe	ˈe_r	0.074
ˈa	ˈo	0.053
ˈa	-	0.053
