Proto-Germanic	Proto-Germanic	probability
θ_ɑ̃	d̥	1.0
β_ɑ̃_#>	f_#>	1.0
ˈɑː	-	1.0
ˈɑi̯_w	ˈiə̯	1.0
ˈɑ_ɣ	ˈɛi̯	1.0
ˈɑ_ŋ	ˈa	1.0
ˈɑ_t	ˈɛ_t	1.0
ˈɑ_r	ˈɛː	1.0
ˈu_r	ˈoə̯	1.0
ˈĩː	-	1.0
ˈiu̯	-	1.0
ˈeː	j_ˈɪ	1.0
ˈe_ɣ	ˈɛi̯	1.0
ɸ	f	1.0
ɣ_j	z	1.0
ɡ_ɑ_z_#>	#>	1.0
ɔːː_#>	#>	1.0
ɔːu̯	-	1.0
ɑ̃_#>	#>	1.0
ɑ̃	ə	1.0
ɑː	j	1.0
ɑi̯	-	1.0
ɑ_ɣ	ə_χ	1.0
ɑ_z_#>	#>	1.0
ɑ_z	s	1.0
ɑ_n	ə	1.0
ð_i	d̥	1.0
z_#>	#>	1.0
z	-	1.0
wː	-	1.0
t_s	t	1.0
sː	s	1.0
s_l	s_l	1.0
s_#>	#>	1.0
r_ˈu	ˈoə̯	1.0
r_i	r	1.0
p	p	1.0
nː	n	1.0
n_θ	n	1.0
n_ɑ̃_#>	ə_#>	1.0
n_i	n	1.0
n_d	n	1.0
mː	m	1.0
lː	l	1.0
kʷ	k	1.0
jː	j	1.0
j_ɔː	ˈøə̯	1.0
iː	-	1.0
i_j	j	1.0
e_r	r	1.0
b	b	1.0
<#_θ	<#_t	1.0
<#_ˈu	<#_ˈuː	1.0
<#_x	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_p	<#_p	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
#>	r_#>	1.0
s	s	0.953
t	t	0.95
k	k	0.939
m	m	0.931
l	l	0.912
n	n	0.868
r	r	0.863
d	d	0.857
j	-	0.81
β	-	0.8
u	-	0.8
i	-	0.8
ŋ	ŋ	0.75
ˈɑu̯	ˈɪə̯	0.706
ɡ	ŋ	0.667
ɔːː	ə	0.667
x	h	0.615
ɛː	ə	0.6
ɔ̃ː	ə	0.6
ˈɔː	ˈuə̯	0.588
ˈuː	ˈuː	0.571
ɔː	ə	0.571
w	ʋ	0.529
ˈɛː	ˈiə̯	0.5
ˈɑ_l	ˈɪə̯	0.5
ˈɑ_l	ˈɔː	0.5
xʷ	ʋ	0.5
xʷ	-	0.5
i_z	ə_n	0.5
i_z	n	0.5
ˈɑi̯	-	0.471
ɑ	-	0.471
ɣ	ɡ	0.444
ˈi	ˈɪ	0.429
ɔː	-	0.429
ˈiː	ˈiː	0.417
ˈiː	ˈi	0.417
ɛː	-	0.4
ɔ̃ː	-	0.4
ð	-	0.389
ˈe	-	0.385
ˈeu̯	ˈiə̯	0.364
ɑ	ə	0.353
ˈɑ	ˈa	0.348
ˈu	ˈɔ	0.343
θ	d	0.333
θ	-	0.333
ɡ	ə	0.333
ɔːː	r	0.333
ð	d	0.333
ˈɛː	-	0.3
w	v	0.294
ð	d̥	0.278
ˈeu̯	-	0.273
ɣ	ɣ	0.259
x	χ	0.256
ŋ	ɪ	0.25
ˈɔː	ˈiə̯	0.235
ˈɑi̯	ˈiə̯	0.235
ɣ	χ	0.222
ˈɑ	ˈaː	0.217
ˈuː	ˈoː	0.214
ˈuː	-	0.214
θ	d̥	0.2
β	l	0.2
ˈɛː	ˈoə̯	0.2
u	ə	0.2
j	j	0.19
ˈeu̯	j_ˈɪ	0.182
ˈeu̯	j	0.182
ˈi	ˈi	0.179
ˈɑu̯	-	0.176
ˈɑi̯	ˈɪə̯	0.176
ɑ	j	0.176
w	-	0.176
ˈiː	j	0.167
ˈe	ˈɛ	0.154
ˈu	ˈu	0.143
ˈi	ˈiː	0.143
ˈi	-	0.143
d	-	0.143
r	-	0.137
θ	ʦ	0.133
x	-	0.128
ˈɔː	-	0.118
ˈɑu̯	ˈuː	0.118
ˈɑi̯	ˈɪ	0.118
ˈe	j_ˈɔ	0.115
ˈe	j	0.115
ˈu	ˈɪ	0.114
ˈɑ	ˈɪ	0.109
ˈɑ	-	0.109
ˈi	ˈɛ	0.107
i	ə	0.1
i	r	0.1
l	-	0.088
ˈu	ˈy	0.086
ˈu	ˈoə̯	0.086
n	-	0.079
ˈe	ˈɪə̯	0.077
ˈe	ˈɔ	0.077
ˈe	ˈi	0.077
ɣ	j	0.074
m	-	0.069
ˈɑ	ˈɛː	0.065
ˈɑ	ˈɔː	0.065
k	ʦ	0.061
ˈɔː	ˈu̯o	0.059
ˈu	ˈɛː	0.057
ˈu	ˈyː	0.057
ˈu	ˈuː	0.057
ˈu	-	0.057
n	j	0.053
