Ripuarian	Ripuarian	probability
ˈʊ	-	1.0
ˈœ	ˈɘ̟	1.0
ˈøʏ̯	ˈɑi̯_ə	1.0
ˈuː_d̥	ˈu_t	1.0
ˈu	ˈu	1.0
ˈo	ˈu	1.0
ˈeː_n	ˈɑ_n	1.0
ʦ	ʦ	1.0
ʋ_ˈɛː	v	1.0
ʋ	v	1.0
ʀ	r	1.0
ɪ	-	1.0
ɣ̊	ɡ̊	1.0
ɣ	-	1.0
z̥	s	1.0
z	z	1.0
v_ə	n	1.0
s	s	1.0
m	m	1.0
h	h	1.0
f	f	1.0
e	ɑ	1.0
b	b	1.0
<#_ʀ	<#_r	1.0
#>	ɡ̊_#>	1.0
ʃ	ʃ	0.952
k	k	0.947
l	w	0.913
n	n	0.892
ə	a	0.784
ˈuː	ˈɑi̯	0.778
j	ɡ	0.733
ˈɔʊ̯	ˈɑi̯	0.667
ˈɔ	ˈu	0.667
ˈøː	ˈi	0.667
ɫ	w	0.667
ˈe	ˈɘ̟	0.643
ɡ̊	d̥	0.6
v	v_ɛ	0.6
d̥	t	0.6
d	t	0.6
ˈɛː	ˈɑ	0.571
x	x	0.571
t	t	0.571
p	f	0.571
ˈaː	ˈɔ	0.545
ˈa	ˈɑ	0.545
ˈoː	ˈʏ	0.526
ˈʏ	ˈɑi̯	0.5
ˈʏ	-	0.5
ˈyː	ˈɑi̯	0.5
ˈiː	ˈai̯	0.5
ˈeɪ̯	ˈai̯	0.5
ˈeɪ̯	ˈa	0.5
v̥	b̥	0.5
v̥	-	0.5
ŋ	n	0.478
ˈeː	ˈi	0.471
ˈaː	ˈɑ	0.455
ˈɪ	ˈɘ̟	0.444
ˈɛː	ˈa	0.429
x	x_t	0.429
t	t_ɛ	0.429
p	p	0.429
ɐ	r	0.424
ˈɛ	ˈɑ	0.4
ˈɛ	-	0.4
v	v	0.4
d̥	d̥	0.4
d	d	0.4
ɐ	ɛ_r	0.394
ŋ	ŋ	0.348
ˈɪ	ˈei̯	0.333
ˈɔʊ̯	-	0.333
ˈɔ	-	0.333
ˈøː	-	0.333
ˈiː	-	0.3
ˈeː	ˈa	0.294
ɕ	ɡ̊	0.294
ɕ	x	0.294
ˈa	ˈɔ	0.273
ˈoː	-	0.263
ˈyː	ˈi	0.25
ˈyː	-	0.25
ɕ	ç	0.235
ˈɪ	-	0.222
ˈuː	ˈu	0.222
ˈe	-	0.214
ˈoː	ˈø	0.211
ˈɛ	ˈɛ	0.2
ˈiː	ˈɘ̟	0.2
ɡ̊	ɡ̊	0.2
ɡ̊	-	0.2
ˈa	-	0.182
ˈeː	-	0.176
ɕ	x_t	0.176
ŋ	n_d	0.174
ˈe	ˈi	0.143
ɫ	l	0.143
ə	-	0.135
j	ɟ	0.133
j	j	0.133
n	-	0.108
ɫ	u_w	0.095
ɫ	-	0.095
ɐ	ə	0.091
ɐ	-	0.091
l	l	0.087
ə	n	0.081
ˈeː	ˈɪ	0.059
k	c	0.053
